station,mean_delay,std_dev
SUZZARA,3.0390879478827375,6.7722880643720815
LECCE,4.866666666666667,20.87258353893316
GONZAGA-REGGIOLO,3.867213114754099,6.990815492609972
ROMA TIBURTINA,13.202702702702702,15.074681422590505
BOLOGNA C.LE,2.9276729559748405,10.88476341281046
BORGOCHIESANUOVA,2.9170653907496025,6.316744242723909
ROLO NOVI FABBRICO,4.001964636542241,7.917326016447436
OSTIGLIA,0.032786885245901856,2.4221240123218815
PALIDANO,4.976229508196719,6.919001860475908
NAPOLI CENTRALE,5.230769230769231,9.78696149908721
ROMANORE,2.656299840510366,6.550575251625196
CASTELGUELFO,3.942446043165467,4.451460897103823
SAN GIOVANNI IN PERSICETO,2.1516393442622954,2.872561376296075
FIDENZA,3.160671462829735,7.013506031632555
MONSELICE,0.5785123966942146,5.794037259855603
ISOLA DELLA SCALA,3.1229508196721314,2.153520542004193
RIMINI,9.062937062937062,13.211559590217583
TRENTO,0.8393574297188755,3.601396624915763
ANCONA,8.355633802816904,20.615406084653326
FORMIA-GAETA,10.326086956521742,16.413415172609824
TERONTOLA CORTONA,16.876865671641795,28.828533573472967
CEREA,3.847107438016529,4.878030244203174
CHIUSI C.T.,12.845864661654131,28.896378380810965
CADEO,3.2410071942446046,4.034880759864494
CESENA,8.0,0.7071067811865476
VILLANOVA DI REGGIOLO,5.396856581532417,7.924202308463204
CASTEL S.PIETRO TERME,3.514084507042252,7.301739728081091
OSTERIA NUOVA,2.270491803278689,2.998723930387068
BARLETTA,18.343971631205672,22.4570331611099
VERONA PORTA NUOVA,1.6702488687782782,9.212332786145021
PIACENZA,2.4555160142348758,7.054143534040946
FOGGIA,15.868794326241135,22.016117909878712
VILLAFRANCA DI VERONA,3.134408602150538,5.059558904389572
CASTELFRANCO D'EMILIA,5.038750000000004,9.533366989310883
ORTE,4.578431372549026,30.57119147187585
BEVILACQUA,5.210743801652892,5.463420809543117
SANGUINETTO,0.4793388429752061,5.133386103982636
LATINA,10.333333333333332,14.93568587791261
BOLOGNA C.LE/AV,5.375968992248061,13.91299263349773
PRATO CENTRALE,8.253731343283585,24.36692771819052
AVERSA,5.615384615384615,6.847000091748959
MOZZECANE,2.821715817694371,5.50693455843188
MANTOVA,3.8532272325375776,5.254886956052075
ORVIETO,11.3155737704918,27.87325214619307
ESTE,1.351239669421487,5.6545131783157565
ROVERBELLA,2.9075067024128693,4.20638882401509
ORA,7.0,5.656854249492381
OSPEDALETTO EUGANEO,2.491735537190083,5.695386828783152
ROMA TERMINI,7.487084870848711,11.965955533968792
MIRANDOLA,6.819672131147541,2.095908621449141
BOLZANO,1.595070422535211,2.561562229400998
CASTEL D`ARIO,1.5330578512396698,3.089454871811316
BARI CENTRALE,12.289285714285716,22.81337073687735
GAZZO DI BIGARELLO,2.834710743801653,3.107375922537688
DOSSOBUONO,3.419354838709677,5.058706738718829
FIORENZUOLA,3.1276595744680855,4.105115398969704
MODENA,3.0388170055452863,8.78370314658954
CAMPOSANTO,5.885245901639344,2.6330597520832897
IMOLA,2.0248226950354606,6.695234510225152
FORLI`,5.5,6.25466492574409
MILANO ROGOREDO,3.599264705882353,9.870423431372991
FIRENZE RIFREDI,9.1679104477612,24.429732287953815
CREVALCORE,1.8483606557377048,2.6229197536603586
CALDERARA-BARGELLINO,2.351239669421487,3.4087171512285788
PADOVA,-1.3208333333333337,7.069224290742878
CASTELBOLOGNESE,2.5615942028985517,5.753276723781337
TERMOLI,15.084507042253518,24.4170307259417
PARMA,4.198398576512456,7.974740487590716
AREZZO,16.720149253731346,28.51918699832141
BERGAMO,3.0244755244755264,19.26102470758939
PONTENURE,4.532374100719425,3.8543259307917443
FORLIMPOPOLI,10.5,0.7071067811865476
GAMBETTOLA,7.0,1.4142135623730951
FIRENZE CAMPO MARTE,4.013774104683197,13.012789196713825
BRINDISI,13.392241379310343,20.404156229902597
BONFERRARO,-2.3181818181818175,4.912568913850809
NOGARA,0.588477366255144,4.398698030806517
MILANO CENTRALE,4.464412811387899,7.443991855400154
BOSCHI S.ANNA,6.793388429752066,5.415898440966652
MONTAGNANA,4.289256198347108,5.548555392365543
REGGIO EMILIA,4.809608540925266,8.614658993779555
CARPI,3.4507874015747997,8.589334435533566
BRESCIA,-0.5664335664335632,20.652749174349243
PESCARA,11.352112676056334,21.67962967909449
LODI,7.240740740740742,10.236722716989155
FAENZA,5.364661654135339,5.893668861567157
LEGNAGO,4.694214876033058,4.919930513070638
LEVATA,2.1355661881977666,6.360003425210969
PESARO,11.433098591549296,13.245931915741224
SALETTO,3.6859504132231407,5.682257558768989
ANZOLA,4.276315789473684,13.597581139862578
POGGIO RUSCO,0.3442622950819673,2.2609531077459564
ROVERETO,2.1265060240963853,3.757124984097935
MANTOVA FRASSINE,-723707.8801652894,7960821.881818766
S.ANTONIO MANTOVANO,2.722520107238606,3.974052545197042
S.FELICE SP,2.5450819672131146,2.352248878544589
