GIULIANOVA,S.BENEDETTO DEL TRONTO
4.0,6.5
2.0,3.0
3.0,3.5
2.5,5.0
2.5,3.5
3.5,6.0
3.0,5.5
1.0,6.5
1.5,5.0
1.5,2.0
2.5,7.5
2.5,4.0
8.5,9.0
5.5,8.0
4.5,5.5
2.5,4.0
0.5,2.0
3.0,5.0
4.5,12.0
1.5,2.5
1.5,5.0
2.0,7.0
2.5,3.0
2.5,4.0
3.5,6.0
12.0,15.5
1.5,8.0
2.5,5.5
2.5,4.0
2.5,5.5
3.5,5.0
3.5,5.5
3.0,7.5
2.0,9.0
1.0,1.5
0.5,3.5
3.5,5.0
3.0,3.5
1.0,2.5
1.5,1.5
0.5,0.5
1.5,3.0
1.0,2.0
1.5,1.0
5.0,9.0
1.0,2.0
3.0,5.5
1.5,5.5
3.5,4.5
1.0,2.5
1.5,2.5
1.5,3.0
3.5,8.5
2.5,4.5
2.0,4.0
3.5,13.5
2.0,2.5
1.5,2.5
11.5,25.0
2.0,4.0
3.5,4.5
1.5,1.5
3.0,3.5
0.5,3.5
1.5,2.5
2.5,3.0
2.5,3.5
3.0,3.5
15.0,21.0
1.5,5.5
1.0,1.5
1.0,1.0
2.0,3.0
3.5,3.5
1.0,2.0
1.5,4.5
2.0,2.5
9.5,10.5
1.5,1.5
0.5,2.0
4.5,11.5
1.5,2.5
2.5,3.5
1.5,3.0
2.0,3.5
3.0,3.5
2.5,7.0
3.0,3.5
2.0,2.5
0.5,1.0
0.5,1.5
0.5,2.0
1.5,5.5
2.5,6.0
1.0,3.0
1.5,3.5
2.0,2.0
1.5,2.5
2.5,2.0
1.5,2.5
