ORTE,ORVIETO
8.0,10.0
6.5,5.0
5.0,5.0
4.0,9.0
9.5,4.0
13.5,20.0
24.0,16.0
5.0,5.0
2.0,1.5
9.0,2.0
5.5,0.5
24.5,18.5
4.0,5.0
5.0,12.5
16.0,14.0
3.5,3.5
24.0,20.0
8.5,4.0
11.0,14.0
5.5,5.5
5.0,6.0
6.5,7.0
1.5,2.0
2.0,1.5
13.5,10.0
3.5,4.5
6.0,1.0
5.5,4.5
3.5,9.0
6.0,7.5
1.0,0.5
8.0,8.0
7.5,7.5
8.5,1.0
15.0,17.0
10.5,3.0
0.5,0.5
6.0,5.5
2.5,3.0
1.5,1.5
25.0,17.0
3.0,6.5
12.5,10.0
3.5,3.0
5.0,5.5
10.0,7.5
2.5,2.5
5.5,12.0
8.5,10.0
5.0,5.0
1.0,0.5
2.5,2.0
10.5,9.0
28.0,26.0
28.5,29.0
2.0,5.0
7.0,6.5
12.5,12.0
19.0,14.5
9.0,10.0
12.0,12.5
12.0,6.5
5.0,7.5
1.5,6.5
6.5,17.5
3.0,4.0
21.5,14.5
16.0,13.0
14.5,14.0
1.0,2.5
1.5,0.5
19.0,12.5
4.5,11.5
4.5,5.5
22.0,14.5
3.5,3.0
7.5,4.0
12.5,14.0
3.0,3.0
8.5,8.5
20.0,20.5
7.5,0.5
23.5,23.5
5.5,1.0
6.0,6.5
5.5,5.0
1.5,1.5
5.5,4.5
10.5,5.0
7.5,3.0
2.0,3.0
11.5,4.0
3.5,4.0
6.5,5.0
27.0,19.0
4.5,4.0
3.0,3.5
9.0,2.0
2.5,1.5
8.0,2.0
