BOLOGNA C.LEAV,MILANO CENTRALE
9.5,10.5
3.5,4.5
1.0,13.0
6.0,9.5
1.0,0.5
1.5,17.0
3.5,1.0
1.0,2.0
3.0,1.0
2.0,7.5
3.5,11.0
4.0,3.5
14.5,14.0
3.0,13.5
24.5,26.0
2.5,2.5
4.0,9.0
7.5,3.0
2.0,0.5
3.5,7.0
3.5,1.5
13.0,13.5
2.0,3.0
1.0,0.5
3.0,2.0
2.0,7.0
5.5,11.5
5.5,2.0
4.0,3.0
9.0,15.0
7.5,12.0
2.5,0.5
9.0,8.5
4.0,8.0
4.0,3.0
5.0,7.5
0.5,4.0
12.0,17.0
5.5,6.0
2.5,1.5
9.5,7.5
3.5,8.5
0.5,3.5
3.5,17.5
1.0,5.0
0.5,4.0
1.0,3.0
2.0,29.0
25.5,27.0
7.5,6.5
2.5,3.0
1.0,13.0
22.0,21.0
4.0,4.0
4.5,9.5
2.5,2.0
14.5,15.0
4.5,3.0
22.5,17.5
0.5,3.0
4.5,11.0
5.0,3.5
1.0,5.5
2.5,2.5
3.5,13.0
1.5,6.0
3.0,9.0
0.5,0.5
14.0,7.0
8.0,4.5
1.5,0.5
3.0,4.5
1.5,4.5
2.0,5.0
4.0,0.5
4.0,5.0
1.0,2.5
4.0,4.5
3.5,0.5
3.5,4.5
23.0,19.0
9.5,7.5
1.0,10.0
1.0,2.0
3.5,7.5
8.5,18.0
2.0,19.0
3.0,2.5
4.0,0.5
1.0,13.5
1.0,5.0
2.0,9.5
9.0,5.0
7.0,4.0
0.5,7.0
11.0,14.5
14.5,10.5
4.0,7.5
13.0,11.5
3.0,6.0
