CASTEL S.PIETRO TERME,VARIGNANA
7.5,9.0
1.5,3.0
3.5,8.0
2.0,4.0
2.5,4.0
0.5,2.5
0.5,1.0
1.5,3.0
3.0,5.5
2.5,3.0
7.5,9.0
4.5,5.5
0.5,2.0
8.5,11.0
1.0,2.5
3.0,4.5
2.0,3.5
2.0,3.0
2.5,6.5
1.5,3.5
5.0,5.5
3.5,5.5
2.0,4.0
2.5,4.0
1.5,3.5
2.0,3.5
1.0,5.0
4.5,5.0
10.5,17.5
12.0,13.5
3.5,11.0
1.5,2.0
1.0,3.0
2.5,3.5
3.5,8.0
2.0,3.5
1.5,6.5
2.5,4.0
3.0,5.5
7.0,9.0
1.5,4.0
2.5,3.5
12.0,14.0
2.5,7.5
1.0,2.5
1.5,3.0
2.0,3.5
2.0,7.0
2.5,4.0
4.5,5.5
5.5,8.5
4.0,5.5
2.5,4.0
1.5,2.5
1.5,3.5
5.5,8.0
1.0,3.0
2.5,9.5
13.5,15.0
1.0,2.5
3.5,5.0
2.0,3.0
4.0,5.5
1.5,4.0
1.0,2.5
11.5,15.5
2.0,3.5
1.5,4.0
1.5,4.0
2.0,4.0
1.0,2.0
8.5,9.5
2.0,3.5
9.0,10.0
4.5,7.0
9.5,12.5
1.5,4.0
1.5,3.5
1.0,3.0
3.0,4.5
1.5,4.5
1.0,2.0
1.5,3.0
9.5,10.0
2.5,4.5
5.5,7.5
7.0,9.5
5.0,6.0
2.5,3.0
2.5,4.5
5.0,7.5
1.0,3.0
7.0,9.0
2.0,4.5
2.5,3.5
1.5,3.5
4.0,5.5
1.5,7.0
1.0,2.5
2.0,3.0
