FAENZA,GRANAROLO,RUSSI,
4.0,3.5,1.5,1.5
1.5,1.5,0.5,0.5
22.0,21.0,18.5,18.5
1.0,3.5,3.0,3.0
1.5,1.0,1.5,1.5
1.0,0.5,1.5,1.5
3.5,3.0,1.5,1.5
1.0,1.0,1.5,1.5
1.5,1.0,0.5,0.5
1.0,0.5,0.5,0.5
3.5,2.5,0.5,0.5
2.5,5.0,5.5,5.5
5.0,5.0,7.0,7.0
2.5,3.5,3.0,3.0
2.0,3.0,4.5,4.5
1.0,0.5,0.5,0.5
1.5,0.5,0.5,0.5
2.0,2.5,2.0,2.0
1.5,1.5,1.5,1.5
5.5,4.5,3.0,3.0
1.0,0.5,0.5,0.5
2.5,2.5,2.5,2.5
2.0,0.5,9.5,9.5
2.0,3.0,4.0,4.0
1.0,0.5,3.0,3.0
1.5,1.5,1.5,1.5
1.0,3.5,2.5,2.5
3.5,3.0,3.5,3.5
1.0,1.0,1.0,1.0
49.5,49.0,47.0,47.0
2.5,8.0,12.0,12.0
9.0,7.0,5.0,5.0
3.5,2.0,3.0,3.0
2.5,4.0,3.5,3.5
1.0,1.0,1.0,1.0
1.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
1.5,1.0,0.5,0.5
1.0,1.0,1.5,1.5
12.5,11.0,8.0,8.0
2.0,0.5,1.0,1.0
2.0,3.0,2.5,2.5
2.0,2.0,2.0,2.0
3.5,2.5,1.0,1.0
19.0,17.5,16.5,16.5
9.5,9.0,10.0,10.0
1.5,2.0,12.5,12.5
4.0,4.5,5.5,5.5
10.0,8.5,6.0,6.0
1.0,1.5,1.0,1.0
1.0,1.0,1.0,1.0
0.5,3.0,1.5,1.5
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
10.0,9.0,6.5,6.5
1.5,0.5,1.0,1.0
3.5,3.0,2.5,2.5
1.0,1.5,1.5,1.5
1.0,1.0,0.5,0.5
5.5,3.5,2.0,2.0
