MODENA,CARPI,ROLO NOVI FABBRICO,
2.0,1.0,13.5,13.5
1.0,2.0,25.0,25.0
1.0,0.5,1.5,1.5
2.0,2.0,3.0,3.0
1.0,0.5,0.5,0.5
2.0,0.5,2.0,2.0
2.0,1.0,2.5,2.5
6.0,3.5,10.5,10.5
9.0,6.0,2.5,2.5
5.0,2.0,2.0,2.0
0.5,1.5,2.5,2.5
1.0,1.0,1.0,1.0
2.0,2.0,3.0,3.0
2.0,1.5,1.0,1.0
1.0,0.5,2.0,2.0
2.0,0.5,1.5,1.5
2.0,3.0,3.5,3.5
1.0,1.5,2.5,2.5
2.0,1.0,1.5,1.5
3.0,0.5,0.5,0.5
2.0,1.0,2.5,2.5
4.0,2.0,2.0,2.0
2.0,0.5,0.5,0.5
2.0,4.5,6.0,6.0
2.0,3.5,5.5,5.5
2.0,1.0,1.5,1.5
2.0,3.0,0.5,0.5
2.0,2.5,3.0,3.0
1.0,0.5,2.0,2.0
2.0,3.5,5.5,5.5
10.0,7.5,4.0,4.0
3.0,2.0,5.0,5.0
2.0,1.5,1.0,1.0
4.0,3.5,2.5,2.5
3.0,1.0,0.5,0.5
1.0,1.0,7.0,7.0
2.0,4.5,3.5,3.5
4.0,3.0,4.5,4.5
2.0,2.0,2.0,2.0
2.0,3.5,1.0,1.0
2.0,1.5,2.0,2.0
2.0,1.5,3.5,3.5
2.0,1.5,1.5,1.5
1.0,4.5,2.5,2.5
2.0,2.0,0.5,0.5
3.0,1.5,2.5,2.5
2.0,2.0,8.0,8.0
1.0,1.0,0.5,0.5
2.0,2.5,4.0,4.0
1.0,0.5,1.0,1.0
1.0,3.0,4.0,4.0
1.0,2.0,3.5,3.5
16.0,15.5,12.0,12.0
2.0,0.5,1.0,1.0
2.0,1.0,1.5,1.5
2.0,1.0,0.5,0.5
5.0,2.5,8.0,8.0
2.0,0.5,3.5,3.5
1.0,1.0,1.0,1.0
11.0,9.5,11.0,11.0
