NAPOLI CENTRALE,FIRENZE CAMPO MARTE,BOLOGNA C.LEAV,
2.5,9.0,10.5,10.5
0.5,5.0,9.0,9.0
1.0,4.0,5.0,5.0
3.0,7.0,7.0,7.0
1.5,4.0,3.0,3.0
1.5,4.0,0.5,0.5
2.0,6.5,1.0,1.0
2.0,3.5,1.0,1.0
7.0,7.0,5.5,5.5
2.0,7.0,3.5,3.5
7.0,4.0,2.5,2.5
5.5,2.0,1.5,1.5
1.0,1.5,3.5,3.5
2.5,6.0,16.5,16.5
1.5,0.5,3.0,3.0
2.5,5.0,4.0,4.0
1.0,8.5,9.0,9.0
2.0,9.5,7.0,7.0
2.0,10.5,20.0,20.0
4.5,5.5,7.0,7.0
1.5,2.5,1.0,1.0
2.5,26.5,27.0,27.0
1.5,3.0,3.0,3.0
4.0,21.0,17.0,17.0
3.0,11.0,8.0,8.0
0.5,5.0,0.5,0.5
3.0,8.5,5.0,5.0
3.0,3.5,3.5,3.5
2.5,7.0,11.0,11.0
2.5,4.5,11.0,11.0
1.0,6.0,5.5,5.5
1.0,13.0,9.5,9.5
1.0,3.5,2.5,2.5
1.0,10.0,4.5,4.5
1.0,9.0,5.5,5.5
3.5,28.0,38.0,38.0
1.5,2.5,1.0,1.0
1.0,3.0,0.5,0.5
3.5,2.5,4.0,4.0
3.0,5.0,6.0,6.0
3.0,2.0,2.5,2.5
3.0,7.5,7.0,7.0
6.0,7.5,8.5,8.5
3.0,9.5,5.0,5.0
3.5,22.5,17.5,17.5
2.0,10.5,4.5,4.5
2.5,4.0,4.0,4.0
2.0,6.5,1.5,1.5
3.5,7.0,10.0,10.0
2.0,29.5,27.0,27.0
1.0,7.0,5.5,5.5
7.0,5.5,2.5,2.5
5.0,9.5,4.5,4.5
1.0,6.0,9.0,9.0
1.0,16.0,16.5,16.5
4.0,3.0,5.0,5.0
1.5,7.5,8.5,8.5
2.0,5.5,9.5,9.5
0.5,5.0,6.5,6.5
1.0,7.0,4.0,4.0
