TARANTO,GIOIA DEL COLLE,TERMOLI,
1.0,0.5,11.5,11.5
0.5,4.0,13.5,13.5
1.0,0.5,3.0,3.0
1.5,0.5,2.5,2.5
1.0,1.5,3.5,3.5
1.0,2.0,2.5,2.5
1.0,3.0,12.0,12.0
1.5,2.0,7.0,7.0
1.0,0.5,4.5,4.5
0.5,1.0,8.5,8.5
0.5,4.0,2.0,2.0
1.0,1.5,14.0,14.0
1.0,2.0,1.0,1.0
1.5,0.5,1.0,1.0
1.0,2.0,1.0,1.0
2.5,3.5,15.0,15.0
1.5,2.5,0.5,0.5
1.5,3.0,1.5,1.5
1.5,2.5,5.0,5.0
2.5,1.5,2.5,2.5
2.0,2.0,22.0,22.0
1.0,1.5,5.0,5.0
1.0,4.0,5.5,5.5
3.0,4.0,1.0,1.0
2.5,1.5,4.0,4.0
2.0,2.0,3.5,3.5
1.5,4.5,2.0,2.0
0.5,2.5,2.0,2.0
3.5,3.0,3.5,3.5
2.0,1.5,8.0,8.0
1.0,4.5,1.0,1.0
3.0,2.0,7.5,7.5
1.5,0.5,3.0,3.0
2.0,8.5,1.5,1.5
6.0,4.0,3.5,3.5
1.0,1.0,15.5,15.5
1.5,1.0,2.0,2.0
1.0,2.0,0.5,0.5
1.5,1.0,4.5,4.5
5.5,4.5,6.0,6.0
2.5,2.0,4.0,4.0
1.5,2.0,6.5,6.5
2.5,4.5,13.0,13.0
1.0,2.5,1.5,1.5
1.5,1.0,6.0,6.0
1.5,0.5,3.5,3.5
1.5,1.0,6.0,6.0
1.0,3.0,13.0,13.0
1.0,1.0,0.5,0.5
1.5,3.0,6.5,6.5
1.0,3.0,2.0,2.0
2.0,0.5,6.0,6.0
1.0,0.5,2.5,2.5
1.5,0.5,1.0,1.0
2.0,2.0,1.5,1.5
1.0,3.0,0.5,0.5
1.5,1.0,4.5,4.5
2.5,1.5,1.0,1.0
1.5,1.0,5.5,5.5
6.5,6.0,3.5,3.5
