FIRENZE S.M.N.,BOLOGNA C.LEAV
3.5,2.5
6.0,6.5
4.0,1.5
7.0,10.0
4.0,10.5
2.5,5.5
2.0,10.5
2.0,6.0
1.5,9.5
4.5,1.0
4.0,4.5
6.5,9.0
10.0,6.0
1.0,3.0
6.0,3.5
4.5,5.5
1.5,2.0
3.5,1.0
3.0,4.0
7.0,4.0
0.5,3.5
0.5,2.5
3.0,0.5
4.5,4.0
8.0,12.0
7.5,20.0
8.0,11.5
0.5,8.0
7.5,8.5
1.0,11.0
2.5,6.0
7.0,4.5
7.0,2.5
3.0,7.0
7.0,5.0
10.0,12.0
7.5,4.5
5.0,0.5
9.5,5.5
1.0,1.5
6.5,12.0
2.0,3.5
6.5,4.5
16.5,16.5
3.0,6.0
5.0,1.5
5.5,5.0
4.0,4.0
3.5,11.5
4.5,0.5
3.0,1.5
4.5,7.5
3.5,3.0
3.5,4.5
3.5,5.5
6.0,2.5
2.0,2.0
4.5,1.5
8.5,13.0
12.0,12.0
7.5,8.0
2.5,2.5
7.0,7.0
5.0,7.5
6.0,3.5
2.0,0.5
5.5,4.0
4.5,5.0
4.0,1.5
23.0,15.5
4.0,2.5
1.0,9.5
4.5,3.5
8.0,8.5
3.0,2.0
7.5,12.5
2.0,4.5
4.0,2.0
6.5,5.0
23.0,25.5
3.0,3.0
0.5,8.0
7.5,4.0
9.5,4.0
2.5,3.5
2.0,2.5
1.5,1.5
1.0,0.5
11.0,10.0
0.5,2.0
3.0,1.5
2.0,12.5
6.0,7.0
12.0,13.0
3.0,1.5
4.5,3.0
2.0,0.5
5.5,3.5
6.0,3.0
2.5,6.0
