LECCE,BRINDISI,BARI CENTRALE
2.0,13.0,6.5
1.0,0.5,2.0
2.5,2.0,0.5
1.0,3.0,0.5
1.5,0.5,7.0
1.5,1.5,1.0
1.5,2.0,2.0
1.0,0.5,1.0
6.0,7.0,3.0
1.0,3.0,4.5
1.0,1.0,3.0
1.0,1.5,2.0
0.5,1.5,4.5
1.5,2.0,0.5
1.5,4.5,3.0
1.5,0.5,0.5
1.0,2.0,3.0
2.5,2.0,1.0
1.0,1.0,4.5
1.5,1.5,1.0
1.0,10.5,14.5
2.0,1.5,1.0
0.5,1.5,1.0
1.5,2.5,4.0
41.0,43.0,46.0
16.5,16.5,13.0
1.5,1.5,7.5
1.0,1.0,3.5
1.5,0.5,3.5
1.0,5.0,3.0
1.0,0.5,3.5
1.0,3.0,6.5
2.0,10.5,2.0
3.0,2.5,1.0
1.0,1.0,10.0
1.5,2.5,2.0
1.0,2.5,20.0
2.0,2.5,1.0
0.5,2.5,4.0
1.0,2.0,0.5
0.5,1.0,2.0
1.0,11.5,7.0
1.0,41.5,33.0
2.0,16.0,13.0
2.0,0.5,4.0
1.0,0.5,7.0
1.0,0.5,5.0
1.0,2.0,3.5
4.5,2.5,2.5
1.0,2.0,2.5
4.0,6.0,7.0
1.5,17.5,14.5
1.5,0.5,1.5
1.5,2.0,0.5
1.5,0.5,2.0
1.0,0.5,2.0
1.0,2.5,7.0
1.0,0.5,2.0
2.0,1.0,1.0
1.0,1.5,2.0
