NAPOLI CENTRALE,ROMA TERMINI,FIRENZE S.M.N.
7.0,1.0,58.5
4.5,6.0,6.0
3.0,3.0,1.0
5.5,6.0,2.0
1.5,2.0,10.0
2.5,2.0,4.5
0.5,1.0,3.0
1.5,6.0,3.5
7.0,1.0,11.5
7.5,6.0,7.5
1.5,1.0,9.5
5.5,1.0,2.0
2.0,2.0,2.0
2.5,2.0,6.0
2.5,1.0,2.0
3.0,1.0,4.5
3.5,3.0,13.5
7.5,2.0,7.5
2.0,3.0,3.0
15.0,3.0,6.0
1.5,1.0,16.5
1.0,1.0,2.5
2.5,1.0,5.5
2.0,2.0,3.0
2.0,1.0,0.5
17.5,6.0,5.0
2.5,7.0,10.0
1.5,6.0,9.5
4.5,3.0,9.0
10.0,2.0,7.5
6.5,3.0,2.0
6.0,3.0,9.0
4.0,4.0,5.0
1.5,1.0,14.0
13.5,28.0,26.5
12.5,1.0,27.0
19.5,10.0,17.0
6.0,2.0,16.0
1.0,4.0,6.5
2.0,1.0,7.5
4.5,2.0,4.5
3.5,2.0,6.0
0.5,2.0,18.0
3.5,1.0,1.0
11.0,2.0,2.5
5.5,2.0,1.0
1.0,1.0,1.0
5.0,2.0,8.5
4.0,4.0,6.5
2.0,1.0,2.0
1.0,3.0,2.0
4.5,1.0,5.5
13.5,4.0,3.5
5.5,1.0,2.0
8.5,5.0,5.5
2.0,1.0,52.5
10.0,3.0,18.5
1.0,3.0,3.0
4.0,18.0,9.0
1.5,1.0,1.0
