SALERNO,NAPOLI AFRAGOLA,ROMA TERMINI
0.5,4.0,8.0
0.5,8.0,12.0
0.5,0.5,5.0
1.0,1.0,6.0
0.5,1.0,11.0
0.5,2.5,18.0
1.0,0.5,16.0
0.5,2.5,5.0
0.5,2.0,4.0
1.5,0.5,5.0
0.5,5.5,4.0
5.5,2.0,2.0
0.5,0.5,7.0
1.0,0.5,17.0
0.5,0.5,5.0
0.5,2.5,5.0
1.0,0.5,4.0
0.5,5.5,15.0
1.0,1.0,6.0
1.0,0.5,3.0
0.5,1.5,14.0
0.5,3.0,4.0
1.5,14.5,16.0
1.0,6.5,11.0
1.0,1.0,7.0
1.0,3.5,6.0
0.5,1.0,4.0
1.0,3.0,8.0
1.0,1.5,2.0
1.0,3.0,8.0
0.5,0.5,4.0
1.0,10.5,19.0
1.5,1.0,4.0
0.5,5.5,5.0
3.5,3.0,16.0
1.0,2.0,7.0
1.0,0.5,4.0
1.0,1.5,6.0
0.5,1.5,4.0
0.5,2.0,2.0
0.5,3.5,9.0
0.5,0.5,5.0
1.0,1.0,4.0
1.0,3.0,4.0
1.0,1.5,7.0
0.5,2.5,3.0
1.0,42.0,52.0
4.0,1.0,4.0
0.5,4.5,6.0
1.0,0.5,2.0
0.5,0.5,2.0
1.5,1.5,17.0
2.0,5.0,6.0
1.0,0.5,9.0
1.0,6.0,15.0
4.5,1.5,8.0
0.5,2.5,3.0
9.0,3.0,10.0
1.0,2.5,2.0
1.0,2.5,13.0
