Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6430	BOLOGNA C.LE	15/02/18 16.25.00	15/02/18 16.27.00	2.0
6430	BOLOGNA CORTICELLA	15/02/18 16.32.00	15/02/18 16.33.30	1.5
6430	CASTELMAGGIORE	15/02/18 16.36.00	15/02/18 16.36.00	0.0
6430	FUNO CENTERGROSS	15/02/18 16.46.00	15/02/18 16.46.00	0.0
6430	S.GIORGIO P.	15/02/18 16.51.00	15/02/18 16.52.00	1.0
6430	S.PIETRO IN CASALE	15/02/18 16.57.00	15/02/18 16.57.00	0.0
6430	GALLIERA	15/02/18 17.02.00	15/02/18 17.04.00	2.0
6430	POGGIO RENATICO	15/02/18 17.07.00	15/02/18 17.07.30	0.5
6430	FERRARA	15/02/18 17.16.00	15/02/18 17.20.00	4.0
11480	BOLOGNA C.LE	15/02/18 12.28.00	15/02/18 12.29.30	1.5
11480	BOLOGNA CORTICELLA	15/02/18 12.35.00	15/02/18 12.36.00	1.0
11480	CASTELMAGGIORE	15/02/18 12.39.00	15/02/18 12.39.00	0.0
11480	FUNO CENTERGROSS	15/02/18 12.42.00	15/02/18 12.42.00	0.0
11480	S.GIORGIO P.	15/02/18 12.47.00	15/02/18 12.48.00	1.0
11480	S.PIETRO IN CASALE	15/02/18 12.53.00	15/02/18 13.03.30	10.5
11480	GALLIERA	15/02/18 12.58.00	15/02/18 13.09.30	11.5
11480	POGGIO RENATICO	15/02/18 13.03.00	15/02/18 13.12.30	9.5
11480	FERRARA	15/02/18 13.13.00	15/02/18 13.24.00	11.0
6412	BOLOGNA C.LE	15/02/18 06.52.00	15/02/18 06.54.00	2.0
6576	BOLOGNA C.LE	15/02/18 19.28.00	15/02/18 19.30.30	2.5
2232	BOLOGNA C.LE	15/02/18 12.20.00	15/02/18 12.22.00	2.0
2232	S.PIETRO IN CASALE	15/02/18 12.34.00	15/02/18 12.36.30	2.5
2232	FERRARA	15/02/18 12.49.00	15/02/18 12.51.00	2.0
2232	ROVIGO	15/02/18 13.08.00	15/02/18 13.10.30	2.5
2232	MONSELICE	15/02/18 13.26.00	15/02/18 13.22.30	-3.5
2232	TERME EUGANEE-ABANO-MONTEGR.	15/02/18 13.34.00	15/02/18 13.34.30	0.5
2232	PADOVA	15/02/18 13.45.00	15/02/18 13.53.00	8.0
2232	VENEZIA MESTRE	15/02/18 14.03.00	15/02/18 14.11.00	8.0
2232	VENEZIA SANTA LUCIA	15/02/18 14.18.00	15/02/18 14.23.00	5.0
2231	VENEZIA SANTA LUCIA	15/02/18 10.42.00	15/02/18 10.47.00	5.0
2231	VENEZIA MESTRE	15/02/18 10.52.00	15/02/18 10.57.30	5.5
2231	PADOVA	15/02/18 11.08.00	15/02/18 11.16.00	8.0
2231	TERME EUGANEE-ABANO-MONTEGR.	15/02/18 11.20.00	15/02/18 11.26.30	6.5
2231	MONSELICE	15/02/18 11.29.00	15/02/18 11.33.00	4.0
2231	ROVIGO	15/02/18 11.48.00	15/02/18 11.46.30	-1.5
2231	FERRARA	15/02/18 12.09.00	15/02/18 12.08.30	-0.5
2231	S.PIETRO IN CASALE	15/02/18 12.22.00	15/02/18 12.25.00	3.0
2231	BOLOGNA C.LE	15/02/18 12.40.00	15/02/18 12.42.30	2.5
2230	BOLOGNA C.LE	15/02/18 10.20.00	15/02/18 10.21.30	1.5
2230	S.PIETRO IN CASALE	15/02/18 10.34.00	15/02/18 10.34.30	0.5
2230	FERRARA	15/02/18 10.49.00	15/02/18 10.51.00	2.0
2230	ROVIGO	15/02/18 11.08.00	15/02/18 11.12.00	4.0
2230	MONSELICE	15/02/18 11.26.00	15/02/18 11.25.30	-0.5
2230	TERME EUGANEE-ABANO-MONTEGR.	15/02/18 11.34.00	15/02/18 11.34.00	0.0
2230	PADOVA	15/02/18 11.45.00	15/02/18 11.44.30	-0.5
2230	VENEZIA MESTRE	15/02/18 12.03.00	15/02/18 12.03.00	0.0
2230	VENEZIA SANTA LUCIA	15/02/18 12.18.00	15/02/18 12.17.30	-0.5
592	ROMA TERMINI	15/02/18 15.40.00	15/02/18 15.50.00	10.0
592	ORTE	15/02/18 16.15.00	15/02/18 16.31.00	16.0
592	ORVIETO	15/02/18 16.43.00	15/02/18 16.59.00	16.0
592	CHIUSI C.T.	15/02/18 17.08.00	15/02/18 17.23.30	15.5
