Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
9443	VENEZIA SANTA LUCIA	06/04/18 16.25.00	06/04/18 16.26.30	1.5
9443	VENEZIA MESTRE	06/04/18 16.35.00	06/04/18 16.42.30	7.5
9443	PADOVA	06/04/18 16.51.00	06/04/18 16.59.30	8.5
9443	BOLOGNA C.LE/AV	06/04/18 17.52.00	06/04/18 18.05.00	13.0
9443	FIRENZE S.M.N.	06/04/18 18.30.00	06/04/18 18.51.00	21.0
9443	ROMA TIBURTINA	06/04/18 19.58.00	06/04/18 20.26.00	28.0
9443	ROMA TERMINI	06/04/18 20.10.00	06/04/18 20.34.00	24.0
9443	NAPOLI CENTRALE	06/04/18 21.35.00	06/04/18 21.49.30	14.5
9521	TORINO P.NUOVA	06/04/18 09.05.00	06/04/18 09.05.30	0.5
9521	TORINO PORTA SUSA	06/04/18 09.13.00	06/04/18 09.11.30	-1.5
9521	MILANO CENTRALE	06/04/18 10.05.00	06/04/18 10.01.30	-3.5
9521	BOLOGNA C.LE/AV	06/04/18 11.22.00	06/04/18 11.25.30	3.5
9521	FIRENZE S.M.N.	06/04/18 11.59.00	06/04/18 12.05.30	6.5
9521	ROMA TIBURTINA	06/04/18 13.28.00	06/04/18 13.34.30	6.5
9521	ROMA TERMINI	06/04/18 13.40.00	06/04/18 13.43.00	3.0
9521	NAPOLI AFRAGOLA	06/04/18 14.48.00	06/04/18 14.50.30	2.5
9521	NAPOLI CENTRALE	06/04/18 15.03.00	06/04/18 15.06.00	3.0
9521	SALERNO	06/04/18 15.52.00	06/04/18 15.51.30	-0.5
8451	VENEZIA SANTA LUCIA	06/04/18 17.25.00	06/04/18 17.27.30	2.5
8451	VENEZIA MESTRE	06/04/18 17.35.00	06/04/18 17.37.30	2.5
8451	PADOVA	06/04/18 17.51.00	06/04/18 17.53.30	2.5
8451	FERRARA	06/04/18 18.23.00	06/04/18 18.31.30	8.5
8451	BOLOGNA C.LE/AV	06/04/18 18.52.00	06/04/18 18.57.30	5.5
8451	FIRENZE S.M.N.	06/04/18 19.30.00	06/04/18 19.46.30	16.5
8451	ROMA TIBURTINA	06/04/18 20.58.00	06/04/18 21.12.00	14.0
8451	ROMA TERMINI	06/04/18 21.10.00	06/04/18 21.21.00	11.0
8413	TRIESTE CENTRALE	06/04/18 06.44.00	06/04/18 06.44.30	0.5
8413	TRIESTE AIRPORT	06/04/18 07.07.00	06/04/18 07.08.30	1.5
8413	VENEZIA MESTRE	06/04/18 08.23.00	06/04/18 08.17.30	-5.5
8413	PADOVA	06/04/18 08.51.00	06/04/18 08.51.30	0.5
8413	FERRARA	06/04/18 09.23.00	06/04/18 09.29.00	6.0
8413	BOLOGNA C.LE/AV	06/04/18 09.52.00	06/04/18 09.55.30	3.5
8413	FIRENZE S.M.N.	06/04/18 10.30.00	06/04/18 10.33.00	3.0
8413	ROMA TERMINI	06/04/18 12.10.00	06/04/18 12.11.00	1.0
9425	VENEZIA SANTA LUCIA	06/04/18 11.35.00	06/04/18 11.35.30	0.5
9425	VENEZIA MESTRE	06/04/18 11.45.00	06/04/18 11.44.00	-1.0
9425	PADOVA	06/04/18 12.01.00	06/04/18 12.01.30	0.5
9425	BOLOGNA C.LE/AV	06/04/18 13.02.00	06/04/18 13.05.30	3.5
9425	FIRENZE S.M.N.	06/04/18 13.40.00	06/04/18 13.45.30	5.5
9425	ROMA TIBURTINA	06/04/18 15.08.00	06/04/18 15.09.30	1.5
9425	ROMA TERMINI	06/04/18 15.20.00	06/04/18 15.24.00	4.0
6531	BOLOGNA C.LE	06/04/18 22.09.00	06/04/18 22.13.00	4.0
6531	BOLOGNA MAZZINI	06/04/18 22.14.00	06/04/18 22.17.30	3.5
6531	BOLOGNA S.RUFFILLO	06/04/18 22.17.00	06/04/18 22.19.30	2.5
6531	RASTIGNANO	06/04/18 22.21.00	06/04/18 22.24.00	3.0
6531	MUSIANO-PIAN DI MACINA	06/04/18 22.26.00	06/04/18 22.29.30	3.5
6531	PIANORO	06/04/18 22.30.00	06/04/18 22.31.30	1.5
6531	MONZUNO	06/04/18 22.36.00	06/04/18 22.38.00	2.0
6531	GRIZZANA	06/04/18 22.44.00	06/04/18 22.45.00	1.0
6531	SAN BENEDETTO SAMBRO-CAST.PEPOLI	06/04/18 22.50.00	06/04/18 22.49.30	-0.5
9503	MILANO CENTRALE	06/04/18 06.15.00	06/04/18 06.16.30	1.5
9503	REGGIO EMILIA AV	06/04/18 06.59.00	06/04/18 06.58.30	-0.5
9503	BOLOGNA C.LE/AV	06/04/18 07.22.00	06/04/18 07.22.00	0.0
9503	FIRENZE S.M.N.	06/04/18 07.59.00	06/04/18 08.00.30	1.5
9503	AREZZO	06/04/18 08.40.00	06/04/18 08.38.30	-1.5
9503	ROMA TIBURTINA	06/04/18 09.43.00	06/04/18 09.46.30	3.5
9503	ROMA TERMINI	06/04/18 09.55.00	06/04/18 09.57.00	2.0
9503	NAPOLI CENTRALE	06/04/18 11.10.00	06/04/18 11.08.30	-1.5
9503	SALERNO	06/04/18 12.01.00	06/04/18 11.51.30	-9.5
9569	TORINO P.NUOVA	06/04/18 13.20.00	06/04/18 13.23.00	3.0
9569	TORINO PORTA SUSA	06/04/18 13.28.00	06/04/18 13.28.00	0.0
9569	MILANO PORTA GARIBALDI	06/04/18 14.15.00	06/04/18 14.17.00	2.0
9569	MILANO ROGOREDO	06/04/18 14.33.00	06/04/18 14.33.30	0.5
9569	REGGIO EMILIA AV	06/04/18 15.09.00	06/04/18 15.11.00	2.0
9569	BOLOGNA C.LE/AV	06/04/18 15.37.00	06/04/18 15.38.30	1.5
9569	FIRENZE S.M.N.	06/04/18 16.15.00	06/04/18 16.17.30	2.5
9569	ROMA TIBURTINA	06/04/18 17.43.00	06/04/18 17.43.30	0.5
9569	NAPOLI CENTRALE	06/04/18 18.55.00	06/04/18 19.23.00	28.0
9569	SALERNO	06/04/18 19.42.00	06/04/18 20.08.00	26.0
9501	MILANO CENTRALE	06/04/18 05.00.00	06/04/18 05.01.30	1.5
9501	BOLOGNA C.LE/AV	06/04/18 06.02.00	06/04/18 06.01.30	-0.5
9501	FIRENZE S.M.N.	06/04/18 06.41.00	06/04/18 06.41.00	0.0
9501	AREZZO	06/04/18 07.23.00	06/04/18 07.23.30	0.5
9501	ROMA TIBURTINA	06/04/18 08.24.00	06/04/18 08.26.00	2.0
9501	ROMA TERMINI	06/04/18 08.35.00	06/04/18 08.36.00	1.0
9501	NAPOLI CENTRALE	06/04/18 09.55.00	06/04/18 09.58.00	3.0
9545	TORINO P.NUOVA	06/04/18 15.00.00	06/04/18 15.01.00	1.0
9545	TORINO PORTA SUSA	06/04/18 15.08.00	06/04/18 15.06.30	-1.5
9545	MILANO CENTRALE	06/04/18 16.00.00	06/04/18 15.58.30	-1.5
9545	MILANO ROGOREDO	06/04/18 16.26.00	06/04/18 16.27.30	1.5
9545	BOLOGNA C.LE/AV	06/04/18 17.22.00	06/04/18 17.20.00	-2.0
9545	FIRENZE S.M.N.	06/04/18 17.59.00	06/04/18 18.01.00	2.0
9545	ROMA TIBURTINA	06/04/18 19.28.00	06/04/18 19.33.00	5.0
9545	ROMA TERMINI	06/04/18 19.40.00	06/04/18 19.44.00	4.0
9545	NAPOLI CENTRALE	06/04/18 21.00.00	06/04/18 21.03.30	3.5
9545	SALERNO	06/04/18 21.46.00	06/04/18 21.40.00	-6.0
3067	VIAREGGIO	06/04/18 15.10.00	06/04/18 15.11.00	1.0
3067	LUCCA	06/04/18 15.27.00	06/04/18 15.29.30	2.5
3067	ALTOPASCIO	06/04/18 15.40.00	06/04/18 15.42.00	2.0
3067	PESCIA	06/04/18 15.50.00	06/04/18 15.50.00	0.0
3067	MONTECATINI CENTRO	06/04/18 15.56.00	06/04/18 15.57.30	1.5
3067	MONTECATINI TERME	06/04/18 15.59.00	06/04/18 16.00.00	1.0
3067	PISTOIA	06/04/18 16.11.00	06/04/18 16.13.00	2.0
3067	PRATO PORTA AL SERRAGLIO	06/04/18 16.22.00	06/04/18 16.29.00	7.0
3067	PRATO CENTRALE	06/04/18 16.27.00	06/04/18 16.32.30	5.5
3067	SESTO FIORENTINO	06/04/18 16.35.00	06/04/18 16.40.30	5.5
3067	FIRENZE RIFREDI	06/04/18 16.44.00	06/04/18 16.48.30	4.5
3067	FIRENZE S.M.N.	06/04/18 16.50.00	06/04/18 16.57.00	7.0
9561	TORINO P.NUOVA	06/04/18 06.20.00	06/04/18 06.23.00	3.0
9561	TORINO PORTA SUSA	06/04/18 06.28.00	06/04/18 06.28.30	0.5
9561	MILANO PORTA GARIBALDI	06/04/18 07.15.00	06/04/18 07.20.00	5.0
9561	MILANO ROGOREDO	06/04/18 07.33.00	06/04/18 07.35.30	2.5
9561	REGGIO EMILIA AV	06/04/18 08.09.00	06/04/18 08.13.00	4.0
9561	BOLOGNA C.LE/AV	06/04/18 08.37.00	06/04/18 08.38.00	1.0
9561	FIRENZE S.M.N.	06/04/18 09.15.00	06/04/18 09.26.00	11.0
9561	ROMA TIBURTINA	06/04/18 10.43.00	06/04/18 10.56.00	13.0
9561	ROMA TERMINI	06/04/18 10.55.00	06/04/18 11.03.00	8.0
3083	VIAREGGIO	06/04/18 19.12.00	06/04/18 19.13.00	1.0
3083	LUCCA	06/04/18 19.29.00	06/04/18 19.30.00	1.0
3083	ALTOPASCIO	06/04/18 19.40.00	06/04/18 19.44.00	4.0
3083	PESCIA	06/04/18 19.50.00	06/04/18 19.52.00	2.0
3083	MONTECATINI CENTRO	06/04/18 19.56.00	06/04/18 19.58.30	2.5
3083	MONTECATINI TERME	06/04/18 19.59.00	06/04/18 20.01.00	2.0
3083	PISTOIA	06/04/18 20.11.00	06/04/18 20.17.30	6.5
3083	PRATO PORTA AL SERRAGLIO	06/04/18 20.22.00	06/04/18 20.29.30	7.5
3083	PRATO CENTRALE	06/04/18 20.27.00	06/04/18 20.32.30	5.5
3083	SESTO FIORENTINO	06/04/18 20.35.00	06/04/18 20.38.30	3.5
3083	FIRENZE RIFREDI	06/04/18 20.44.00	06/04/18 20.44.00	0.0
3083	FIRENZE S.M.N.	06/04/18 20.50.00	06/04/18 20.50.00	0.0
599	MILANO CENTRALE	06/04/18 17.40.00	06/04/18 17.45.00	5.0
599	MILANO LAMBRATE	06/04/18 17.47.00	06/04/18 17.50.00	3.0
599	MILANO ROGOREDO	06/04/18 17.58.00	06/04/18 17.56.00	-2.0
599	LODI	06/04/18 18.13.00	06/04/18 18.16.00	3.0
599	PIACENZA	06/04/18 18.43.00	06/04/18 18.37.00	-6.0
599	FIDENZA	06/04/18 19.01.00	06/04/18 19.01.30	0.5
599	PARMA	06/04/18 19.14.00	06/04/18 19.16.00	2.0
599	REGGIO EMILIA	06/04/18 19.31.00	06/04/18 19.33.30	2.5
