Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
20532	MODENA	13/02/18 12.09.00	13/02/18 12.10.00	1.0
20532	CARPI	13/02/18 12.22.00	13/02/18 12.23.00	1.0
20532	ROLO NOVI FABBRICO	13/02/18 12.34.00	13/02/18 12.37.00	3.0
20532	VILLANOVA DI REGGIOLO	13/02/18 12.40.30	13/02/18 12.42.30	2.0
20532	GONZAGA-REGGIOLO	13/02/18 12.44.30	13/02/18 12.46.00	1.5
20532	PALIDANO	13/02/18 12.49.30	13/02/18 12.53.00	3.5
20532	SUZZARA	13/02/18 12.54.00	13/02/18 12.56.00	2.0
20532	ROMANORE	13/02/18 13.01.00	13/02/18 13.05.30	4.5
20532	LEVATA	13/02/18 13.07.30	13/02/18 13.14.30	7.0
20532	BORGOCHIESANUOVA	13/02/18 13.10.30	13/02/18 13.16.30	6.0
20532	MANTOVA	13/02/18 13.17.00	13/02/18 13.19.00	2.0
20751	VERONA PORTA NUOVA	13/02/18 13.30.00	13/02/18 13.54.00	24.0
20751	DOSSOBUONO	13/02/18 13.38.00	13/02/18 14.02.30	24.5
20751	VILLAFRANCA DI VERONA	13/02/18 13.46.00	13/02/18 14.12.00	26.0
20751	MOZZECANE	13/02/18 13.52.00	13/02/18 14.18.30	26.5
20751	ROVERBELLA	13/02/18 14.00.00	13/02/18 14.24.00	24.0
20751	S.ANTONIO MANTOVANO	13/02/18 14.09.00	13/02/18 14.31.30	22.5
20751	MANTOVA	13/02/18 14.16.00	13/02/18 14.37.30	21.5
20352	PARMA	13/02/18 17.33.00	13/02/18 17.34.00	1.0
20352	CASALMAGGIORE	13/02/18 17.51.00	13/02/18 17.54.00	3.0
20352	S. GIOVANNI IN CROCE	13/02/18 18.00.00	13/02/18 18.03.00	3.0
20352	PIADENA	13/02/18 18.12.00	13/02/18 18.15.00	3.0
20352	ASOLA	13/02/18 18.23.00	13/02/18 18.29.00	6.0
20352	REMEDELLO SOPRA	13/02/18 18.30.00	13/02/18 18.37.30	7.5
20352	GHEDI	13/02/18 18.47.30	13/02/18 18.52.30	5.0
20352	BRESCIA	13/02/18 19.05.00	13/02/18 19.06.30	1.5
20570	MODENA	13/02/18 18.09.00	13/02/18 18.11.00	2.0
20570	CARPI	13/02/18 18.22.00	13/02/18 18.23.00	1.0
20570	ROLO NOVI FABBRICO	13/02/18 18.34.00	13/02/18 18.36.30	2.5
20570	VILLANOVA DI REGGIOLO	13/02/18 18.40.30	13/02/18 18.42.30	2.0
20570	GONZAGA-REGGIOLO	13/02/18 18.44.30	13/02/18 18.46.30	2.0
20570	PALIDANO	13/02/18 18.49.30	13/02/18 18.53.30	4.0
20570	SUZZARA	13/02/18 18.54.00	13/02/18 18.56.30	2.5
20570	ROMANORE	13/02/18 19.01.00	13/02/18 19.06.30	5.5
20570	LEVATA	13/02/18 19.07.30	13/02/18 19.16.30	9.0
20570	BORGOCHIESANUOVA	13/02/18 19.10.30	13/02/18 19.18.30	8.0
20570	MANTOVA	13/02/18 19.17.00	13/02/18 19.21.30	4.5
2892	BOLOGNA C.LE	13/02/18 05.00.00	13/02/18 05.01.30	1.5
2892	CASTELFRANCO D'EMILIA	13/02/18 05.14.00	13/02/18 05.22.00	8.0
2892	MODENA	13/02/18 05.22.00	13/02/18 05.29.30	7.5
2892	REGGIO EMILIA	13/02/18 05.36.00	13/02/18 05.42.30	6.5
2892	PARMA	13/02/18 05.51.00	13/02/18 06.00.00	9.0
2892	FIDENZA	13/02/18 06.05.00	13/02/18 06.11.30	6.5
2892	FIORENZUOLA	13/02/18 06.17.00	13/02/18 06.20.00	3.0
2892	PIACENZA	13/02/18 06.32.00	13/02/18 06.34.30	2.5
2892	S.NICOLO'	13/02/18 06.41.00	13/02/18 06.45.30	4.5
2892	CASTEL S.GIOVANNI	13/02/18 06.52.00	13/02/18 06.54.30	2.5
2892	STRADELLA	13/02/18 07.01.00	13/02/18 07.02.30	1.5
2892	VOGHERA	13/02/18 07.19.00	13/02/18 07.20.30	1.5
2132	ANCONA	13/02/18 12.45.00	13/02/18 12.47.00	2.0
2274	BOLOGNA C.LE	13/02/18 05.52.00	13/02/18 05.54.00	2.0
2274	ANZOLA	13/02/18 06.03.00	13/02/18 06.04.30	1.5
2274	SAMOGGIA	13/02/18 06.08.00	13/02/18 06.09.00	1.0
2274	CASTELFRANCO D'EMILIA	13/02/18 06.14.00	13/02/18 06.13.30	-0.5
2274	MODENA	13/02/18 06.23.00	13/02/18 06.24.00	1.0
2274	RUBIERA	13/02/18 06.32.00	13/02/18 06.34.00	2.0
2274	REGGIO EMILIA	13/02/18 06.40.00	13/02/18 06.48.00	8.0
2274	S.ILARIO	13/02/18 06.53.00	13/02/18 07.04.30	11.5
2274	PARMA	13/02/18 07.03.00	13/02/18 07.12.30	9.5
2274	FIDENZA	13/02/18 07.24.00	13/02/18 07.31.30	7.5
2274	FIORENZUOLA	13/02/18 07.33.00	13/02/18 07.40.00	7.0
2274	PIACENZA	13/02/18 07.48.00	13/02/18 08.02.00	14.0
2274	LODI	13/02/18 08.17.00	13/02/18 08.23.00	6.0
2274	MILANO ROGOREDO	13/02/18 08.35.00	13/02/18 08.39.30	4.5
2274	MILANO LAMBRATE	13/02/18 08.43.00	13/02/18 08.46.30	3.5
2274	MILANO CENTRALE	13/02/18 08.50.00	13/02/18 08.53.30	3.5
20759	VERONA PORTA NUOVA	13/02/18 17.30.00	13/02/18 17.39.30	9.5
20759	DOSSOBUONO	13/02/18 17.38.00	13/02/18 17.48.30	10.5
20759	VILLAFRANCA DI VERONA	13/02/18 17.46.00	13/02/18 17.55.00	9.0
20759	MOZZECANE	13/02/18 17.52.00	13/02/18 18.01.00	9.0
20759	ROVERBELLA	13/02/18 18.00.00	13/02/18 18.08.00	8.0
20759	S.ANTONIO MANTOVANO	13/02/18 18.09.00	13/02/18 18.15.00	6.0
20759	MANTOVA	13/02/18 18.16.00	13/02/18 18.21.00	5.0
590	NAPOLI CENTRALE	13/02/18 10.31.00	13/02/18 10.45.00	14.0
20458	MONSELICE	13/02/18 05.39.00	13/02/18 05.40.00	1.0
20458	ESTE	13/02/18 05.46.00	13/02/18 05.47.00	1.0
20458	OSPEDALETTO EUGANEO	13/02/18 05.51.00	13/02/18 05.53.00	2.0
20458	SALETTO	13/02/18 05.59.00	13/02/18 05.58.30	-0.5
20458	MONTAGNANA	13/02/18 06.05.00	13/02/18 06.05.30	0.5
20458	BEVILACQUA	13/02/18 06.11.00	13/02/18 06.11.00	0.0
20458	BOSCHI S.ANNA	13/02/18 06.15.00	13/02/18 06.16.30	1.5
20458	LEGNAGO	13/02/18 06.21.00	13/02/18 06.22.00	1.0
20458	CEREA	13/02/18 06.28.00	13/02/18 06.30.30	2.5
20458	SANGUINETTO	13/02/18 06.34.00	13/02/18 06.37.00	3.0
20458	NOGARA	13/02/18 06.41.00	13/02/18 06.44.00	3.0
20458	BONFERRARO	13/02/18 06.49.00	13/02/18 06.53.00	4.0
20458	CASTEL D`ARIO	13/02/18 06.55.00	13/02/18 06.55.00	0.0
20458	GAZZO DI BIGARELLO	13/02/18 07.06.00	13/02/18 07.08.30	2.5
20458	MANTOVA FRASSINE	13/02/18 07.14.00	13/02/18 07.14.30	0.5
20458	MANTOVA	13/02/18 07.23.00	13/02/18 07.23.00	0.0
20556	MODENA	13/02/18 16.09.00	13/02/18 16.10.00	1.0
20556	CARPI	13/02/18 16.22.00	13/02/18 16.21.00	-1.0
20556	ROLO NOVI FABBRICO	13/02/18 16.34.00	13/02/18 16.35.00	1.0
20556	VILLANOVA DI REGGIOLO	13/02/18 16.40.30	13/02/18 16.44.00	3.5
20556	GONZAGA-REGGIOLO	13/02/18 16.44.30	13/02/18 16.47.30	3.0
20556	PALIDANO	13/02/18 16.49.30	13/02/18 16.54.00	4.5
20556	SUZZARA	13/02/18 16.54.00	13/02/18 16.57.30	3.5
20556	ROMANORE	13/02/18 17.01.00	13/02/18 17.06.30	5.5
20556	LEVATA	13/02/18 17.07.30	13/02/18 17.15.00	7.5
20556	BORGOCHIESANUOVA	13/02/18 17.10.30	13/02/18 17.17.00	6.5
20556	MANTOVA	13/02/18 17.17.00	13/02/18 17.19.30	2.5
2128	ANCONA	13/02/18 08.45.00	13/02/18 08.49.00	4.0
2128	FALCONARA MARITTIMA	13/02/18 08.53.00	13/02/18 08.55.30	2.5
2128	SENIGALLIA	13/02/18 09.03.00	13/02/18 09.04.30	1.5
2128	MAROTTA MONDOLFO	13/02/18 09.10.00	13/02/18 09.11.00	1.0
2128	FANO	13/02/18 09.19.00	13/02/18 09.18.30	-0.5
2128	PESARO	13/02/18 09.27.00	13/02/18 09.27.30	0.5
2128	CATTOLICA S.GIOVANNI GABICCE	13/02/18 09.38.00	13/02/18 09.38.30	0.5
2128	RICCIONE	13/02/18 09.48.00	13/02/18 09.45.00	-3.0
2128	RIMINI	13/02/18 09.58.00	13/02/18 09.55.00	-3.0
2128	CESENA	13/02/18 10.16.00	13/02/18 10.16.00	0.0
8806	PESCARA	13/02/18 06.00.00	13/02/18 06.01.00	1.0
8806	S.BENEDETTO DEL TRONTO	13/02/18 06.28.00	13/02/18 06.29.30	1.5
8806	ANCONA	13/02/18 07.13.00	13/02/18 07.13.30	0.5
8806	PESARO	13/02/18 07.43.00	13/02/18 07.42.30	-0.5
8806	RIMINI	13/02/18 08.04.00	13/02/18 08.06.00	2.0
8806	CESENA	13/02/18 08.22.00	13/02/18 08.22.30	0.5
8806	FORLI`	13/02/18 08.34.00	13/02/18 08.32.30	-1.5
8806	FAENZA	13/02/18 08.44.00	13/02/18 08.44.00	0.0
8806	BOLOGNA C.LE	13/02/18 09.14.00	13/02/18 09.15.30	1.5
8806	MODENA	13/02/18 09.39.00	13/02/18 09.39.00	0.0
8806	REGGIO EMILIA	13/02/18 09.52.00	13/02/18 09.55.00	3.0
8806	PARMA	13/02/18 10.08.00	13/02/18 10.14.30	6.5
8806	PIACENZA	13/02/18 10.39.00	13/02/18 10.43.00	4.0
8806	MILANO CENTRALE	13/02/18 11.25.00	13/02/18 11.31.30	6.5
8508	NAPOLI CENTRALE	13/02/18 07.08.00	13/02/18 07.09.00	1.0
8508	ROMA TERMINI	13/02/18 08.23.00	13/02/18 08.25.00	2.0
8508	FIRENZE CAMPO MARTE	13/02/18 10.01.00	13/02/18 10.07.00	6.0
8508	BOLOGNA C.LE/AV	13/02/18 10.42.00	13/02/18 10.47.00	5.0
