Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
8810	BARI CENTRALE	11/12/17 05.30.00	11/12/17 05.32.00	2.0
8810	BARLETTA	11/12/17 06.00.00	11/12/17 06.00.30	0.5
8810	FOGGIA	11/12/17 06.33.00	11/12/17 06.31.30	-1.5
8810	TERMOLI	11/12/17 07.20.00	11/12/17 07.17.00	-3.0
8810	PESCARA	11/12/17 08.08.00	11/12/17 08.07.30	-0.5
8810	S.BENEDETTO DEL TRONTO	11/12/17 08.38.00	11/12/17 08.40.30	2.5
8810	ANCONA	11/12/17 09.19.00	11/12/17 09.21.30	2.5
8810	PESARO	11/12/17 09.53.00	11/12/17 09.52.30	-0.5
8810	RIMINI	11/12/17 10.15.00	11/12/17 10.13.30	-1.5
8810	BOLOGNA C.LE	11/12/17 11.14.00	11/12/17 11.13.00	-1.0
8810	MODENA	11/12/17 11.39.00	11/12/17 11.35.30	-3.5
8810	REGGIO EMILIA	11/12/17 11.52.00	11/12/17 11.54.00	2.0
8810	PARMA	11/12/17 12.08.00	11/12/17 12.12.00	4.0
8810	PIACENZA	11/12/17 12.39.00	11/12/17 12.39.30	0.5
8810	MILANO CENTRALE	11/12/17 13.25.00	11/12/17 13.19.30	-5.5
8830	LECCE	11/12/17 14.03.00	11/12/17 14.04.00	1.0
8830	BRINDISI	11/12/17 14.24.00	11/12/17 14.22.30	-1.5
8830	BARI CENTRALE	11/12/17 15.26.00	11/12/17 15.26.30	0.5
8830	BARLETTA	11/12/17 16.00.00	11/12/17 15.57.30	-2.5
8830	FOGGIA	11/12/17 16.33.00	11/12/17 16.30.00	-3.0
8830	TERMOLI	11/12/17 17.20.00	11/12/17 17.26.30	6.5
8830	PESCARA	11/12/17 18.08.00	11/12/17 18.13.00	5.0
8830	ANCONA	11/12/17 19.19.00	11/12/17 19.21.30	2.5
8830	PESARO	11/12/17 19.53.00	11/12/17 19.53.30	0.5
8830	RIMINI	11/12/17 20.15.00	11/12/17 20.12.30	-2.5
8830	BOLOGNA C.LE	11/12/17 21.14.00	11/12/17 21.09.00	-5.0
8830	MODENA	11/12/17 21.39.00	11/12/17 21.36.00	-3.0
2276	RIMINI	11/12/17 05.20.00	11/12/17 05.21.00	1.0
2276	BELLARIA	11/12/17 05.29.00	11/12/17 05.32.00	3.0
2276	GATTEO A MARE	11/12/17 05.35.00	11/12/17 05.37.00	2.0
2276	CESENATICO	11/12/17 05.44.00	11/12/17 05.42.00	-2.0
2276	CERVIA-MILANO MARITTIMA	11/12/17 05.53.00	11/12/17 05.53.00	0.0
