Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6489	BOLOGNA C.LE	17/12/17 20.06.00	17/12/17 20.07.30	1.5
6489	BOLOGNA SAN VITALE	17/12/17 20.10.00	17/12/17 20.11.30	1.5
6489	S.LAZZARO DI SAVENA	17/12/17 20.14.00	17/12/17 20.16.00	2.0
6489	OZZANO DELL'EMILIA	17/12/17 20.20.00	17/12/17 20.21.30	1.5
6489	CASTEL S.PIETRO TERME	17/12/17 20.27.00	17/12/17 20.27.00	0.0
6489	IMOLA	17/12/17 20.35.00	17/12/17 20.37.30	2.5
6489	CASTELBOLOGNESE	17/12/17 20.41.00	17/12/17 21.34.00	53.0
8852	ROMA TERMINI	17/12/17 17.38.00	17/12/17 17.44.00	6.0
3013	BOLOGNA C.LE	17/12/17 18.06.00	17/12/17 18.08.00	2.0
3013	BOLOGNA SAN VITALE	17/12/17 18.10.00	17/12/17 18.13.30	3.5
3013	S.LAZZARO DI SAVENA	17/12/17 18.14.00	17/12/17 18.17.30	3.5
3013	OZZANO DELL'EMILIA	17/12/17 18.20.00	17/12/17 18.22.00	2.0
3013	VARIGNANA	17/12/17 18.24.00	17/12/17 18.25.30	1.5
3013	CASTEL S.PIETRO TERME	17/12/17 18.29.00	17/12/17 18.29.30	0.5
3013	IMOLA	17/12/17 18.37.00	17/12/17 18.36.00	-1.0
3013	CASTELBOLOGNESE	17/12/17 18.43.00	17/12/17 18.43.30	0.5
3013	SOLAROLO	17/12/17 18.49.00	17/12/17 18.49.00	0.0
3013	LUGO	17/12/17 18.56.00	17/12/17 18.57.30	1.5
3013	BAGNACAVALLO	17/12/17 19.04.00	17/12/17 19.03.00	-1.0
3013	RUSSI	17/12/17 19.11.00	17/12/17 19.09.30	-1.5
3013	GODO	17/12/17 19.15.00	17/12/17 19.15.00	0.0
3013	RAVENNA	17/12/17 19.28.00	17/12/17 19.27.00	-1.0
3013	CLASSE	17/12/17 19.39.00	17/12/17 19.53.30	14.5
3013	LIDO DI CLASSE-LIDO DI SAVIO	17/12/17 19.49.00	17/12/17 20.00.00	11.0
3013	CERVIA-MILANO MARITTIMA	17/12/17 19.55.00	17/12/17 20.06.00	11.0
3013	CESENATICO	17/12/17 20.04.00	17/12/17 20.12.00	8.0
3013	GATTEO A MARE	17/12/17 20.11.00	17/12/17 20.18.00	7.0
3013	BELLARIA	17/12/17 20.15.00	17/12/17 20.20.30	5.5
3013	IGEA MARINA	17/12/17 20.19.00	17/12/17 20.24.00	5.0
3013	RIMINI TORRE PEDRERA	17/12/17 20.24.00	17/12/17 20.28.00	4.0
3013	RIMINI VISERBA	17/12/17 20.28.00	17/12/17 20.30.30	2.5
3013	RIMINI	17/12/17 20.34.00	17/12/17 20.36.00	2.0
2891	VOGHERA	17/12/17 07.01.00	17/12/17 07.02.00	1.0
2891	STRADELLA	17/12/17 07.17.00	17/12/17 07.14.00	-3.0
2891	CASTEL S.GIOVANNI	17/12/17 07.25.00	17/12/17 07.24.30	-0.5
2891	S.NICOLO'	17/12/17 07.37.00	17/12/17 07.34.30	-2.5
2891	PIACENZA	17/12/17 07.46.00	17/12/17 07.46.00	0.0
2891	FIORENZUOLA	17/12/17 08.04.00	17/12/17 08.03.30	-0.5
2891	FIDENZA	17/12/17 08.13.00	17/12/17 08.14.30	1.5
2891	PARMA	17/12/17 08.28.00	17/12/17 08.29.00	1.0
2891	REGGIO EMILIA	17/12/17 08.45.00	17/12/17 08.47.30	2.5
2891	MODENA	17/12/17 08.59.00	17/12/17 09.00.30	1.5
2891	CASTELFRANCO D'EMILIA	17/12/17 09.07.00	17/12/17 09.09.00	2.0
2891	BOLOGNA C.LE	17/12/17 09.28.00	17/12/17 09.26.30	-1.5
2891	CASTEL S.PIETRO TERME	17/12/17 09.49.00	17/12/17 09.47.00	-2.0
2891	IMOLA	17/12/17 10.00.00	17/12/17 09.56.00	-4.0
2891	CASTELBOLOGNESE	17/12/17 10.08.00	17/12/17 10.06.00	-2.0
2891	FAENZA	17/12/17 10.14.00	17/12/17 10.15.30	1.5
2891	FORLI`	17/12/17 10.25.00	17/12/17 10.29.00	4.0
3011	BOLOGNA C.LE	17/12/17 17.08.00	17/12/17 17.09.30	1.5
3011	S.LAZZARO DI SAVENA	17/12/17 17.13.00	17/12/17 17.15.00	2.0
3011	OZZANO DELL'EMILIA	17/12/17 17.19.00	17/12/17 17.20.30	1.5
3011	CASTEL S.PIETRO TERME	17/12/17 17.26.00	17/12/17 17.25.30	-0.5
3011	IMOLA	17/12/17 17.35.00	17/12/17 17.33.00	-2.0
3011	CASTELBOLOGNESE	17/12/17 17.41.00	17/12/17 17.41.00	0.0
3011	SOLAROLO	17/12/17 17.47.00	17/12/17 17.46.30	-0.5
3011	LUGO	17/12/17 17.58.00	17/12/17 17.55.00	-3.0
3011	BAGNACAVALLO	17/12/17 18.04.00	17/12/17 18.05.00	1.0
3011	RUSSI	17/12/17 18.10.00	17/12/17 18.10.30	0.5
3011	GODO	17/12/17 18.14.00	17/12/17 18.14.30	0.5
3011	RAVENNA	17/12/17 18.29.00	17/12/17 18.24.00	-5.0
2285	MILANO CENTRALE	17/12/17 18.15.00	17/12/17 18.19.30	4.5
2285	MILANO LAMBRATE	17/12/17 18.21.00	17/12/17 18.24.00	3.0
2285	MILANO ROGOREDO	17/12/17 18.26.00	17/12/17 18.30.00	4.0
2285	LODI	17/12/17 18.41.00	17/12/17 18.45.30	4.5
2285	PIACENZA	17/12/17 19.07.00	17/12/17 19.07.00	0.0
2285	FIORENZUOLA	17/12/17 19.19.00	17/12/17 19.21.00	2.0
2285	FIDENZA	17/12/17 19.31.00	17/12/17 19.32.30	1.5
2285	PARMA	17/12/17 19.54.00	17/12/17 19.52.00	-2.0
2285	S.ILARIO	17/12/17 20.02.00	17/12/17 20.02.30	0.5
2285	REGGIO EMILIA	17/12/17 20.14.00	17/12/17 20.15.00	1.0
2285	RUBIERA	17/12/17 20.24.00	17/12/17 20.23.00	-1.0
2285	MODENA	17/12/17 20.32.00	17/12/17 20.32.30	0.5
2285	CASTELFRANCO D'EMILIA	17/12/17 20.41.00	17/12/17 20.41.30	0.5
2285	SAMOGGIA	17/12/17 20.48.00	17/12/17 20.49.00	1.0
2285	ANZOLA	17/12/17 20.53.00	17/12/17 20.54.30	1.5
2285	BOLOGNA C.LE	17/12/17 21.08.00	17/12/17 21.04.30	-3.5
2285	BOLOGNA SAN VITALE	17/12/17 21.20.00	17/12/17 21.21.30	1.5
2285	S.LAZZARO DI SAVENA	17/12/17 21.24.00	17/12/17 21.26.00	2.0
2285	OZZANO DELL'EMILIA	17/12/17 21.30.00	17/12/17 21.32.00	2.0
2285	CASTEL S.PIETRO TERME	17/12/17 21.37.00	17/12/17 21.38.00	1.0
2999	BOLOGNA C.LE	17/12/17 09.06.00	17/12/17 09.07.30	1.5
2999	BOLOGNA SAN VITALE	17/12/17 09.10.00	17/12/17 09.13.00	3.0
2999	S.LAZZARO DI SAVENA	17/12/17 09.14.00	17/12/17 09.17.30	3.5
2999	OZZANO DELL'EMILIA	17/12/17 09.20.00	17/12/17 09.23.00	3.0
2999	CASTEL S.PIETRO TERME	17/12/17 09.27.00	17/12/17 09.28.00	1.0
2999	IMOLA	17/12/17 09.35.00	17/12/17 09.36.00	1.0
2999	CASTELBOLOGNESE	17/12/17 09.41.00	17/12/17 09.43.00	2.0
2999	SOLAROLO	17/12/17 09.47.00	17/12/17 09.49.30	2.5
