Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6463	BOLOGNA C.LE	05/11/17 05.00.00	05/11/17 05.02.30	2.5
6463	VARIGNANA	05/11/17 05.11.00	05/11/17 05.13.00	2.0
6463	CASTEL S.PIETRO TERME	05/11/17 05.17.00	05/11/17 05.17.00	0.0
6463	IMOLA	05/11/17 05.25.00	05/11/17 05.24.00	-1.0
6463	CASTELBOLOGNESE	05/11/17 05.31.00	05/11/17 05.32.00	1.0
6463	FAENZA	05/11/17 05.37.00	05/11/17 05.38.30	1.5
6463	FORLI`	05/11/17 05.46.00	05/11/17 05.48.30	2.5
11591	RAVENNA	05/11/17 06.28.00	05/11/17 06.29.00	1.0
11591	CLASSE	05/11/17 06.32.00	05/11/17 06.33.30	1.5
11591	LIDO DI CLASSE-LIDO DI SAVIO	05/11/17 06.41.00	05/11/17 06.39.30	-1.5
11591	CERVIA-MILANO MARITTIMA	05/11/17 06.49.00	05/11/17 06.47.30	-1.5
11591	CESENATICO	05/11/17 06.56.00	05/11/17 06.57.30	1.5
11591	GATTEO A MARE	05/11/17 07.01.00	05/11/17 07.03.00	2.0
11591	BELLARIA	05/11/17 07.06.00	05/11/17 07.06.00	0.0
11591	IGEA MARINA	05/11/17 07.10.00	05/11/17 07.09.30	-0.5
11591	RIMINI TORRE PEDRERA	05/11/17 07.16.00	05/11/17 07.17.00	1.0
11591	RIMINI VISERBA	05/11/17 07.20.00	05/11/17 07.19.30	-0.5
11591	RIMINI	05/11/17 07.27.00	05/11/17 07.24.00	-3.0
2121	BOLOGNA C.LE	05/11/17 06.35.00	05/11/17 06.36.00	1.0
2121	CASTEL S.PIETRO TERME	05/11/17 06.49.00	05/11/17 06.48.30	-0.5
2121	IMOLA	05/11/17 07.00.00	05/11/17 06.56.00	-4.0
2121	CASTELBOLOGNESE	05/11/17 07.08.00	05/11/17 07.07.00	-1.0
2121	FAENZA	05/11/17 07.14.00	05/11/17 07.15.00	1.0
2121	FORLI`	05/11/17 07.25.00	05/11/17 07.25.00	0.0
2121	CESENA	05/11/17 07.40.00	05/11/17 07.39.00	-1.0
11525	BOLOGNA C.LE	05/11/17 07.06.00	05/11/17 07.07.30	1.5
11407	PIACENZA	05/11/17 05.29.00	05/11/17 05.30.00	1.0
11407	PONTENURE	05/11/17 05.36.00	05/11/17 05.36.30	0.5
11407	CADEO	05/11/17 05.42.00	05/11/17 05.41.30	-0.5
11407	FIORENZUOLA	05/11/17 05.48.00	05/11/17 05.47.30	-0.5
11407	FIDENZA	05/11/17 05.56.00	05/11/17 05.56.00	0.0
11407	CASTELGUELFO	05/11/17 06.03.00	05/11/17 06.02.30	-0.5
11407	PARMA	05/11/17 06.12.00	05/11/17 06.12.30	0.5
11407	S.ILARIO	05/11/17 06.21.00	05/11/17 06.19.30	-1.5
11407	REGGIO EMILIA	05/11/17 06.32.00	05/11/17 06.32.00	0.0
11407	RUBIERA	05/11/17 06.41.00	05/11/17 06.40.00	-1.0
11407	MODENA	05/11/17 06.50.00	05/11/17 06.49.30	-0.5
