Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
8413	TRIESTE CENTRALE	02/03/18 06.47.00	02/03/18 06.47.30	0.5
8413	VENEZIA MESTRE	02/03/18 08.23.00	02/03/18 08.16.30	-6.5
8413	PADOVA	02/03/18 08.51.00	02/03/18 08.53.30	2.5
8413	FERRARA	02/03/18 09.23.00	02/03/18 09.32.00	9.0
8413	BOLOGNA C.LE/AV	02/03/18 09.52.00	02/03/18 10.05.00	13.0
8413	FIRENZE S.M.N.	02/03/18 10.30.00	02/03/18 10.59.00	29.0
8413	ROMA TERMINI	02/03/18 12.10.00	02/03/18 12.35.00	25.0
11483	FERRARA	02/03/18 13.35.00	02/03/18 13.47.00	12.0
11483	CORONELLA	02/03/18 13.40.00	02/03/18 13.52.00	12.0
11483	POGGIO RENATICO	02/03/18 13.45.00	02/03/18 13.59.00	14.0
11483	GALLIERA	02/03/18 13.50.00	02/03/18 14.04.30	14.5
11483	S.PIETRO IN CASALE	02/03/18 13.56.00	02/03/18 14.07.30	11.5
11483	S.GIORGIO P.	02/03/18 14.02.00	02/03/18 14.12.30	10.5
11483	FUNO CENTERGROSS	02/03/18 14.07.00	02/03/18 14.17.00	10.0
11483	CASTELMAGGIORE	02/03/18 14.11.00	02/03/18 14.19.30	8.5
11483	BOLOGNA CORTICELLA	02/03/18 14.21.00	02/03/18 14.23.30	2.5
11483	BOLOGNA C.LE	02/03/18 14.35.00	02/03/18 14.35.00	0.0
6423	FERRARA	02/03/18 15.25.00	02/03/18 15.25.30	0.5
6423	POGGIO RENATICO	02/03/18 15.32.00	02/03/18 15.35.30	3.5
6423	GALLIERA	02/03/18 15.37.00	02/03/18 15.41.00	4.0
6423	S.PIETRO IN CASALE	02/03/18 15.42.00	02/03/18 15.43.30	1.5
6423	S.GIORGIO P.	02/03/18 15.52.00	02/03/18 15.54.00	2.0
6423	FUNO CENTERGROSS	02/03/18 15.57.00	02/03/18 15.58.30	1.5
6423	CASTELMAGGIORE	02/03/18 16.00.00	02/03/18 16.00.00	0.0
6423	BOLOGNA CORTICELLA	02/03/18 16.04.00	02/03/18 16.17.30	13.5
6423	BOLOGNA C.LE	02/03/18 16.13.00	02/03/18 16.25.00	12.0
2141	DOMODOSSOLA	02/03/18 04.53.00	02/03/18 04.57.00	4.0
2141	VERBANIA-PALLANZA	02/03/18 05.12.00	02/03/18 05.12.30	0.5
2141	STRESA	02/03/18 05.20.00	02/03/18 05.21.00	1.0
2141	ARONA	02/03/18 05.34.00	02/03/18 05.33.00	-1.0
2141	SESTO CALENDE	02/03/18 05.42.00	02/03/18 05.43.00	1.0
2141	GALLARATE	02/03/18 05.57.00	02/03/18 05.59.30	2.5
2141	BUSTO ARSIZIO	02/03/18 06.03.00	02/03/18 06.08.00	5.0
2141	RHO FIERA MILANO	02/03/18 06.18.00	02/03/18 06.25.00	7.0
2141	MILANO CENTRALE	02/03/18 06.31.00	02/03/18 06.42.30	11.5
2229	VENEZIA SANTA LUCIA	02/03/18 08.42.00	02/03/18 09.01.30	19.5
2229	VENEZIA MESTRE	02/03/18 08.52.00	02/03/18 09.11.00	19.0
2229	PADOVA	02/03/18 09.08.00	02/03/18 09.30.00	22.0
2229	TERME EUGANEE-ABANO-MONTEGR.	02/03/18 09.20.00	02/03/18 09.39.30	19.5
2229	MONSELICE	02/03/18 09.29.00	02/03/18 09.47.00	18.0
2229	ROVIGO	02/03/18 09.43.00	02/03/18 09.59.00	16.0
2229	FERRARA	02/03/18 10.09.00	02/03/18 10.18.30	9.5
2229	S.PIETRO IN CASALE	02/03/18 10.22.00	02/03/18 10.34.00	12.0
2229	BOLOGNA C.LE	02/03/18 10.40.00	02/03/18 10.52.30	12.5
