Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
9520	NAPOLI CENTRALE	21/03/18 09.00.00	21/03/18 09.02.30	2.5
9520	ROMA TERMINI	21/03/18 10.10.00	21/03/18 10.29.00	19.0
9520	ROMA TIBURTINA	21/03/18 10.27.00	21/03/18 10.44.30	17.5
9520	FIRENZE S.M.N.	21/03/18 11.51.00	21/03/18 12.13.00	22.0
9520	BOLOGNA C.LE/AV	21/03/18 12.35.00	21/03/18 12.57.00	22.0
9520	MILANO CENTRALE	21/03/18 13.40.00	21/03/18 13.58.30	18.5
8432	FIUMICINO AEROPORTO	21/03/18 11.08.00	21/03/18 11.08.30	0.5
8432	ROMA TERMINI	21/03/18 11.40.00	21/03/18 11.42.00	2.0
8432	ROMA TIBURTINA	21/03/18 11.58.00	21/03/18 11.58.00	0.0
8432	FIRENZE S.M.N.	21/03/18 13.22.00	21/03/18 13.23.30	1.5
8432	BOLOGNA C.LE/AV	21/03/18 14.05.00	21/03/18 14.06.00	1.0
8432	PADOVA	21/03/18 15.07.00	21/03/18 15.04.00	-3.0
8432	VENEZIA MESTRE	21/03/18 15.23.00	21/03/18 15.22.30	-0.5
8432	VENEZIA SANTA LUCIA	21/03/18 15.35.00	21/03/18 15.34.30	-0.5
9540	NAPOLI CENTRALE	21/03/18 14.00.00	21/03/18 14.01.00	1.0
9540	ROMA TERMINI	21/03/18 15.10.00	21/03/18 15.09.00	-1.0
9540	ROMA TIBURTINA	21/03/18 15.27.00	21/03/18 15.34.00	7.0
9540	FIRENZE S.M.N.	21/03/18 16.51.00	21/03/18 17.00.30	9.5
9540	BOLOGNA C.LE/AV	21/03/18 17.35.00	21/03/18 17.43.00	8.0
9502	FIRENZE S.M.N.	21/03/18 07.30.00	21/03/18 07.34.30	4.5
9502	BOLOGNA C.LE/AV	21/03/18 08.05.00	21/03/18 08.23.00	18.0
9502	MILANO CENTRALE	21/03/18 09.10.00	21/03/18 09.27.30	17.5
9500	PERUGIA	21/03/18 05.13.00	21/03/18 05.14.00	1.0
9500	AREZZO	21/03/18 06.02.00	21/03/18 06.07.00	5.0
9500	FIRENZE S.M.N.	21/03/18 06.34.00	21/03/18 06.40.00	6.0
9500	BOLOGNA C.LE/AV	21/03/18 07.18.00	21/03/18 07.23.30	5.5
9500	REGGIO EMILIA AV	21/03/18 07.40.00	21/03/18 07.47.00	7.0
9500	MILANO CENTRALE	21/03/18 08.30.00	21/03/18 08.42.30	12.5
9500	TORINO PORTA SUSA	21/03/18 09.44.00	21/03/18 09.44.30	0.5
9500	TORINO P.NUOVA	21/03/18 09.55.00	21/03/18 09.54.30	-0.5
9566	ROMA TERMINI	21/03/18 07.05.00	21/03/18 07.05.00	0.0
9566	ROMA TIBURTINA	21/03/18 07.13.00	21/03/18 07.11.00	-2.0
9566	FIRENZE S.M.N.	21/03/18 08.36.00	21/03/18 08.42.30	6.5
9566	BOLOGNA C.LE/AV	21/03/18 09.20.00	21/03/18 09.22.30	2.5
9566	REGGIO EMILIA AV	21/03/18 09.42.00	21/03/18 09.45.30	3.5
9566	MILANO ROGOREDO	21/03/18 10.22.00	21/03/18 10.28.00	6.0
9566	MILANO PORTA GARIBALDI	21/03/18 10.42.00	21/03/18 10.42.00	0.0
9566	TORINO PORTA SUSA	21/03/18 11.30.00	21/03/18 11.27.00	-3.0
9566	TORINO P.NUOVA	21/03/18 11.40.00	21/03/18 11.37.00	-3.0
9544	NAPOLI CENTRALE	21/03/18 15.00.00	21/03/18 15.00.30	0.5
9544	ROMA TERMINI	21/03/18 16.10.00	21/03/18 16.08.00	-2.0
9544	ROMA TIBURTINA	21/03/18 16.27.00	21/03/18 16.29.30	2.5
8434	ROMA TERMINI	21/03/18 12.50.00	21/03/18 12.55.00	5.0
8434	ROMA TIBURTINA	21/03/18 12.58.00	21/03/18 13.01.00	3.0
8434	FIRENZE S.M.N.	21/03/18 14.22.00	21/03/18 14.21.00	-1.0
8434	BOLOGNA C.LE/AV	21/03/18 15.05.00	21/03/18 15.04.00	-1.0
8434	PADOVA	21/03/18 16.07.00	21/03/18 16.07.00	0.0
8434	VENEZIA MESTRE	21/03/18 16.23.00	21/03/18 16.23.30	0.5
8434	VENEZIA SANTA LUCIA	21/03/18 16.35.00	21/03/18 16.36.30	1.5
9446	NAPOLI CENTRALE	21/03/18 16.30.00	21/03/18 16.44.00	14.0
9446	ROMA TERMINI	21/03/18 17.40.00	21/03/18 17.48.00	8.0
