Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
20533	MANTOVA	04/12/17 11.29.00	04/12/17 11.30.30	1.5
20533	BORGOCHIESANUOVA	04/12/17 11.32.30	04/12/17 11.33.00	0.5
20533	LEVATA	04/12/17 11.35.30	04/12/17 11.35.30	0.0
20533	ROMANORE	04/12/17 11.42.00	04/12/17 11.43.00	1.0
20533	SUZZARA	04/12/17 11.51.00	04/12/17 11.53.00	2.0
20533	PALIDANO	04/12/17 11.58.30	04/12/17 12.00.30	2.0
20533	GONZAGA-REGGIOLO	04/12/17 12.04.00	04/12/17 12.05.00	1.0
20533	VILLANOVA DI REGGIOLO	04/12/17 12.08.30	04/12/17 12.11.00	2.5
20533	ROLO NOVI FABBRICO	04/12/17 12.14.00	04/12/17 12.14.30	0.5
20533	CARPI	04/12/17 12.24.00	04/12/17 12.24.00	0.0
20533	MODENA	04/12/17 12.40.00	04/12/17 12.40.30	0.5
20453	MANTOVA	04/12/17 05.37.00	04/12/17 05.39.00	2.0
20453	MANTOVA FRASSINE	04/12/17 05.43.00	04/12/17 05.45.00	2.0
20453	GAZZO DI BIGARELLO	04/12/17 05.50.00	04/12/17 05.51.30	1.5
20453	CASTEL D`ARIO	04/12/17 05.58.00	04/12/17 05.58.00	0.0
20453	BONFERRARO	04/12/17 06.04.00	04/12/17 06.01.00	-3.0
20453	NOGARA	04/12/17 06.13.00	04/12/17 06.10.00	-3.0
20453	SANGUINETTO	04/12/17 06.21.00	04/12/17 06.20.30	-0.5
20453	CEREA	04/12/17 06.26.00	04/12/17 06.29.30	3.5
20453	LEGNAGO	04/12/17 06.33.00	04/12/17 06.37.00	4.0
20453	BOSCHI S.ANNA	04/12/17 06.39.00	04/12/17 06.45.00	6.0
20453	BEVILACQUA	04/12/17 06.43.00	04/12/17 06.47.00	4.0
20453	MONTAGNANA	04/12/17 06.49.00	04/12/17 06.52.00	3.0
20453	SALETTO	04/12/17 06.56.00	04/12/17 06.58.30	2.5
20453	OSPEDALETTO EUGANEO	04/12/17 07.06.00	04/12/17 07.08.00	2.0
20453	ESTE	04/12/17 07.12.00	04/12/17 07.13.00	1.0
20453	MONSELICE	04/12/17 07.21.00	04/12/17 07.22.00	1.0
20453	PADOVA	04/12/17 07.40.00	04/12/17 07.41.00	1.0
8523	BOLZANO	04/12/17 15.16.00	04/12/17 15.16.30	0.5
8523	TRENTO	04/12/17 15.45.00	04/12/17 15.45.30	0.5
8523	ROVERETO	04/12/17 16.00.00	04/12/17 16.00.30	0.5
8523	VERONA PORTA NUOVA	04/12/17 16.42.00	04/12/17 16.49.00	7.0
8523	BOLOGNA C.LE/AV	04/12/17 17.42.00	04/12/17 17.48.30	6.5
8523	FIRENZE CAMPO MARTE	04/12/17 18.25.00	04/12/17 18.26.00	1.0
8523	ROMA TERMINI	04/12/17 19.48.00	04/12/17 19.48.00	0.0
20760	MANTOVA	04/12/17 17.28.00	04/12/17 17.30.30	2.5
20760	S.ANTONIO MANTOVANO	04/12/17 17.34.00	04/12/17 17.40.00	6.0
20760	ROVERBELLA	04/12/17 17.42.00	04/12/17 17.48.30	6.5
20760	MOZZECANE	04/12/17 17.49.00	04/12/17 17.55.00	6.0
20760	VILLAFRANCA DI VERONA	04/12/17 17.59.00	04/12/17 18.03.30	4.5
20760	DOSSOBUONO	04/12/17 18.06.00	04/12/17 18.10.00	4.0
20760	VERONA PORTA NUOVA	04/12/17 18.17.00	04/12/17 18.19.00	2.0
20573	MANTOVA	04/12/17 17.29.00	04/12/17 17.31.00	2.0
20573	BORGOCHIESANUOVA	04/12/17 17.32.30	04/12/17 17.33.30	1.0
20573	LEVATA	04/12/17 17.35.30	04/12/17 17.35.30	0.0
20573	ROMANORE	04/12/17 17.42.00	04/12/17 17.43.00	1.0
20573	SUZZARA	04/12/17 17.51.00	04/12/17 17.52.30	1.5
20573	PALIDANO	04/12/17 17.58.30	04/12/17 18.01.00	2.5
20573	GONZAGA-REGGIOLO	04/12/17 18.04.00	04/12/17 18.05.30	1.5
20573	VILLANOVA DI REGGIOLO	04/12/17 18.08.30	04/12/17 18.10.30	2.0
20573	ROLO NOVI FABBRICO	04/12/17 18.14.00	04/12/17 18.15.00	1.0
20573	CARPI	04/12/17 18.24.00	04/12/17 18.24.30	0.5
20573	MODENA	04/12/17 18.40.00	04/12/17 18.40.00	0.0
20527	MANTOVA	04/12/17 09.29.00	04/12/17 10.23.30	54.5
20527	BORGOCHIESANUOVA	04/12/17 09.32.30	04/12/17 10.25.30	53.0
20527	LEVATA	04/12/17 09.35.30	04/12/17 10.28.00	52.5
20527	ROMANORE	04/12/17 09.42.00	04/12/17 10.35.00	53.0
20527	SUZZARA	04/12/17 09.51.00	04/12/17 10.43.30	52.5
20527	PALIDANO	04/12/17 09.58.30	04/12/17 10.48.30	50.0
20527	GONZAGA-REGGIOLO	04/12/17 10.04.00	04/12/17 10.52.30	48.5
20527	VILLANOVA DI REGGIOLO	04/12/17 10.08.30	04/12/17 10.57.30	49.0
20527	ROLO NOVI FABBRICO	04/12/17 10.14.00	04/12/17 11.01.00	47.0
20527	CARPI	04/12/17 10.24.00	04/12/17 11.09.30	45.5
20527	MODENA	04/12/17 10.46.00	04/12/17 11.19.00	33.0
20527	CASTELFRANCO D'EMILIA	04/12/17 10.56.00	04/12/17 11.36.30	40.5
20527	ANZOLA	04/12/17 11.07.00	04/12/17 11.53.30	46.5
20527	BOLOGNA C.LE	04/12/17 11.20.00	04/12/17 12.05.00	45.0
20758	MANTOVA	04/12/17 16.28.00	04/12/17 16.31.30	3.5
20758	S.ANTONIO MANTOVANO	04/12/17 16.34.00	04/12/17 16.36.30	2.5
20758	ROVERBELLA	04/12/17 16.42.00	04/12/17 16.43.00	1.0
20758	MOZZECANE	04/12/17 16.49.00	04/12/17 16.50.00	1.0
20758	VILLAFRANCA DI VERONA	04/12/17 16.59.00	04/12/17 17.01.30	2.5
20758	DOSSOBUONO	04/12/17 17.06.00	04/12/17 17.07.30	1.5
20758	VERONA PORTA NUOVA	04/12/17 17.17.00	04/12/17 17.17.00	0.0
20559	MANTOVA	04/12/17 15.29.00	04/12/17 15.31.00	2.0
20559	BORGOCHIESANUOVA	04/12/17 15.32.30	04/12/17 15.33.00	0.5
20559	LEVATA	04/12/17 15.35.30	04/12/17 15.35.00	-0.5
20559	ROMANORE	04/12/17 15.42.00	04/12/17 15.42.00	0.0
20559	SUZZARA	04/12/17 15.51.00	04/12/17 15.51.00	0.0
20559	PALIDANO	04/12/17 15.58.30	04/12/17 16.01.30	3.0
20559	GONZAGA-REGGIOLO	04/12/17 16.04.00	04/12/17 16.05.00	1.0
20559	VILLANOVA DI REGGIOLO	04/12/17 16.08.30	04/12/17 16.10.00	1.5
20559	ROLO NOVI FABBRICO	04/12/17 16.14.00	04/12/17 16.13.30	-0.5
20559	CARPI	04/12/17 16.24.00	04/12/17 16.23.00	-1.0
20559	MODENA	04/12/17 16.40.00	04/12/17 16.38.30	-1.5
20756	MANTOVA	04/12/17 15.28.00	04/12/17 15.31.00	3.0
20756	S.ANTONIO MANTOVANO	04/12/17 15.34.00	04/12/17 15.35.00	1.0
20756	ROVERBELLA	04/12/17 15.42.00	04/12/17 15.45.30	3.5
20756	MOZZECANE	04/12/17 15.49.00	04/12/17 15.52.30	3.5
20756	VILLAFRANCA DI VERONA	04/12/17 15.59.00	04/12/17 16.01.30	2.5
20756	DOSSOBUONO	04/12/17 16.06.00	04/12/17 16.09.00	3.0
20756	VERONA PORTA NUOVA	04/12/17 16.17.00	04/12/17 16.18.00	1.0
20567	MANTOVA	04/12/17 16.29.00	04/12/17 16.31.30	2.5
20567	BORGOCHIESANUOVA	04/12/17 16.32.30	04/12/17 16.34.00	1.5
20567	LEVATA	04/12/17 16.35.30	04/12/17 16.36.00	0.5
20567	ROMANORE	04/12/17 16.42.00	04/12/17 16.43.30	1.5
20567	SUZZARA	04/12/17 16.51.00	04/12/17 16.51.30	0.5
20567	PALIDANO	04/12/17 16.58.30	04/12/17 17.00.30	2.0
20567	GONZAGA-REGGIOLO	04/12/17 17.04.00	04/12/17 17.04.00	0.0
20567	VILLANOVA DI REGGIOLO	04/12/17 17.08.30	04/12/17 17.09.30	1.0
20567	ROLO NOVI FABBRICO	04/12/17 17.14.00	04/12/17 17.13.30	-0.5
20567	CARPI	04/12/17 17.24.00	04/12/17 17.22.30	-1.5
20567	MODENA	04/12/17 17.40.00	04/12/17 17.39.00	-1.0
2943	VERONA PORTA NUOVA	04/12/17 06.10.00	04/12/17 06.12.00	2.0
2943	ISOLA DELLA SCALA	04/12/17 06.21.00	04/12/17 06.24.00	3.0
2943	NOGARA	04/12/17 06.29.00	04/12/17 06.32.30	3.5
2943	OSTIGLIA	04/12/17 06.40.00	04/12/17 06.42.30	2.5
2943	POGGIO RUSCO	04/12/17 06.49.00	04/12/17 06.52.00	3.0
2943	MIRANDOLA	04/12/17 06.56.00	04/12/17 07.07.30	11.5
2943	S.FELICE SP	04/12/17 07.01.00	04/12/17 07.08.30	7.5
2943	CAMPOSANTO	04/12/17 07.06.00	04/12/17 07.17.30	11.5
2943	CREVALCORE	04/12/17 07.13.00	04/12/17 07.21.00	8.0
2943	SAN GIOVANNI IN PERSICETO	04/12/17 07.20.00	04/12/17 07.29.00	9.0
2943	OSTERIA NUOVA	04/12/17 07.26.00	04/12/17 07.36.30	10.5
2943	CALDERARA-BARGELLINO	04/12/17 07.37.00	04/12/17 07.44.30	7.5
2943	BOLOGNA C.LE	04/12/17 07.52.00	04/12/17 07.53.00	1.0
11547	PIACENZA	04/12/17 17.52.00	04/12/17 17.54.00	2.0
11547	FIORENZUOLA	04/12/17 18.04.00	04/12/17 18.06.30	2.5
11547	FIDENZA	04/12/17 18.13.00	04/12/17 18.16.30	3.5
11547	PARMA	04/12/17 18.28.00	04/12/17 18.30.00	2.0
11547	REGGIO EMILIA	04/12/17 18.45.00	04/12/17 18.47.30	2.5
11547	MODENA	04/12/17 18.59.00	04/12/17 19.07.30	8.5
11547	CASTELFRANCO D'EMILIA	04/12/17 19.08.00	04/12/17 19.18.30	10.5
11547	BOLOGNA C.LE	04/12/17 19.28.00	04/12/17 19.35.30	7.5
11547	CASTEL S.PIETRO TERME	04/12/17 19.49.00	04/12/17 19.53.00	4.0
11547	IMOLA	04/12/17 20.00.00	04/12/17 20.06.00	6.0
11547	CASTELBOLOGNESE	04/12/17 20.08.00	04/12/17 20.12.30	4.5
597	MILANO CENTRALE	04/12/17 14.50.00	04/12/17 14.53.00	3.0
597	MILANO ROGOREDO	04/12/17 14.59.00	04/12/17 15.01.00	2.0
597	LODI	04/12/17 15.13.00	04/12/17 15.18.00	5.0
597	PIACENZA	04/12/17 15.43.00	04/12/17 15.40.00	-3.0
597	FIDENZA	04/12/17 16.01.00	04/12/17 16.00.30	-0.5
597	PARMA	04/12/17 16.14.00	04/12/17 16.13.30	-0.5
597	REGGIO EMILIA	04/12/17 16.31.00	04/12/17 16.30.00	-1.0
597	MODENA	04/12/17 16.48.00	04/12/17 16.46.30	-1.5
597	BOLOGNA C.LE	04/12/17 17.14.00	04/12/17 17.10.30	-3.5
597	PRATO CENTRALE	04/12/17 18.06.00	04/12/17 18.11.00	5.0
597	FIRENZE RIFREDI	04/12/17 18.17.00	04/12/17 18.22.30	5.5
597	AREZZO	04/12/17 19.00.00	04/12/17 19.04.30	4.5
597	TERONTOLA CORTONA	04/12/17 19.22.00	04/12/17 19.31.30	9.5
597	CHIUSI C.T.	04/12/17 19.43.00	04/12/17 19.48.30	5.5
597	ORVIETO	04/12/17 20.08.00	04/12/17 20.13.00	5.0
11409	PIACENZA	04/12/17 16.33.00	04/12/17 16.34.00	1.0
11409	PONTENURE	04/12/17 16.40.00	04/12/17 16.41.00	1.0
11409	CADEO	04/12/17 16.46.00	04/12/17 16.46.00	0.0
11409	FIORENZUOLA	04/12/17 16.51.00	04/12/17 16.53.00	2.0
11409	FIDENZA	04/12/17 17.00.00	04/12/17 17.03.30	3.5
11409	CASTELGUELFO	04/12/17 17.08.00	04/12/17 17.09.30	1.5
11409	PARMA	04/12/17 17.16.00	04/12/17 17.20.00	4.0
11409	REGGIO EMILIA	04/12/17 17.33.00	04/12/17 17.36.30	3.5
11409	MODENA	04/12/17 17.48.00	04/12/17 17.56.00	8.0
11409	CASTELFRANCO D'EMILIA	04/12/17 17.57.00	04/12/17 18.05.00	8.0
11409	BOLOGNA C.LE	04/12/17 18.20.00	04/12/17 18.23.00	3.0
8527	BOLZANO	04/12/17 17.16.00	04/12/17 17.16.30	0.5
8527	TRENTO	04/12/17 17.45.00	04/12/17 17.45.00	0.0
8527	ROVERETO	04/12/17 18.00.00	04/12/17 18.00.00	0.0
8527	VERONA PORTA NUOVA	04/12/17 18.42.00	04/12/17 18.42.00	0.0
8527	BOLOGNA C.LE/AV	04/12/17 19.42.00	04/12/17 19.47.30	5.5
8811	MILANO CENTRALE	04/12/17 11.35.00	04/12/17 11.38.00	3.0
8811	PIACENZA	04/12/17 12.18.00	04/12/17 12.21.00	3.0
8811	PARMA	04/12/17 12.44.00	04/12/17 12.47.00	3.0
8811	REGGIO EMILIA	04/12/17 12.58.00	04/12/17 13.03.30	5.5
8811	MODENA	04/12/17 13.13.00	04/12/17 13.20.00	7.0
8811	BOLOGNA C.LE	04/12/17 13.38.00	04/12/17 13.44.00	6.0
8811	RIMINI	04/12/17 14.34.00	04/12/17 14.33.30	-0.5
8811	PESARO	04/12/17 14.53.00	04/12/17 14.55.00	2.0
8811	ANCONA	04/12/17 15.29.00	04/12/17 15.26.00	-3.0
8811	PESCARA	04/12/17 16.40.00	04/12/17 16.50.30	10.5
8811	TERMOLI	04/12/17 17.29.00	04/12/17 17.44.30	15.5
8811	FOGGIA	04/12/17 18.15.00	04/12/17 18.28.00	13.0
8811	BARLETTA	04/12/17 18.45.00	04/12/17 18.57.00	12.0
8811	BARI CENTRALE	04/12/17 19.21.00	04/12/17 19.26.00	5.0
8525	BERGAMO	04/12/17 16.00.00	04/12/17 16.00.30	0.5
8525	BRESCIA	04/12/17 17.00.00	04/12/17 17.06.00	6.0
8525	VERONA PORTA NUOVA	04/12/17 17.41.00	04/12/17 17.41.00	0.0
8525	BOLOGNA C.LE/AV	04/12/17 18.42.00	04/12/17 18.48.30	6.5
8525	FIRENZE CAMPO MARTE	04/12/17 19.25.00	04/12/17 19.35.00	10.0
