Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6253	PARMA	24/11/17 07.17.00	24/11/17 07.20.00	3.0
6253	REGGIO EMILIA	24/11/17 07.31.00	24/11/17 07.37.00	6.0
6253	MODENA	24/11/17 07.45.00	24/11/17 07.52.30	7.5
6253	BOLOGNA C.LE	24/11/17 08.14.00	24/11/17 08.20.00	6.0
9545	TORINO P.NUOVA	24/11/17 15.00.00	24/11/17 15.01.00	1.0
9545	TORINO PORTA SUSA	24/11/17 15.08.00	24/11/17 15.07.00	-1.0
9545	MILANO CENTRALE	24/11/17 16.00.00	24/11/17 15.59.30	-0.5
9545	MILANO ROGOREDO	24/11/17 16.26.00	24/11/17 16.30.30	4.5
9545	BOLOGNA C.LE/AV	24/11/17 17.22.00	24/11/17 17.21.00	-1.0
9545	FIRENZE S.M.N.	24/11/17 17.59.00	24/11/17 17.56.00	-3.0
9545	ROMA TIBURTINA	24/11/17 19.28.00	24/11/17 19.35.00	7.0
9545	ROMA TERMINI	24/11/17 19.40.00	24/11/17 19.52.00	12.0
2133	PIACENZA	24/11/17 16.52.00	24/11/17 16.53.00	1.0
2133	FIORENZUOLA	24/11/17 17.04.00	24/11/17 17.06.00	2.0
2133	FIDENZA	24/11/17 17.13.00	24/11/17 17.15.00	2.0
2133	PARMA	24/11/17 17.28.00	24/11/17 17.29.00	1.0
2133	REGGIO EMILIA	24/11/17 17.45.00	24/11/17 17.45.00	0.0
2133	MODENA	24/11/17 17.59.00	24/11/17 18.00.00	1.0
2133	CASTELFRANCO D'EMILIA	24/11/17 18.08.00	24/11/17 18.10.30	2.5
2133	BOLOGNA C.LE	24/11/17 18.28.00	24/11/17 18.27.00	-1.0
2133	CASTEL S.PIETRO TERME	24/11/17 18.49.00	24/11/17 18.51.30	2.5
2133	IMOLA	24/11/17 19.00.00	24/11/17 19.00.30	0.5
2133	CASTELBOLOGNESE	24/11/17 19.08.00	24/11/17 19.08.00	0.0
2133	FAENZA	24/11/17 19.14.00	24/11/17 19.15.00	1.0
2133	FORLI`	24/11/17 19.25.00	24/11/17 19.25.00	0.0
2133	CESENA	24/11/17 19.43.00	24/11/17 19.37.30	-5.5
2891	VOGHERA	24/11/17 07.01.00	24/11/17 07.02.00	1.0
2891	STRADELLA	24/11/17 07.17.00	24/11/17 07.15.00	-2.0
2891	CASTEL S.GIOVANNI	24/11/17 07.25.00	24/11/17 07.24.30	-0.5
2891	S.NICOLO'	24/11/17 07.36.00	24/11/17 07.35.00	-1.0
2891	PIACENZA	24/11/17 07.44.00	24/11/17 07.43.00	-1.0
2891	FIORENZUOLA	24/11/17 08.04.00	24/11/17 08.04.00	0.0
2891	FIDENZA	24/11/17 08.13.00	24/11/17 08.12.30	-0.5
2891	PARMA	24/11/17 08.28.00	24/11/17 08.28.00	0.0
2891	REGGIO EMILIA	24/11/17 08.45.00	24/11/17 08.44.30	-0.5
2891	MODENA	24/11/17 08.59.00	24/11/17 08.59.00	0.0
2891	CASTELFRANCO D'EMILIA	24/11/17 09.07.00	24/11/17 09.08.30	1.5
2891	BOLOGNA C.LE	24/11/17 09.28.00	24/11/17 09.29.00	1.0
2891	CASTEL S.PIETRO TERME	24/11/17 09.49.00	24/11/17 09.50.00	1.0
2891	IMOLA	24/11/17 10.00.00	24/11/17 09.57.30	-2.5
2891	CASTELBOLOGNESE	24/11/17 10.08.00	24/11/17 10.06.00	-2.0
2891	FAENZA	24/11/17 10.14.00	24/11/17 10.13.30	-0.5
2891	FORLI`	24/11/17 10.25.00	24/11/17 10.23.30	-1.5
2275	MILANO CENTRALE	24/11/17 09.20.00	24/11/17 09.23.30	3.5
2275	MILANO LAMBRATE	24/11/17 09.26.00	24/11/17 09.28.30	2.5
2275	MILANO ROGOREDO	24/11/17 09.31.00	24/11/17 09.36.00	5.0
2275	LODI	24/11/17 09.48.00	24/11/17 09.52.00	4.0
2275	CODOGNO	24/11/17 10.03.00	24/11/17 10.06.30	3.5
2275	PIACENZA	24/11/17 10.12.00	24/11/17 10.16.00	4.0
