Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
6462	RIMINI	11/02/18 07.30.00	11/02/18 07.31.00	1.0
6462	SANTARCANGELO DI ROMAGNA	11/02/18 07.37.00	11/02/18 07.38.00	1.0
8851	RAVENNA	11/02/18 06.00.00	11/02/18 06.00.30	0.5
8851	RIMINI	11/02/18 06.36.00	11/02/18 06.35.30	-0.5
8851	PESARO	11/02/18 06.56.00	11/02/18 06.56.00	0.0
8851	FALCONARA MARITTIMA	11/02/18 07.27.00	11/02/18 07.21.00	-6.0
8851	JESI	11/02/18 07.48.00	11/02/18 07.44.30	-3.5
8851	FABRIANO	11/02/18 08.19.00	11/02/18 08.20.30	1.5
8851	FOLIGNO	11/02/18 09.01.00	11/02/18 09.03.00	2.0
8851	TERNI	11/02/18 09.34.00	11/02/18 09.37.00	3.0
8851	ROMA TERMINI	11/02/18 10.20.00	11/02/18 10.28.00	8.0
2276	RIMINI	11/02/18 05.20.00	11/02/18 05.22.30	2.5
2276	BELLARIA	11/02/18 05.29.00	11/02/18 05.33.00	4.0
2276	GATTEO A MARE	11/02/18 05.35.00	11/02/18 05.37.30	2.5
2276	CESENATICO	11/02/18 05.44.00	11/02/18 05.42.00	-2.0
2276	CERVIA-MILANO MARITTIMA	11/02/18 05.53.00	11/02/18 05.52.30	-0.5
2276	LIDO DI CLASSE-LIDO DI SAVIO	11/02/18 06.02.00	11/02/18 06.00.30	-1.5
2276	RAVENNA	11/02/18 06.20.00	11/02/18 06.21.30	1.5
2276	GODO	11/02/18 06.37.00	11/02/18 06.39.30	2.5
2276	RUSSI	11/02/18 06.41.00	11/02/18 06.42.00	1.0
2276	BAGNACAVALLO	11/02/18 06.48.00	11/02/18 06.49.30	1.5
2276	LUGO	11/02/18 06.55.00	11/02/18 06.58.00	3.0
2276	BARBIANO	11/02/18 07.01.00	11/02/18 07.04.00	3.0
2276	SOLAROLO	11/02/18 07.05.00	11/02/18 07.08.00	3.0
2276	CASTELBOLOGNESE	11/02/18 07.12.00	11/02/18 07.14.30	2.5
2276	IMOLA	11/02/18 07.19.00	11/02/18 07.22.00	3.0
2276	BOLOGNA C.LE	11/02/18 07.43.00	11/02/18 07.45.30	2.5
2276	ANZOLA	11/02/18 08.03.00	11/02/18 08.04.00	1.0
2276	SAMOGGIA	11/02/18 08.08.00	11/02/18 08.09.00	1.0
2276	CASTELFRANCO D'EMILIA	11/02/18 08.14.00	11/02/18 08.13.30	-0.5
2276	MODENA	11/02/18 08.23.00	11/02/18 08.22.00	-1.0
2276	RUBIERA	11/02/18 08.32.00	11/02/18 08.32.30	0.5
2276	REGGIO EMILIA	11/02/18 08.40.00	11/02/18 08.41.00	1.0
2276	S.ILARIO	11/02/18 08.53.00	11/02/18 08.53.30	0.5
2276	PARMA	11/02/18 09.03.00	11/02/18 09.02.00	-1.0
2276	FIDENZA	11/02/18 09.21.00	11/02/18 09.18.00	-3.0
2276	FIORENZUOLA	11/02/18 09.31.00	11/02/18 09.35.30	4.5
2276	PIACENZA	11/02/18 09.48.00	11/02/18 09.48.30	0.5
2276	CASALPUSTERLENGO	11/02/18 10.02.00	11/02/18 10.02.30	0.5
2276	LODI	11/02/18 10.13.00	11/02/18 10.14.30	1.5
2276	MILANO ROGOREDO	11/02/18 10.32.00	11/02/18 10.30.00	-2.0
2276	MILANO LAMBRATE	11/02/18 10.38.00	11/02/18 10.38.30	0.5
2276	MILANO CENTRALE	11/02/18 10.45.00	11/02/18 10.45.30	0.5
3012	RAVENNA	11/02/18 18.31.00	11/02/18 18.37.00	6.0
3012	GODO	11/02/18 18.41.00	11/02/18 18.48.30	7.5
3012	RUSSI	11/02/18 18.45.00	11/02/18 18.50.30	5.5
3012	BAGNACAVALLO	11/02/18 18.51.00	11/02/18 18.56.00	5.0
3012	LUGO	11/02/18 18.56.00	11/02/18 19.01.30	5.5
3012	SOLAROLO	11/02/18 19.06.00	11/02/18 19.08.00	2.0
3012	CASTELBOLOGNESE	11/02/18 19.13.00	11/02/18 19.34.30	21.5
3012	IMOLA	11/02/18 19.19.00	11/02/18 19.40.00	21.0
3012	CASTEL S.PIETRO TERME	11/02/18 19.27.00	11/02/18 19.46.00	19.0
3012	OZZANO DELL'EMILIA	11/02/18 19.36.00	11/02/18 19.53.30	17.5
3010	RAVENNA	11/02/18 17.33.00	11/02/18 17.34.00	1.0
3010	GODO	11/02/18 17.43.00	11/02/18 17.46.30	3.5
3010	RUSSI	11/02/18 17.47.00	11/02/18 17.49.00	2.0
3010	BAGNACAVALLO	11/02/18 17.53.00	11/02/18 17.55.00	2.0
3010	LUGO	11/02/18 17.58.00	11/02/18 18.00.30	2.5
3010	SOLAROLO	11/02/18 18.08.00	11/02/18 18.08.00	0.0
3010	CASTELBOLOGNESE	11/02/18 18.15.00	11/02/18 18.14.30	-0.5
3010	IMOLA	11/02/18 18.21.00	11/02/18 18.23.00	2.0
3010	CASTEL S.PIETRO TERME	11/02/18 18.29.00	11/02/18 18.30.30	1.5
3010	OZZANO DELL'EMILIA	11/02/18 18.37.00	11/02/18 18.39.30	2.5
595	TRIESTE CENTRALE	11/02/18 13.02.00	11/02/18 13.07.00	5.0
595	MONFALCONE	11/02/18 13.25.00	11/02/18 13.28.30	3.5
595	CERVIGNANO A.G.	11/02/18 13.36.00	11/02/18 13.42.30	6.5
595	LATISANA LIGNANO B.	11/02/18 13.50.00	11/02/18 14.02.00	12.0
595	PORTOGRUARO CAORLE	11/02/18 13.59.00	11/02/18 14.13.30	14.5
595	S. DONA` DI PIAVE	11/02/18 14.17.00	11/02/18 14.32.30	15.5
595	VENEZIA MESTRE	11/02/18 14.52.00	11/02/18 14.55.30	3.5
595	PADOVA	11/02/18 15.31.00	11/02/18 15.33.00	2.0
595	MONSELICE	11/02/18 15.46.00	11/02/18 15.46.00	0.0
595	ROVIGO	11/02/18 15.58.00	11/02/18 15.58.00	0.0
595	FERRARA	11/02/18 16.19.00	11/02/18 16.15.30	-3.5
595	BOLOGNA C.LE	11/02/18 16.45.00	11/02/18 16.49.30	4.5
595	PRATO CENTRALE	11/02/18 17.30.00	11/02/18 17.41.00	11.0
595	FIRENZE RIFREDI	11/02/18 17.45.00	11/02/18 17.51.00	6.0
595	FIRENZE CAMPO MARTE	11/02/18 17.57.00	11/02/18 17.59.30	2.5
595	AREZZO	11/02/18 18.26.00	11/02/18 18.32.30	6.5
595	TERONTOLA CORTONA	11/02/18 18.45.00	11/02/18 18.53.00	8.0
595	CHIUSI C.T.	11/02/18 19.02.00	11/02/18 19.09.00	7.0
595	ORVIETO	11/02/18 19.27.00	11/02/18 19.33.30	6.5
595	ORTE	11/02/18 20.00.00	11/02/18 20.00.30	0.5
595	ROMA TERMINI	11/02/18 20.42.00	11/02/18 20.42.00	0.0
3008	RIMINI	11/02/18 14.18.00	11/02/18 14.19.00	1.0
3008	RIMINI VISERBA	11/02/18 14.22.00	11/02/18 14.23.00	1.0
3008	RIMINI TORRE PEDRERA	11/02/18 14.26.00	11/02/18 14.28.00	2.0
3008	IGEA MARINA	11/02/18 14.30.00	11/02/18 14.31.30	1.5
3008	BELLARIA	11/02/18 14.38.00	11/02/18 14.35.30	-2.5
3008	GATTEO A MARE	11/02/18 14.44.00	11/02/18 14.44.00	0.0
3008	CESENATICO	11/02/18 14.50.00	11/02/18 14.50.00	0.0
