Nr_Treno	Stazione	Arrivo_Programmato	Arrivo_Effettivo	Ritardo_In_Minuti
8810	BARI CENTRALE	20/10/17 05.30.00	20/10/17 05.32.00	2.0
8810	BARLETTA	20/10/17 06.00.00	20/10/17 06.01.00	1.0
8810	FOGGIA	20/10/17 06.33.00	20/10/17 06.31.00	-2.0
8810	TERMOLI	20/10/17 07.20.00	20/10/17 07.22.00	2.0
8810	PESCARA	20/10/17 08.08.00	20/10/17 08.11.00	3.0
8810	S.BENEDETTO DEL TRONTO	20/10/17 08.38.00	20/10/17 08.51.30	13.5
8810	ANCONA	20/10/17 09.19.00	20/10/17 09.32.30	13.5
8810	PESARO	20/10/17 09.53.00	20/10/17 10.04.00	11.0
8810	RIMINI	20/10/17 10.15.00	20/10/17 10.23.30	8.5
8810	BOLOGNA C.LE	20/10/17 11.14.00	20/10/17 11.22.30	8.5
8810	MODENA	20/10/17 11.39.00	20/10/17 11.45.00	6.0
8810	REGGIO EMILIA	20/10/17 11.52.00	20/10/17 11.59.00	7.0
8810	PARMA	20/10/17 12.08.00	20/10/17 12.16.30	8.5
8810	PIACENZA	20/10/17 12.39.00	20/10/17 12.42.00	3.0
8810	MILANO CENTRALE	20/10/17 13.25.00	20/10/17 13.23.00	-2.0
2276	RIMINI	20/10/17 05.20.00	20/10/17 05.20.30	0.5
2276	BELLARIA	20/10/17 05.29.00	20/10/17 05.33.00	4.0
2276	GATTEO A MARE	20/10/17 05.35.00	20/10/17 05.37.30	2.5
2276	CESENATICO	20/10/17 05.44.00	20/10/17 05.42.30	-1.5
2276	CERVIA-MILANO MARITTIMA	20/10/17 05.53.00	20/10/17 05.52.30	-0.5
2276	LIDO DI CLASSE-LIDO DI SAVIO	20/10/17 06.02.00	20/10/17 06.01.00	-1.0
2276	RAVENNA	20/10/17 06.20.00	20/10/17 06.22.00	2.0
2276	GODO	20/10/17 06.37.00	20/10/17 06.40.30	3.5
2276	RUSSI	20/10/17 06.41.00	20/10/17 06.43.30	2.5
2276	BAGNACAVALLO	20/10/17 06.48.00	20/10/17 06.50.30	2.5
2276	LUGO	20/10/17 06.55.00	20/10/17 06.56.30	1.5
2276	BARBIANO	20/10/17 07.01.00	20/10/17 07.04.00	3.0
2276	SOLAROLO	20/10/17 07.05.00	20/10/17 07.08.30	3.5
2276	CASTELBOLOGNESE	20/10/17 07.12.00	20/10/17 07.15.00	3.0
2276	IMOLA	20/10/17 07.19.00	20/10/17 07.22.30	3.5
2276	BOLOGNA C.LE	20/10/17 07.43.00	20/10/17 07.43.00	0.0
2276	ANZOLA	20/10/17 08.03.00	20/10/17 08.03.00	0.0
2276	SAMOGGIA	20/10/17 08.08.00	20/10/17 08.09.00	1.0
2276	CASTELFRANCO D'EMILIA	20/10/17 08.14.00	20/10/17 08.13.30	-0.5
2276	MODENA	20/10/17 08.23.00	20/10/17 08.22.00	-1.0
2276	RUBIERA	20/10/17 08.32.00	20/10/17 08.33.00	1.0
2276	REGGIO EMILIA	20/10/17 08.40.00	20/10/17 08.44.30	4.5
2276	S.ILARIO	20/10/17 08.53.00	20/10/17 08.55.00	2.0
2276	PARMA	20/10/17 09.03.00	20/10/17 09.02.00	-1.0
2276	FIDENZA	20/10/17 09.21.00	20/10/17 09.22.00	1.0
2276	FIORENZUOLA	20/10/17 09.31.00	20/10/17 09.31.30	0.5
2276	PIACENZA	20/10/17 09.48.00	20/10/17 09.47.00	-1.0
2276	CASALPUSTERLENGO	20/10/17 10.02.00	20/10/17 10.03.30	1.5
2276	LODI	20/10/17 10.13.00	20/10/17 10.28.00	15.0
2276	MILANO ROGOREDO	20/10/17 10.32.00	20/10/17 10.46.00	14.0
2276	MILANO LAMBRATE	20/10/17 10.38.00	20/10/17 10.53.30	15.5
2276	MILANO CENTRALE	20/10/17 10.45.00	20/10/17 11.00.00	15.0
2130	ANCONA	20/10/17 10.40.00	20/10/17 10.41.00	1.0
2130	FALCONARA MARITTIMA	20/10/17 10.50.00	20/10/17 10.49.30	-0.5
2130	SENIGALLIA	20/10/17 11.00.00	20/10/17 11.06.30	6.5
2130	MAROTTA MONDOLFO	20/10/17 11.07.00	20/10/17 11.14.00	7.0
2130	FANO	20/10/17 11.14.00	20/10/17 11.21.30	7.5
2130	PESARO	20/10/17 11.23.00	20/10/17 11.31.00	8.0
2130	CATTOLICA S.GIOVANNI GABICCE	20/10/17 11.34.00	20/10/17 11.41.00	7.0
2130	RICCIONE	20/10/17 11.43.00	20/10/17 11.47.00	4.0
2130	RIMINI	20/10/17 11.55.00	20/10/17 11.56.00	1.0
2130	CESENA	20/10/17 12.14.00	20/10/17 12.15.30	1.5
2130	FORLI`	20/10/17 12.25.00	20/10/17 12.26.00	1.0
2130	FAENZA	20/10/17 12.35.00	20/10/17 12.36.00	1.0
2130	CASTELBOLOGNESE	20/10/17 12.43.00	20/10/17 12.41.30	-1.5
2130	IMOLA	20/10/17 12.50.00	20/10/17 12.49.30	-0.5
2130	CASTEL S.PIETRO TERME	20/10/17 13.04.00	20/10/17 13.04.00	0.0
2130	BOLOGNA C.LE	20/10/17 13.21.00	20/10/17 13.19.30	-1.5
2130	CASTELFRANCO D'EMILIA	20/10/17 13.45.00	20/10/17 13.40.30	-4.5
2130	MODENA	20/10/17 13.54.00	20/10/17 13.52.30	-1.5
2130	REGGIO EMILIA	20/10/17 14.08.00	20/10/17 14.08.00	0.0
2130	PARMA	20/10/17 14.23.00	20/10/17 14.23.00	0.0
2130	FIDENZA	20/10/17 14.35.00	20/10/17 14.49.00	14.0
2130	FIORENZUOLA	20/10/17 14.46.00	20/10/17 14.58.00	12.0
2130	CADEO	20/10/17 14.52.00	20/10/17 15.02.30	10.5
2130	PIACENZA	20/10/17 15.05.00	20/10/17 15.14.30	9.5
11416	RIMINI	20/10/17 05.25.00	20/10/17 05.26.00	1.0
11416	CESENA	20/10/17 05.41.00	20/10/17 05.44.30	3.5
2128	ANCONA	20/10/17 08.25.00	20/10/17 08.27.00	2.0
2128	FALCONARA MARITTIMA	20/10/17 08.33.00	20/10/17 08.34.30	1.5
2128	SENIGALLIA	20/10/17 08.43.00	20/10/17 08.43.30	0.5
2128	MAROTTA MONDOLFO	20/10/17 08.50.00	20/10/17 08.51.30	1.5
2128	FANO	20/10/17 08.57.00	20/10/17 08.58.30	1.5
2128	PESARO	20/10/17 09.05.00	20/10/17 09.07.30	2.5
2128	CATTOLICA S.GIOVANNI GABICCE	20/10/17 09.16.00	20/10/17 09.18.30	2.5
2128	RICCIONE	20/10/17 09.25.00	20/10/17 09.25.30	0.5
2128	RIMINI	20/10/17 09.38.00	20/10/17 09.33.30	-4.5
2128	CESENA	20/10/17 09.59.00	20/10/17 09.59.00	0.0
610	LECCE	20/10/17 08.20.00	20/10/17 08.21.00	1.0
610	BRINDISI	20/10/17 08.40.00	20/10/17 08.41.30	1.5
610	OSTUNI	20/10/17 09.02.00	20/10/17 09.03.00	1.0
610	FASANO	20/10/17 09.15.00	20/10/17 09.15.30	0.5
610	MONOPOLI	20/10/17 09.25.00	20/10/17 09.26.00	1.0
