ANCONA,SENIGALLIA
-1.5,-2.0
-0.5,-3.5
18.5,15.0
0.5,-2.0
2.0,-2.5
-2.0,-2.0
4.0,243.5
0.5,2.0
0.0,-1.5
5.0,1.5
0.0,1.0
3.0,-0.5
5.0,0.5
4.0,0.5
0.5,-0.5
20.5,17.5
0.5,-1.0
1.0,-1.0
0.5,-1.0
0.0,1.0
0.0,-1.5
2.5,2.0
4.0,2.5
2.0,-1.0
3.0,5.5
0.0,-1.5
1.5,-2.0
0.5,-1.5
1.0,-2.5
10.5,7.0
1.0,-0.5
5.0,2.5
5.0,2.0
1.0,-2.0
2.0,-0.5
5.5,4.5
1.0,-2.0
-2.0,-1.5
7.5,6.5
-1.5,1.0
-0.5,-2.0
2.0,-0.5
16.5,14.0
-2.0,0.0
-1.5,-2.0
14.0,10.5
1.5,-1.0
1.5,1.0
0.5,-1.5
11.0,7.0
-0.5,-1.5
-1.0,-2.5
-1.0,-2.0
-1.5,1.5
0.5,1.5
1.0,-2.5
-1.0,2.0
2.5,-0.5
5.0,3.0
8.5,8.0
-1.0,-0.5
2.5,1.0
1.0,-2.5
2.0,-1.5
-1.0,-3.0
2.5,0.5
10.5,8.5
1.0,-0.5
1.5,0.0
6.5,2.5
-0.5,-1.5
1.0,-3.0
2.0,1.5
1.0,-0.5
-1.0,-3.0
3.5,0.5
-1.0,-3.5
1.0,0.5
-0.5,4.5
2.5,-0.5
5.0,1.0
2.5,1.5
-1.5,-2.5
6.0,2.0
1.5,-1.0
4.0,0.0
3.0,3.5
10.0,8.5
5.0,3.0
0.0,0.0
3.0,0.0
-1.0,-1.5
6.5,4.5
9.0,7.5
3.0,-1.5
9.5,9.5
-0.5,-1.5
-0.5,-1.0
2.0,1.5
0.0,-1.5
1.5,-2.5
40.5,37.0
0.0,-2.5
1.5,0.0
8.0,4.5
45.0,44.0
29.0,26.0
-1.0,-3.0
0.5,1.5
-1.0,-2.0
6.0,6.0
21.5,22.0
57.0,53.0
46.0,47.5
2.0,-0.5
0.5,-1.5
-0.5,1.0
-1.0,-2.5
4.5,2.0
-2.0,0.0
0.5,-1.5
1.5,3.5
7.5,7.5
7.5,3.0
1.5,-1.5
0.5,-3.0
9.0,8.5
2.5,3.5
-1.0,-1.0
4.0,1.0
1.5,-2.5
2.0,0.0
-1.5,-3.0
0.5,0.0
3.0,-0.5
0.5,0.0
4.5,15.5
0.0,-2.0
-1.0,-1.0
1.0,0.0
