ARQUA`,ROVIGO
9.0,5.0
7.5,-4.0
1.5,4.0
12.5,3.0
0.0,3.0
-1.0,-11.5
-0.5,3.0
7.0,0.0
18.0,19.5
14.5,4.0
3.0,5.0
22.0,11.0
3.0,3.5
7.5,-2.0
19.0,26.0
10.5,0.0
2.5,4.0
17.5,6.0
-0.5,3.0
6.5,-4.0
2.5,5.0
16.5,5.5
-1.0,2.0
5.5,-5.5
7.0,9.0
17.0,5.5
1.0,3.0
5.5,-5.0
-1.0,1.0
10.0,-1.0
1.5,3.5
2.0,-6.0
3.5,6.0
8.5,-2.0
1.0,2.0
1.0,-5.5
3.0,5.0
1.0,-10.0
4.0,6.0
18.5,8.0
-1.5,1.0
7.0,-4.5
7.5,8.0
6.5,-4.5
2.5,5.0
18.0,7.5
-1.5,-0.5
8.5,-2.5
8.0,10.0
4.5,-7.0
8.5,10.5
17.0,5.0
0.0,2.0
16.5,5.5
7.5,9.5
12.5,1.0
3.0,5.0
16.0,5.5
8.0,9.0
12.5,1.5
3.5,5.5
2.5,4.5
-1.0,-6.0
0.5,3.0
3.0,-7.5
3.0,4.5
23.0,11.5
20.5,22.5
2.5,-9.0
0.0,-10.5
0.0,1.0
6.0,-5.0
-0.5,2.5
5.5,-3.5
4.0,5.0
10.5,-1.0
0.5,2.0
13.5,2.0
38.0,40.0
6.0,-5.5
30.5,32.0
12.5,2.5
17.0,18.0
13.0,2.0
2.0,3.5
12.0,1.0
5.0,6.5
9.0,-2.0
43.5,45.5
14.0,3.0
3.0,5.0
12.5,1.5
0.5,3.5
6.0,-4.0
-0.5,2.0
2.5,-1.5
3.0,5.5
16.5,5.5
6.5,8.5
8.5,-3.0
47.0,48.5
19.0,20.0
14.5,3.5
0.0,1.5
4.5,-6.0
6.0,7.5
16.5,6.0
3.0,6.5
18.5,8.0
0.0,2.5
8.0,-3.5
2.0,4.5
2.0,-6.0
0.0,1.0
7.5,-3.5
14.0,16.0
10.0,1.5
4.0,5.0
5.5,-5.0
0.0,1.0
3.5,-8.0
4.0,5.0
-0.5,-8.0
0.0,2.0
14.5,3.0
50.5,52.5
1.0,1.5
31.0,19.5
-0.5,8.5
9.0,-1.5
0.0,2.5
5.0,-5.5
7.5,9.5
6.0,-5.5
0.5,3.0
16.0,4.5
11.0,13.0
33.0,21.5
13.0,15.5
15.5,6.0
15.0,19.0
6.0,-5.0
3.5,5.5
18.5,7.0
-0.5,1.5
8.0,-3.0
0.5,2.5
24.5,14.0
1.5,3.0
6.5,-5.0
0.0,1.5
11.0,0.5
7.5,9.0
6.0,-5.0
4.0,5.5
1.0,-9.0
17.0,18.5
14.0,3.0
0.5,2.5
11.0,-0.5
64.0,68.0
41.5,30.5
1.0,3.0
4.0,-7.5
1.5,3.0
11.0,-0.5
12.0,13.5
20.0,8.5
0.0,5.5
7.0,-4.0
1.5,5.0
13.0,2.0
3.0,5.5
6.0,-4.5
5.5,5.0
8.5,-3.0
-0.5,2.0
2.5,-9.0
0.5,2.5
14.0,3.0
1.5,6.0
83.5,85.5
72.0,61.0
1.5,4.0
2.5,-8.5
2.0,4.0
10.5,-0.5
1.0,2.5
9.5,-1.5
14.0,15.5
5.5,-6.0
1.0,2.5
5.0,-5.5
-0.5,2.0
15.0,3.5
6.5,7.5
-1.0,0.0
17.5,6.0
33.0,34.0
10.0,-1.0
0.0,2.5
16.5,6.0
2.5,4.5
11.5,0.5
1.5,2.5
11.5,0.0
4.5,7.5
12.0,0.0
0.0,2.5
7.0,-4.5
1.5,3.5
3.5,-8.0
-1.0,1.5
10.0,-1.5
-0.5,2.0
20.5,9.5
15.0,3.0
1.5,2.0
14.0,2.5
3.5,5.5
18.5,7.0
-0.5,1.0
-0.5,-6.0
18.5,7.0
9.5,12.0
10.5,-0.5
4.0,6.0
16.0,5.0
3.0,5.5
6.5,-4.5
3.0,4.0
8.5,-3.0
1.0,6.0
10.0,-1.0
12.0,14.5
12.5,1.0
8.5,9.5
6.0,-5.0
-0.5,1.0
4.0,-7.5
3.5,5.5
6.0,-4.5
-0.5,1.5
4.5,-6.0
-1.0,1.0
4.0,-7.5
6.5,8.5
15.0,5.0
9.5,12.0
7.0,-5.0
1.0,4.0
13.0,1.5
15.0,17.5
8.0,-4.0
1.5,5.5
5.5,-5.0
1.5,3.0
1.0,-10.5
-0.5,2.0
3.5,-7.5
13.0,15.0
11.0,0.5
4.5,6.5
8.0,-3.5
1.5,3.5
6.0,-5.5
0.5,3.0
6.5,-4.0
0.5,1.5
11.5,0.5
3.0,5.5
12.0,0.0
14.5,4.5
4.0,5.5
20.0,20.0
11.0,0.0
5.5,5.0
8.0,-3.0
-0.5,1.0
6.0,-4.0
11.5,14.0
3.0,-8.0
