ASOLA,REMEDELLO SOPRA
3.0,4.0
4.5,7.0
6.5,7.5
15.5,19.5
5.5,8.0
5.5,6.5
11.0,11.0
4.5,4.0
14.0,14.5
8.5,10.0
8.0,10.0
9.5,9.5
6.5,7.5
8.5,8.0
11.5,12.0
8.5,8.0
6.5,7.0
3.0,5.5
16.0,18.5
5.5,7.0
1.5,0.5
1.0,0.5
7.5,8.0
7.0,8.0
6.0,7.5
5.0,6.5
8.5,8.0
8.0,8.0
9.5,9.5
7.0,7.0
6.0,8.0
0.5,1.5
7.0,7.0
11.0,11.0
4.5,4.0
7.0,7.5
4.5,4.0
12.0,12.0
3.5,4.5
12.0,12.5
14.0,13.5
6.5,8.5
9.5,11.0
6.0,7.0
4.0,6.5
2.5,2.5
9.5,9.0
5.0,6.5
13.5,13.5
18.0,18.0
8.0,9.5
13.0,12.5
6.0,5.0
2.5,2.0
3.5,3.0
3.0,3.0
1.5,1.5
6.0,5.0
9.0,9.0
7.0,7.5
13.0,12.0
