BOLOGNA C.LE,BOLOGNA SAN VITALE
-0.5,3.5
-1.0,4.5
4.5,2.5
-3.5,2.5
-2.0,2.5
3.5,4.5
-0.5,3.0
3.0,1.5
-2.5,2.5
-3.5,1.5
-3.5,2.0
7.5,5.0
2.5,9.0
21.0,22.0
-2.0,4.0
2.5,3.0
-3.5,1.0
-3.5,2.5
-3.0,2.5
-3.0,1.5
-1.0,3.0
-1.5,3.5
2.5,3.5
4.0,1.5
-2.0,1.5
-3.0,3.0
-1.5,2.0
15.5,13.5
2.5,1.5
8.0,4.0
-3.0,2.5
1.0,7.0
-0.5,2.0
-2.5,-0.5
-3.0,1.5
-2.5,3.0
1.5,1.0
-3.0,1.5
-1.0,1.5
-2.5,1.0
2.5,2.0
-2.0,3.5
-2.0,5.0
-2.5,2.0
2.5,1.5
-1.5,4.0
0.0,1.5
-2.5,3.0
2.5,3.5
1.0,2.0
1.5,4.5
12.5,8.5
-1.5,2.0
13.5,19.5
-4.5,3.0
-2.0,1.5
-2.5,1.0
-2.0,3.0
-4.0,0.0
-3.5,2.0
-1.0,1.5
-4.0,3.5
3.0,2.0
-1.5,3.5
4.5,2.0
-2.5,2.5
-3.0,1.0
1.0,7.5
-2.0,6.5
-2.5,2.5
-4.0,1.5
-3.5,1.0
5.5,3.0
-3.0,5.0
4.5,2.0
45.0,40.5
1.0,1.0
-3.5,1.5
5.0,2.5
-3.0,2.5
-4.0,2.0
0.5,2.0
-1.5,2.0
2.5,2.0
2.5,4.0
