BOLOGNA CORTICELLA,BOLOGNA C.LE
12.0,11.0
0.0,-0.5
4.0,2.5
4.5,3.0
34.5,32.5
14.5,12.5
9.5,8.0
1.5,0.5
9.0,7.0
3.0,1.5
8.5,7.0
3.5,1.0
8.5,7.5
2.5,0.5
1.0,-0.5
3.5,3.0
3.5,3.5
4.0,2.0
4.0,2.0
6.5,5.0
10.5,9.5
7.5,6.0
16.5,16.5
15.5,13.5
4.0,2.0
2.5,1.5
10.0,9.0
8.5,7.0
1.5,1.0
9.5,8.0
6.5,5.0
7.5,8.5
7.0,5.5
14.0,13.0
8.5,7.5
4.5,3.0
16.5,15.5
5.0,3.0
4.0,2.0
6.0,4.0
1.0,-0.5
1.0,-35.5
13.5,12.5
4.5,4.0
7.5,6.5
8.0,7.0
9.0,7.5
7.0,4.5
9.5,8.0
4.5,2.0
1.0,0.0
3.0,2.0
10.0,8.5
5.5,12.5
5.0,4.0
8.5,6.5
0.0,-2.0
1.5,1.0
1.0,-0.5
4.0,1.5
5.5,3.5
9.0,7.5
0.5,-1.5
8.5,7.0
10.0,8.0
3.5,2.0
0.5,0.0
6.5,5.5
4.0,2.5
19.0,19.0
1.0,-0.5
9.0,7.5
3.0,1.5
12.0,10.5
6.0,4.0
12.0,10.5
0.5,-0.5
3.5,2.0
9.5,9.0
8.0,6.5
5.5,3.5
2.0,-0.5
11.5,26.0
1.0,0.0
0.5,-0.5
1.0,-1.0
1.0,-0.5
5.5,3.5
1.5,0.0
3.0,1.5
1.0,0.0
7.0,6.5
2.5,0.5
9.0,8.5
1.0,-1.0
5.0,3.5
1.5,1.0
9.5,8.5
7.0,5.5
7.0,5.0
6.5,5.0
0.5,-0.5
14.5,13.0
3.0,1.5
6.0,4.0
5.0,3.5
2.5,0.5
2.5,1.5
4.0,2.5
4.0,2.0
10.5,9.0
-0.5,2.5
24.5,23.5
0.5,-1.5
10.0,8.0
4.5,3.0
7.5,6.0
1.0,-0.5
8.0,7.0
2.5,1.5
1.0,0.5
6.5,5.5
2.5,1.0
1.0,-1.0
11.5,10.0
6.5,4.5
0.5,-0.5
7.0,5.0
6.0,5.0
7.0,4.5
1.5,0.0
13.5,12.0
1.5,1.0
17.5,16.0
33.0,31.0
5.5,4.0
15.0,14.0
0.5,-1.0
8.5,7.0
2.0,1.5
1.0,-0.5
8.0,6.5
3.5,2.5
1.5,-0.5
0.5,-1.5
1.0,-1.5
6.5,5.0
7.5,6.0
11.0,9.0
0.0,-1.0
0.0,-0.5
-0.5,-1.0
