CALENZANO,PRATO CENTRALE
2.0,0.0
2.0,0.0
11.0,8.0
2.0,0.0
2.5,-0.5
2.5,1.5
2.0,0.0
3.5,1.5
3.5,-0.5
5.0,3.0
2.0,-0.5
5.5,1.5
3.5,1.5
4.0,2.5
2.0,0.0
5.0,3.0
3.0,0.5
2.0,1.5
2.5,0.5
1.0,0.5
1.5,0.5
4.0,2.0
3.0,0.5
2.0,0.5
6.5,4.5
2.0,0.5
1.5,0.0
2.0,0.5
3.0,0.5
3.0,0.5
3.0,3.5
2.0,0.0
2.5,0.0
2.5,0.5
1.5,0.0
1.5,-0.5
3.0,0.0
2.5,0.0
2.5,-0.5
4.5,2.0
2.5,0.5
2.0,1.5
3.0,0.0
3.0,1.5
1.5,-0.5
3.0,2.5
2.0,0.0
2.5,0.5
3.0,0.5
2.0,0.5
3.0,0.0
2.5,0.5
1.5,0.5
5.0,1.5
3.5,1.0
2.5,0.0
3.0,0.5
6.5,5.5
2.5,0.0
1.5,0.0
6.0,3.0
5.0,1.5
2.0,0.0
2.5,0.0
3.0,1.0
16.5,17.5
3.0,0.5
2.0,0.0
3.0,1.5
3.5,-0.5
2.5,0.0
1.5,-0.5
3.0,0.5
3.0,0.0
2.5,0.0
2.5,1.0
3.0,0.5
4.0,0.0
5.5,1.5
11.5,8.5
3.0,0.0
4.0,1.5
2.5,0.0
2.0,-0.5
7.0,5.0
2.0,0.5
2.5,0.0
3.0,1.5
2.5,1.5
2.5,0.5
5.5,3.0
5.0,2.5
21.5,23.0
3.5,1.0
2.0,0.5
2.5,0.5
3.0,1.0
8.5,4.5
10.0,6.0
1.5,0.5
1.5,-0.5
4.0,2.5
2.5,0.5
4.5,1.5
2.0,-0.5
3.0,0.5
