CASALPUSTERLENGO,PIACENZA
5.5,2.0
4.5,0.5
2.5,-0.5
4.5,1.0
12.0,8.0
2.0,0.0
4.0,0.0
7.0,2.0
4.0,2.0
4.0,0.5
7.5,3.5
4.0,0.5
3.0,0.0
1.5,0.0
4.0,0.0
4.0,1.0
1.5,0.5
3.5,0.0
10.0,6.0
4.0,-0.5
21.0,16.5
5.5,2.0
2.5,2.5
3.5,0.5
9.0,5.0
3.5,0.0
2.5,1.5
2.0,-0.5
3.5,1.0
4.0,0.0
1.5,1.0
4.0,-0.5
5.5,1.0
3.0,0.5
4.5,0.5
7.0,4.0
6.0,2.5
14.0,15.0
6.0,2.5
1.5,0.5
4.0,0.5
6.0,2.0
2.5,0.5
2.5,-1.0
5.0,1.0
3.5,0.0
4.5,2.0
5.5,2.5
8.0,3.0
9.0,5.0
4.5,0.0
7.0,2.0
6.0,2.5
4.0,0.5
2.5,0.0
3.5,-0.5
5.0,2.5
2.5,0.0
3.0,1.5
1.5,0.5
2.0,0.0
3.0,-0.5
8.0,6.0
3.5,3.0
5.0,1.0
3.5,-0.5
8.0,2.5
1.5,0.0
8.0,4.0
5.5,2.0
5.0,1.0
3.0,2.5
0.0,8.5
8.0,3.5
7.0,2.5
4.5,1.0
6.5,3.5
5.5,0.5
4.0,2.0
5.0,1.0
10.0,5.0
10.5,5.5
21.5,16.5
2.0,0.0
2.0,0.0
4.0,0.0
7.0,4.0
16.0,11.5
4.0,0.5
5.5,1.0
6.0,1.5
4.5,1.5
11.5,8.0
4.5,0.0
3.5,1.5
5.0,1.0
2.5,1.5
4.0,2.0
3.0,1.0
2.0,-0.5
3.0,1.0
3.0,-2.0
6.5,5.5
4.5,0.5
3.5,0.0
3.0,-1.0
5.5,2.0
2.0,-3.0
37.0,35.5
26.0,23.5
2.0,1.0
4.5,0.0
2.5,0.0
19.0,15.0
8.5,5.0
2.5,-1.5
3.5,0.0
8.5,5.0
4.0,0.5
3.0,0.0
4.0,0.5
7.0,3.0
2.0,1.0
6.5,2.5
2.0,1.5
1.5,0.0
3.5,0.0
9.5,5.5
4.5,2.0
0.5,0.5
8.5,6.5
21.5,20.0
2.0,-0.5
7.0,2.5
4.0,0.0
10.0,6.5
6.0,2.0
2.5,-0.5
4.5,0.5
7.0,3.5
23.5,20.5
6.5,3.0
9.5,5.5
4.0,0.0
10.0,6.5
5.5,1.5
3.5,0.5
5.0,1.5
16.5,11.5
6.0,0.5
3.0,2.0
0.5,-4.0
1.5,-0.5
5.0,0.0
4.0,2.0
1.0,-3.5
9.0,4.5
4.0,1.0
7.5,9.5
43.5,39.5
6.0,1.5
3.0,-0.5
4.5,3.5
15.0,11.0
8.0,9.5
2.0,2.0
3.0,0.0
5.5,2.0
4.5,2.0
2.5,-2.0
16.5,13.5
13.5,9.0
8.0,3.5
1.5,-0.5
29.5,26.0
2.5,-1.5
3.0,0.0
4.0,1.0
4.0,0.5
11.0,7.0
3.5,1.0
1.5,-3.0
4.5,0.5
1.5,-3.5
3.0,0.5
4.5,0.0
5.0,1.5
3.0,-0.5
6.0,2.0
3.0,0.0
6.0,2.5
4.0,0.0
6.5,1.5
8.5,4.0
2.5,0.0
4.0,0.5
1.5,0.0
1.5,1.0
6.0,3.0
5.0,0.5
16.0,16.0
1.0,-4.0
10.5,13.0
1.5,0.0
7.0,3.5
5.0,0.5
2.0,0.5
3.5,-0.5
7.0,2.5
8.0,6.0
6.0,1.5
5.5,1.0
8.0,3.5
4.5,1.0
4.0,0.0
3.0,0.5
8.0,3.0
2.0,0.0
4.0,-0.5
6.0,2.0
19.5,17.5
3.5,0.5
5.5,2.5
3.5,-0.5
2.0,1.0
2.0,-0.5
5.5,1.0
7.0,11.0
3.0,1.0
18.0,14.0
7.0,2.0
8.0,3.5
4.5,1.0
8.5,5.5
4.0,0.0
4.0,0.5
5.5,2.5
6.5,2.5
6.0,1.5
6.0,1.5
6.5,2.0
6.0,2.5
5.0,1.0
5.0,1.5
7.5,4.0
9.0,4.5
1.5,3.0
8.5,9.0
4.0,0.5
3.0,-1.5
4.0,0.0
3.0,-0.5
2.0,0.0
3.5,0.0
1.5,0.0
6.0,3.0
5.5,1.5
2.5,0.0
5.0,0.5
3.0,-0.5
6.0,2.0
4.5,2.0
2.5,1.0
2.5,0.0
4.0,0.5
3.5,-0.5
5.0,1.5
4.0,2.0
8.0,3.5
5.0,1.5
7.0,5.5
10.0,5.5
8.0,4.0
13.0,8.5
5.0,1.0
4.5,1.0
7.0,3.0
6.5,2.5
3.0,1.5
2.0,-2.0
5.5,1.0
2.0,-2.5
