CASTELFRANCO D'EMILIA,ANZOLA
1.5,-0.5
2.0,1.0
0.5,-0.5
-1.0,-1.0
1.5,-0.5
4.5,2.0
5.5,2.0
0.0,-0.5
0.5,-0.5
0.5,-0.5
0.5,0.0
15.5,13.0
0.0,0.5
4.0,2.0
14.0,12.5
-1.0,-1.5
0.5,-0.5
0.5,0.5
4.0,1.5
2.0,0.5
0.5,-0.5
18.5,15.0
0.0,-0.5
19.5,16.5
0.0,0.5
0.5,-0.5
81.0,79.5
3.5,6.5
2.5,0.5
1.0,-0.5
5.5,3.5
0.5,1.5
0.0,1.5
0.0,-1.0
0.0,-0.5
3.0,1.5
79.0,77.0
2.5,0.5
0.0,-0.5
14.0,11.0
0.5,-0.5
1.5,0.5
0.5,-1.0
3.0,2.5
-0.5,-0.5
1.0,-0.5
0.0,0.5
0.5,0.0
1.0,0.0
40.5,46.5
0.5,-0.5
5.0,1.0
0.5,-0.5
1.0,-0.5
1.5,0.0
47.0,44.0
0.0,-1.0
0.5,0.0
4.5,3.5
0.5,-1.0
83.0,81.5
8.0,5.5
1.0,1.0
0.0,-1.0
0.5,-0.5
1.0,0.0
2.0,0.0
0.5,-0.5
12.5,10.0
1.0,-0.5
1.5,0.0
0.5,0.0
1.0,-0.5
1.0,0.5
1.5,1.0
1.0,1.0
0.0,0.0
2.5,0.5
0.5,-1.0
2.0,2.0
8.0,5.5
0.0,4.0
0.5,-0.5
6.5,4.5
0.5,-0.5
0.0,-0.5
1.0,-0.5
0.5,0.0
0.5,0.0
9.5,6.5
3.5,1.5
2.0,1.5
0.5,-0.5
1.5,-0.5
-0.5,-0.5
4.0,3.0
5.5,6.0
2.5,2.0
4.0,2.5
0.0,-1.0
8.0,6.0
0.5,-0.5
0.5,-0.5
1.0,-0.5
3.5,1.0
1.0,0.0
1.5,0.5
10.0,7.5
