FUNO CENTERGROSS,CASTELMAGGIORE
9.5,9.5
0.0,-0.5
3.5,3.0
4.0,4.0
33.5,34.0
15.5,15.0
10.0,9.5
2.5,2.0
8.5,9.0
2.0,2.5
9.0,8.5
5.0,3.5
8.0,8.5
3.0,2.5
0.0,0.0
4.0,3.5
0.5,2.0
4.5,4.0
4.0,3.5
6.5,6.5
8.5,9.5
8.5,7.5
13.0,12.5
15.5,15.5
5.0,4.0
0.5,1.0
10.0,10.0
8.5,8.0
0.5,1.0
9.5,9.0
7.5,6.5
6.0,6.0
8.5,7.5
10.5,13.0
9.0,8.5
1.5,3.0
11.0,12.5
5.5,5.0
3.0,3.5
6.0,6.0
0.5,0.5
1.5,0.5
10.5,11.5
2.0,3.0
7.5,7.0
8.0,8.0
9.5,9.5
7.5,7.0
6.5,6.5
5.5,5.0
0.0,0.0
2.0,2.0
8.5,9.0
4.0,4.5
4.0,4.0
9.0,9.0
0.0,0.0
0.5,1.0
0.5,0.5
4.0,4.0
5.5,5.5
10.0,9.0
0.0,0.0
9.5,8.5
9.0,9.5
3.5,3.5
0.0,0.0
5.5,6.0
5.5,4.5
18.0,18.5
1.0,0.5
8.5,8.5
3.0,2.5
11.0,11.5
6.0,6.0
12.0,11.5
0.0,-0.5
0.5,0.5
8.0,8.5
5.5,6.5
5.5,5.0
2.0,2.0
0.0,0.0
0.0,0.0
0.5,0.5
1.5,1.0
1.0,0.5
4.5,5.0
1.0,1.0
3.0,3.0
1.0,0.0
5.0,6.5
-0.5,0.0
7.0,8.0
0.0,0.0
5.0,4.5
0.5,1.0
8.0,8.5
7.5,7.0
6.0,6.5
7.0,6.5
1.5,0.5
10.0,9.5
3.0,2.5
5.5,5.5
5.5,5.0
2.5,2.0
2.5,2.5
3.5,3.5
4.0,3.5
10.0,10.0
0.5,-0.5
24.5,24.0
0.0,0.0
10.0,10.0
1.0,1.0
4.5,5.5
0.5,0.0
6.5,8.0
2.0,2.0
0.5,0.5
6.0,6.0
2.0,2.0
0.5,0.5
10.0,9.0
6.5,5.5
0.5,0.5
7.5,7.0
5.5,5.5
7.0,7.5
2.0,2.0
12.0,12.5
0.0,1.0
16.0,17.5
31.5,31.5
5.5,5.5
13.0,12.5
0.0,0.0
8.5,8.0
2.0,2.0
0.0,0.0
7.0,7.5
3.0,3.0
0.5,0.5
0.0,0.5
2.0,1.0
4.5,5.5
8.0,7.5
11.0,10.5
0.0,0.0
0.0,-0.5
0.0,-1.0
