GALLARATE,BUSTO ARSIZIO
-1.0,2.0
-0.5,1.5
-1.5,3.0
2.5,2.5
9.5,10.5
1.5,4.5
-2.5,0.0
-1.5,4.0
2.0,11.5
-2.0,0.5
-1.5,1.0
-1.0,0.0
0.0,1.5
2.5,2.5
2.5,4.0
-2.5,2.0
2.0,4.5
-3.0,2.0
-1.0,0.0
-0.5,1.0
15.5,16.5
0.0,3.5
1.0,2.0
0.0,1.0
-1.0,0.5
4.0,5.0
0.5,2.5
-3.0,0.5
0.0,2.0
-2.0,1.5
-1.5,0.5
6.0,6.5
13.0,14.0
0.5,2.5
23.5,24.0
2.0,2.5
3.0,6.0
-3.0,0.5
-2.0,0.0
-1.5,1.5
11.5,12.0
-2.0,0.0
3.0,4.0
-1.0,2.0
4.0,4.5
21.5,22.0
30.0,30.0
-2.0,0.5
2.0,3.5
2.5,5.0
-0.5,0.5
-1.5,1.0
-1.0,1.0
-0.5,1.0
-4.0,1.0
-1.5,0.5
-0.5,5.0
4.5,5.5
1.0,3.0
1.5,3.0
2.5,9.0
-2.0,1.0
2.0,3.0
-1.5,3.0
24.0,24.5
-1.0,1.5
1.5,2.5
-1.5,4.5
-0.5,1.0
-2.0,0.0
-2.5,1.0
1.5,10.0
-1.0,0.5
-1.5,0.0
-1.0,0.5
-2.5,2.0
-1.5,0.5
0.0,2.0
-1.5,0.5
-1.0,1.0
1.5,3.0
-1.5,0.0
-3.5,0.0
-4.0,3.0
0.0,1.0
1.5,0.5
-1.0,1.0
3.0,4.5
-0.5,4.0
3.5,5.0
2.5,3.5
11.5,12.5
-3.0,0.5
-2.5,5.0
-1.5,1.5
6.5,7.0
-0.5,2.0
-2.5,0.5
2.0,4.0
0.5,2.5
0.0,1.5
11.0,12.0
2.5,3.5
-1.5,0.5
-0.5,2.5
-3.0,2.0
-1.0,1.0
-1.0,0.0
-0.5,4.0
1.5,3.0
-2.0,1.0
0.0,2.5
-2.0,0.5
2.5,4.0
-3.5,2.5
-1.5,2.0
-3.0,3.5
-0.5,0.5
-2.0,0.0
-4.5,-0.5
0.0,3.0
3.0,3.0
-5.0,4.5
9.0,9.5
6.0,6.5
5.5,6.5
-3.5,2.5
3.0,7.0
2.5,4.5
0.0,1.5
0.0,1.0
1.5,3.0
-1.5,1.0
2.5,5.0
-3.0,0.5
3.5,4.5
-2.5,1.5
2.5,21.5
-3.5,3.5
57.5,62.0
0.5,2.0
-2.5,0.0
-1.5,1.0
-2.0,2.0
0.0,1.5
0.5,2.5
-1.0,1.0
-2.5,0.5
-1.5,1.0
-2.0,0.5
-2.0,0.5
-4.0,0.5
