IL NETO,SESTO FIORENTINO
0.5,-1.0
0.5,-0.5
0.0,-1.5
1.0,-0.5
0.5,-1.0
6.0,4.0
7.5,8.5
2.5,0.0
1.0,-1.0
4.5,2.5
0.5,-1.0
5.0,3.0
5.0,3.5
1.0,-1.0
0.0,-1.5
0.5,-1.5
1.0,-1.5
0.5,0.0
4.5,2.5
0.5,-1.5
1.5,0.0
0.0,-1.5
3.0,1.0
0.0,-2.0
-0.5,-2.0
1.0,-1.0
-1.0,0.0
0.5,-1.0
8.0,6.5
0.5,-1.0
0.5,-1.0
1.0,-1.0
0.0,-1.5
1.0,-1.0
1.0,-0.5
2.0,0.5
-3.8,-6.9
1.0,-0.5
-0.5,0.0
7.5,7.0
0.0,-1.5
1.5,1.0
5.0,3.5
0.5,-1.0
1.0,-1.0
1.0,0.5
-0.5,-1.5
0.0,-1.5
-1.0,-2.0
1.5,-0.5
0.5,-1.0
0.5,-0.5
1.0,-1.0
0.5,-2.0
3.0,1.5
4.5,2.5
2.5,0.5
1.5,0.5
-1.5,0.0
0.5,-1.5
0.5,-1.0
0.5,-1.5
6.5,6.5
0.5,-1.0
6.5,5.0
3.0,1.5
-0.5,-2.0
3.0,2.0
2.0,1.0
0.5,-1.0
0.5,-1.0
4.0,1.5
0.0,-1.0
1.5,0.5
2.5,0.5
-6.9,-2.5
5.5,7.5
0.0,0.0
0.0,-2.0
5.5,5.0
0.0,-1.0
4.0,3.0
2.5,0.5
0.0,-1.5
2.5,0.5
0.5,-1.0
10.5,13.0
0.0,-1.5
4.5,3.0
0.0,-1.5
1.0,-1.0
6.5,4.5
0.0,-1.5
0.5,-1.5
29.0,28.0
0.5,-1.0
0.5,-1.0
3.5,2.0
0.0,-1.5
0.0,-1.5
1.5,-0.5
0.0,-1.5
0.0,-1.5
0.0,-1.5
-0.5,-2.0
2.5,1.0
2.5,2.0
-0.5,-1.5
1.0,0.5
0.5,-1.5
0.0,-2.0
2.0,0.0
0.5,-1.0
2.5,1.5
0.0,-1.5
4.0,2.0
0.0,-1.0
1.0,-0.5
0.5,-1.0
0.0,-1.0
6.5,4.5
-0.5,-2.0
0.0,-1.5
0.0,-1.5
5.0,3.5
0.5,-1.0
0.0,-1.5
1.0,-1.0
11.0,16.0
0.5,-1.5
-0.5,-1.0
11.5,10.0
-1.0,-1.5
0.5,-1.5
0.0,-1.5
0.5,-1.0
0.5,-1.5
0.0,-0.5
0.5,-1.0
0.0,-1.5
