MIRANDOLA,POGGIO RUSCO
11.0,4.5
34.0,27.5
9.0,2.5
10.0,3.5
34.5,28.0
11.5,5.0
8.5,2.5
9.0,2.5
8.5,2.0
6.5,0.0
15.0,8.5
10.5,4.0
8.5,2.0
29.0,22.5
22.0,15.5
13.0,6.5
16.5,15.5
8.0,1.5
6.5,0.0
8.5,2.0
6.5,0.0
16.5,10.0
7.0,0.5
7.5,1.0
7.5,1.0
20.5,14.0
8.5,5.0
10.5,4.0
14.5,8.5
7.0,0.5
7.0,0.5
9.5,3.0
6.5,0.0
7.0,0.5
12.5,6.0
40.0,33.5
9.5,3.0
6.5,0.0
12.0,5.5
10.5,4.0
8.0,1.0
8.5,2.0
13.0,6.0
6.5,0.0
7.5,1.0
38.5,32.0
12.0,5.5
6.5,0.0
10.0,4.0
7.0,0.5
7.0,0.5
13.5,7.0
8.0,1.5
7.0,0.0
6.0,-0.5
8.0,1.5
6.0,-0.5
12.0,5.5
7.5,1.0
7.5,1.0
15.0,8.5
8.5,2.5
24.0,17.5
7.0,0.5
15.5,9.0
16.5,10.0
24.0,17.5
9.0,2.5
17.5,10.5
11.5,5.0
10.0,3.5
6.5,0.0
14.0,7.5
7.0,0.5
24.0,17.5
6.0,-0.5
8.0,1.5
8.5,2.0
20.0,13.0
7.5,1.0
19.5,13.0
6.0,-0.5
8.0,1.5
11.0,4.5
7.0,0.5
12.5,6.0
13.0,6.5
7.0,0.5
7.0,0.5
18.0,11.5
7.5,1.0
11.0,4.5
7.5,1.0
10.5,4.5
9.0,2.5
7.5,1.0
17.5,11.0
12.5,6.0
6.5,0.0
6.5,0.0
6.0,-0.5
7.0,0.5
7.5,1.0
8.5,2.0
12.5,6.0
6.0,-0.5
12.0,5.5
6.5,-0.5
8.0,1.5
7.5,1.0
6.5,0.0
7.5,1.0
10.5,4.0
7.0,0.5
7.0,0.5
8.5,2.0
7.0,0.5
9.0,2.5
42.0,36.0
9.0,2.5
9.5,3.0
39.0,33.0
7.0,0.5
10.5,4.5
33.5,27.0
21.5,15.0
6.0,-0.5
8.5,1.5
13.5,7.5
24.5,18.5
10.0,3.5
21.0,14.5
7.5,1.0
7.0,0.5
8.5,2.0
7.0,0.0
45.0,38.5
8.5,2.0
6.5,0.0
7.5,1.0
10.5,4.0
8.5,2.0
6.5,0.0
7.5,1.0
6.0,-0.5
