MONOPOLI,BARI CENTRALE
0.0,-1.0
1.5,-2.0
2.5,5.0
2.0,-1.0
2.0,-1.0
4.5,12.0
-0.5,3.5
2.0,-1.0
1.0,1.0
0.0,-4.0
3.0,0.0
1.5,-1.5
4.0,1.5
3.0,-0.5
3.0,0.0
1.0,-1.0
0.5,-2.5
0.0,-3.5
2.5,0.0
2.0,-1.5
2.5,0.5
1.5,5.0
2.0,-1.0
1.0,-0.5
3.0,0.5
3.5,0.5
13.5,10.5
2.0,0.0
1.5,0.5
2.0,-1.0
3.0,-0.5
9.0,5.0
1.5,-2.0
2.0,-0.5
6.0,3.0
0.5,-2.0
0.0,-3.5
1.0,-1.5
4.5,1.0
6.5,4.0
2.0,1.0
2.5,0.0
0.5,-3.0
2.5,-1.0
5.0,3.5
0.5,4.0
40.5,36.5
0.5,-0.5
1.0,-0.5
3.5,0.0
0.5,-3.0
1.5,-2.5
1.5,-1.0
1.0,-0.5
-0.5,-2.5
2.5,0.0
6.0,2.5
1.5,-2.0
5.0,1.5
1.0,-2.0
4.0,4.5
1.5,-1.5
4.0,1.0
1.5,-1.0
3.0,-1.0
23.5,20.5
4.5,0.5
2.0,5.5
0.5,-3.5
12.0,9.5
1.5,-2.0
4.5,0.5
0.5,-1.5
1.0,-1.0
7.0,2.5
2.0,-1.0
3.0,6.0
1.5,-0.5
1.5,1.0
0.0,-4.0
13.5,10.0
1.0,-1.5
2.5,-1.0
1.0,2.0
1.0,-1.5
4.0,1.5
1.5,-1.0
2.0,0.0
6.0,1.0
2.0,0.0
12.5,9.0
5.5,2.5
1.0,-2.5
1.0,-2.0
16.5,13.0
1.5,-1.0
2.0,-0.5
3.0,1.0
0.0,-3.0
2.0,0.5
2.0,-0.5
2.5,0.5
5.0,1.5
2.0,11.5
24.0,20.5
1.0,-2.5
4.5,2.0
1.0,-2.5
12.0,8.0
0.5,-2.5
1.0,1.0
0.5,-3.0
3.5,1.5
0.5,-3.0
3.0,-2.0
1.0,-0.5
6.5,3.5
2.0,-0.5
1.0,-1.0
2.0,0.0
2.0,0.0
3.0,0.5
18.0,13.0
14.5,11.5
0.5,-0.5
3.5,1.0
2.5,0.0
10.0,8.0
4.0,0.0
0.5,-2.0
1.5,-1.0
3.0,0.5
5.0,1.5
5.5,5.0
3.0,-0.5
6.0,3.5
6.0,4.5
2.5,0.0
1.5,-2.0
0.5,-3.5
1.5,-2.5
1.0,0.0
