NAPOLI AFRAGOLA,NAPOLI CENTRALE
13.5,15.5
12.0,14.5
11.5,12.5
1.5,2.5
1.5,0.0
3.0,4.0
5.5,7.5
6.5,7.0
4.0,3.0
3.0,6.0
-0.5,1.0
2.5,3.0
12.0,12.0
6.0,6.5
8.5,15.0
2.0,1.5
22.5,22.0
10.0,10.0
1.0,3.0
-2.0,-0.5
143.0,144.0
12.0,13.5
7.0,10.0
4.0,5.0
10.5,11.5
40.0,42.0
21.0,21.0
16.0,15.5
10.0,9.5
1.0,1.5
7.5,8.5
0.5,0.0
6.5,8.0
433.0,436.0
322.5,323.0
3.0,2.5
2.0,2.0
6.0,8.0
5.5,7.5
11.0,13.0
12.5,18.0
12.0,15.0
36.5,40.0
12.0,12.0
9.5,10.5
9.5,12.5
5.0,3.5
145.0,145.5
29.5,31.0
6.0,5.5
11.5,15.0
14.0,13.0
167.0,172.5
0.5,1.0
0.5,1.0
5.5,7.5
15.5,14.0
14.5,15.0
3.5,8.0
9.0,10.0
9.5,9.0
17.0,17.5
18.0,21.5
11.5,13.0
1.5,3.0
12.0,14.0
0.5,0.5
11.5,13.5
14.5,16.0
13.5,15.0
12.0,17.0
34.0,33.5
20.5,21.5
46.0,51.0
18.5,17.5
15.5,14.5
0.5,0.5
7.0,8.5
0.5,1.5
1.0,1.0
9.5,10.5
4.0,4.0
2.0,1.5
6.0,8.0
11.0,11.0
3.5,5.5
22.0,27.5
10.5,10.5
10.5,10.5
7.0,8.0
15.5,14.0
22.5,27.5
16.5,18.5
11.0,14.0
4.5,4.0
10.5,9.0
10.5,11.5
1.5,3.0
0.5,3.5
15.0,15.0
13.0,15.5
9.0,9.0
1.0,5.5
20.0,20.0
8.0,13.5
11.0,11.5
55.5,61.0
46.5,51.0
7.0,5.5
11.5,9.5
9.0,8.5
2.0,1.5
12.0,14.5
11.5,13.0
5.0,3.5
17.0,17.0
3.0,5.5
5.5,7.0
6.5,12.0
10.5,11.0
3.0,2.5
4.0,4.5
1.5,11.0
26.5,23.5
32.0,32.5
3.5,3.0
5.0,5.0
-1.0,3.0
24.5,25.5
21.5,21.5
4.5,2.5
6.0,5.5
0.0,0.5
1.5,4.5
7.5,5.5
1.0,6.0
4.5,4.5
3.5,4.0
8.5,8.0
8.0,8.5
2.5,4.0
19.5,19.0
6.5,10.5
16.5,18.5
18.0,16.5
20.0,21.5
16.5,20.0
11.0,13.5
2.5,4.0
1.0,3.0
3.5,2.5
6.0,7.0
12.5,11.5
13.5,14.5
1.0,3.5
13.0,12.0
8.5,10.0
3.5,2.5
6.5,7.0
9.0,8.5
5.0,12.5
21.5,23.5
62.5,67.0
70.5,76.5
16.0,19.0
4.0,4.0
112.5,112.0
98.5,103.5
8.5,8.0
16.0,17.5
5.0,4.5
14.0,15.0
12.5,17.0
8.5,10.0
6.0,8.0
18.0,19.5
20.0,20.0
45.0,45.5
23.0,22.5
0.0,0.5
8.0,9.0
7.5,10.0
11.0,12.0
3.0,2.0
6.0,9.0
0.0,-0.5
5.5,4.0
2.5,2.0
4.5,7.0
1.5,2.0
-0.5,3.5
-1.0,2.0
12.5,21.0
7.5,11.0
3.5,2.5
13.0,13.0
5.5,10.0
56.0,57.0
