OSPEDALETTO EUGANEO,ESTE
33.5,33.5
0.5,-0.5
0.0,-0.5
1.5,0.0
0.0,-1.5
3.5,1.5
-0.5,-0.5
0.5,-0.5
1.5,0.0
1.5,0.5
3.5,2.5
4.0,3.0
5.0,3.5
1.0,-0.5
1.5,0.0
2.5,1.0
1.0,0.0
0.5,-0.5
2.5,1.5
1.5,0.5
2.5,1.5
0.5,-1.0
0.5,-0.5
0.5,-1.0
3.5,2.5
3.5,2.0
1.5,0.0
6.5,4.0
3.0,2.0
8.0,8.0
3.5,2.5
0.0,-1.0
-0.5,-1.0
1.0,-0.5
1.0,0.0
0.5,-0.5
0.5,-0.5
0.0,-0.5
-0.5,-1.0
2.5,1.5
2.5,0.5
0.0,-1.0
0.0,-1.5
1.5,0.0
1.5,1.0
2.5,1.0
1.0,0.0
1.0,-1.0
0.5,-0.5
0.0,-1.5
2.0,1.0
-0.5,-1.5
-0.5,-2.0
2.0,0.5
0.5,-1.0
2.0,1.5
1.0,0.0
2.0,1.0
0.0,-1.5
1.5,0.5
1.5,-0.5
3.0,2.0
2.0,0.5
1.0,-0.5
42.5,40.5
-0.5,-0.5
1.5,0.5
-0.5,-1.5
2.0,1.0
0.5,-0.5
12.0,10.5
0.5,-0.5
0.5,-0.5
-0.5,-1.5
0.0,-1.0
0.5,-1.0
1.0,0.0
1.0,0.0
0.5,-0.5
2.0,0.5
2.0,0.5
2.5,1.5
0.0,0.0
-0.5,-1.0
3.0,2.0
1.5,0.5
2.0,1.0
1.5,0.0
4.5,3.5
1.0,-0.5
3.0,2.0
2.0,1.0
13.0,12.0
0.5,-1.0
0.0,-1.0
-0.5,-1.0
0.5,-0.5
0.0,-1.5
0.5,-0.5
0.5,-1.0
0.5,-0.5
4.0,3.5
3.5,2.0
3.5,2.0
1.0,-0.5
1.5,0.0
0.5,-1.0
3.0,2.0
-0.5,-1.5
0.5,-0.5
1.0,0.0
-0.5,-1.0
2.5,1.0
2.5,1.5
1.0,-0.5
1.5,0.0
0.5,-1.0
2.5,1.0
0.5,-0.5
29.5,27.5
0.5,0.0
0.5,-1.0
-0.5,-1.5
2.5,1.5
2.5,1.5
5.0,3.5
5.0,4.0
