OSPEDALETTO EUGANEO,SALETTO
1.0,-1.5
1.0,-0.5
-0.5,-2.5
0.0,-1.5
0.5,-0.5
2.0,2.5
9.0,5.5
1.5,0.5
0.0,-2.5
0.0,-0.5
1.0,-1.5
1.0,-1.5
1.0,-1.5
1.5,2.5
0.5,-1.5
0.0,-1.5
1.5,-1.5
1.0,-0.5
0.0,-2.0
2.0,0.0
1.5,0.5
0.5,-2.5
-0.5,-1.0
1.0,-1.5
0.0,-2.5
-1.0,-1.0
0.5,-1.5
1.0,-2.0
0.5,-2.0
0.0,-2.5
0.0,-2.5
-0.5,0.0
0.0,-1.0
3.0,1.0
1.0,-1.5
0.0,-1.0
1.0,-2.0
0.5,-2.5
0.0,0.0
0.5,-1.5
0.5,-1.0
-0.5,0.0
1.0,-0.5
1.0,2.0
5.0,3.0
1.5,0.0
0.0,-2.5
-0.5,-1.0
0.5,-2.0
1.0,-0.5
0.0,-2.5
-0.5,-1.0
3.0,0.0
1.0,-1.5
-0.5,-1.5
1.0,-1.5
2.0,0.0
2.0,0.0
0.0,-2.0
1.0,-1.0
0.0,-0.5
0.0,-3.0
0.5,-0.5
2.5,0.0
3.5,0.5
1.0,-1.5
1.5,-0.5
0.0,-3.0
0.5,1.0
0.5,-2.0
2.0,-0.5
0.5,-0.5
1.0,-0.5
1.0,-1.0
-0.5,-1.0
0.5,-2.0
1.0,-1.0
0.0,-2.5
1.0,-0.5
1.5,-0.5
0.5,0.0
3.5,1.0
0.5,-2.0
1.0,0.0
1.0,0.0
1.0,-1.5
1.5,-1.0
0.0,-2.5
0.5,-2.5
0.0,-2.0
0.0,-2.5
0.0,-0.5
2.0,-0.5
-0.5,-2.0
2.0,0.0
0.5,-2.5
0.5,-1.5
-0.5,-2.0
2.0,0.0
-0.5,-2.5
2.5,1.0
2.0,-0.5
-0.5,0.0
1.0,-2.0
0.0,1.0
0.5,-2.0
2.5,1.0
0.0,-2.5
0.5,0.0
2.5,0.0
0.0,-0.5
-0.5,-3.0
0.0,1.0
0.0,-2.0
1.5,-1.0
0.0,-1.0
-0.5,-1.5
1.0,-1.0
1.5,0.5
1.5,-0.5
0.0,-2.0
-0.5,0.0
-0.5,-1.0
-0.5,-2.5
0.5,-0.5
1.5,-0.5
2.5,0.0
1.5,0.0
2.5,0.0
0.0,-2.0
3.0,1.0
0.0,0.0
0.5,-2.5
-0.5,-0.5
1.0,-1.5
-0.5,-1.0
0.0,-3.0
0.0,-0.5
0.5,-1.5
0.5,-0.5
0.0,-2.5
0.5,-2.5
0.0,-0.5
0.0,-2.5
-0.5,0.0
2.0,0.0
-1.0,-1.0
1.0,-0.5
0.0,-1.0
-1.0,-2.5
0.0,-2.5
0.5,-2.0
1.0,0.0
1.0,-1.5
-0.5,-1.5
1.0,-1.5
-0.5,1.0
0.0,-2.5
-0.5,-3.0
1.0,-0.5
0.0,-2.5
1.0,0.0
1.5,-1.0
7.5,4.5
0.5,-2.0
0.0,-2.0
-0.5,0.5
3.5,2.0
-0.5,-1.5
1.0,-1.0
0.0,0.5
0.5,-2.5
0.0,-1.5
0.5,0.0
1.0,-1.0
0.5,0.5
2.0,0.0
1.5,-1.0
0.5,-2.5
0.0,-1.0
0.5,-1.0
2.0,-0.5
0.0,-3.0
-1.0,0.5
0.0,-2.0
-0.5,0.0
-0.5,-1.0
0.5,-2.0
-0.5,-0.5
0.0,-1.5
0.0,-1.0
1.5,-1.5
-0.5,0.5
0.5,-2.0
2.0,1.0
-0.5,-2.5
0.5,-0.5
1.0,-1.5
1.0,-1.0
1.5,0.5
2.0,0.5
1.0,-1.0
0.0,-1.5
0.5,-1.0
4.5,2.5
2.0,-0.5
-0.5,-1.5
1.0,-1.5
1.0,-0.5
0.0,-3.0
0.5,-0.5
2.0,1.0
1.0,0.0
7.0,3.0
0.5,-2.5
-0.5,-1.0
1.0,-1.5
0.5,-1.5
45.0,41.0
0.0,-2.5
-0.5,-1.0
1.0,-1.0
1.5,0.5
0.5,-2.0
0.0,-1.0
1.0,-1.5
9.0,6.0
5.5,3.0
1.0,-1.5
0.0,-1.0
3.5,1.5
19.0,16.0
