PARMA,S.ILARIO
3.5,3.0
2.0,1.5
0.5,-0.5
1.0,-0.5
-0.5,-1.0
0.0,-1.0
2.5,1.5
1.0,-0.5
8.0,7.5
0.0,-0.5
29.0,28.0
1.0,-0.5
3.5,4.0
4.5,6.0
1.0,1.5
4.5,2.5
4.0,3.0
0.5,0.5
6.0,5.5
-0.5,-1.0
-0.5,-0.5
1.0,0.0
3.5,3.0
1.0,1.5
-0.5,0.0
1.0,0.0
3.0,3.0
6.5,5.5
5.0,5.5
7.0,9.5
4.5,5.5
11.0,11.5
2.5,3.5
0.0,-0.5
0.5,-0.5
1.0,1.0
-1.5,-2.0
7.0,6.0
0.5,0.5
6.5,6.5
4.0,2.5
1.5,0.5
-0.5,-1.5
1.0,0.5
-1.0,-1.0
5.5,4.0
0.0,-1.0
-1.0,-0.5
6.0,6.0
4.0,3.0
0.0,-1.0
3.5,10.0
0.0,-1.0
4.0,3.0
15.5,14.0
1.0,2.5
8.5,7.5
-1.0,-2.0
2.0,3.0
0.0,-1.0
0.5,1.0
0.5,0.0
3.0,2.5
3.0,2.0
1.0,0.0
1.0,0.5
6.0,5.0
2.0,1.0
2.5,2.0
10.0,9.5
0.0,0.0
4.0,3.5
5.0,6.0
0.5,-0.5
6.5,9.0
0.5,0.0
0.0,0.0
6.5,6.0
0.0,-0.5
0.0,-1.0
1.0,0.5
2.5,2.0
-0.5,0.5
0.5,1.0
13.5,13.0
14.0,17.0
0.0,0.5
2.5,2.5
1.0,1.5
4.5,5.5
-0.5,-1.5
0.0,-0.5
3.0,4.5
5.5,5.5
3.0,3.0
1.5,1.0
3.5,2.0
3.5,2.5
3.5,2.5
8.0,9.0
3.0,2.5
3.0,3.0
6.5,6.0
5.5,5.0
4.5,4.5
2.5,4.5
2.5,2.5
2.0,0.5
2.0,1.0
5.0,4.0
2.5,1.5
0.0,-1.5
-1.0,-0.5
1.0,0.5
8.5,6.5
1.0,1.5
0.0,0.0
1.0,-0.5
1.0,0.0
0.0,0.0
0.5,0.0
6.0,7.5
5.0,4.0
3.0,3.5
13.0,12.0
-0.5,-0.5
2.0,0.5
1.5,0.5
2.0,3.0
1.0,3.5
2.5,1.5
9.5,9.0
0.0,-1.5
2.0,1.5
-0.5,-1.0
8.0,7.0
0.0,1.5
0.5,-0.5
6.5,6.5
1.0,1.5
1.0,2.5
1.0,8.5
0.0,0.0
6.0,6.0
1.0,2.0
2.5,2.0
3.0,1.5
-1.0,-0.5
-0.5,1.5
-0.5,-1.0
-1.0,24.5
0.5,-1.0
1.0,0.5
8.0,8.5
5.5,4.5
0.0,-1.0
12.0,11.0
1.0,0.0
4.0,4.0
0.5,-0.5
1.0,1.0
0.5,0.0
5.5,5.0
30.0,29.5
42.0,45.0
1.5,1.0
0.5,0.0
13.5,12.5
0.5,1.5
5.0,4.0
18.0,17.5
2.5,2.0
3.5,2.5
1.0,1.5
0.0,-1.0
3.0,1.5
1.0,1.0
13.5,11.5
2.0,0.5
2.5,2.0
8.0,8.0
1.0,0.0
1.5,4.0
1.5,1.0
3.5,2.5
2.0,2.0
2.0,2.0
1.0,0.0
-0.5,-0.5
2.5,3.5
3.0,3.0
4.5,5.0
0.5,-0.5
-0.5,-1.5
-0.5,-0.5
1.5,6.5
10.0,9.0
28.0,29.0
7.5,6.5
0.5,-0.5
11.5,10.5
0.5,1.0
5.0,8.5
8.5,7.5
11.0,10.5
1.0,0.0
6.0,4.5
0.5,0.5
5.0,3.5
2.5,3.5
3.5,2.5
9.5,11.0
13.0,14.0
4.5,8.0
0.0,-1.0
9.5,8.5
1.5,0.0
3.5,2.0
2.5,2.0
1.0,0.5
17.5,16.5
0.5,3.0
2.0,2.0
1.0,2.0
2.0,1.0
4.5,4.0
2.0,0.0
1.0,0.0
2.5,1.5
6.0,4.5
-1.0,-2.0
11.0,10.0
40.5,41.5
3.5,3.0
0.5,0.5
-0.5,-1.0
7.5,6.5
2.0,3.0
0.0,-1.5
4.0,5.0
66.0,65.5
9.0,8.5
50.0,50.5
6.0,5.5
0.0,-1.0
0.5,-0.5
9.5,8.0
1.0,1.0
1.5,1.5
9.0,7.5
10.0,9.5
0.0,-0.5
0.0,0.0
1.5,0.5
0.5,0.0
1.5,2.0
5.5,4.5
15.0,18.5
7.0,6.0
15.0,17.0
2.5,2.0
2.5,2.0
16.0,15.5
39.0,39.5
1.0,0.0
1.0,1.0
4.5,4.0
1.0,1.0
11.5,9.0
6.5,4.5
5.0,4.5
4.5,4.5
10.0,8.5
2.0,2.0
17.0,16.0
2.5,1.5
2.0,1.5
0.5,-0.5
0.0,0.5
-0.5,-1.0
1.5,0.0
2.5,2.0
0.0,-0.5
5.5,4.0
1.0,0.5
3.0,2.5
4.0,3.5
0.5,-1.0
0.5,0.0
3.5,2.0
1.5,0.5
6.5,5.5
3.0,2.0
0.0,-0.5
0.5,0.0
9.0,8.0
0.0,-0.5
-0.5,-1.0
1.0,-0.5
5.0,5.5
1.0,1.5
0.0,0.0
21.5,20.0
2.5,5.5
2.0,0.5
3.5,3.5
-0.5,0.0
5.0,3.5
2.0,1.0
0.5,3.0
8.5,7.5
0.5,0.5
0.5,0.5
1.5,0.5
-0.5,-1.5
5.5,7.5
16.5,15.5
4.5,4.5
4.5,4.0
1.5,8.0
2.5,1.5
-0.5,0.0
12.0,11.0
2.5,3.5
-0.5,-0.5
6.0,4.5
4.0,6.5
0.5,1.0
-1.0,-1.5
3.5,2.5
0.0,0.0
11.5,12.0
13.5,14.0
9.0,7.5
3.0,3.5
9.0,8.5
2.0,3.5
2.5,1.0
1.0,-0.5
4.0,3.5
6.0,5.0
8.5,6.5
11.0,10.5
3.5,3.0
-0.5,0.0
5.0,4.5
7.0,9.0
1.5,1.0
24.5,26.0
4.5,4.0
3.0,1.5
7.0,7.0
1.0,7.0
-1.0,0.0
0.0,0.5
20.0,20.0
0.0,-0.5
6.0,5.5
8.5,8.0
0.5,0.5
6.0,7.0
3.0,2.5
2.0,3.0
2.5,2.5
1.0,0.0
1.0,0.5
7.0,5.5
8.0,7.0
-0.5,-1.0
3.0,1.0
3.5,3.5
5.0,5.5
3.0,9.5
1.0,0.5
2.0,2.0
1.0,1.0
4.5,16.0
3.0,2.0
2.0,2.5
6.0,4.5
0.0,-0.5
0.0,-0.5
5.0,4.0
4.5,4.0
5.0,6.0
0.0,-1.0
1.5,2.0
-0.5,-1.0
0.5,0.0
6.0,5.5
1.0,0.0
-0.5,0.0
-0.5,0.5
-0.5,-0.5
1.0,0.5
-0.5,-0.5
0.0,-1.5
14.5,13.5
10.5,10.0
3.0,3.0
7.0,7.5
8.0,8.0
0.0,-1.0
0.0,-1.0
1.5,0.5
1.5,1.0
2.0,2.0
3.5,6.0
9.5,9.0
12.0,12.0
7.5,7.0
7.0,6.0
20.0,21.5
0.0,-1.0
6.0,5.0
1.0,0.5
1.5,1.0
1.5,1.0
2.0,1.0
3.0,3.0
14.0,12.0
0.5,0.0
78.0,76.0
2.0,2.0
0.5,0.0
