PESCARA,CIVITANOVA MARCHE
12.5,10.0
1.5,3.0
1.0,9.5
1.5,1.0
3.0,4.5
67.5,65.5
6.5,3.5
-3.0,-1.0
2.0,1.5
5.0,5.5
-1.0,-0.5
13.0,10.5
2.5,7.5
-2.0,1.5
0.0,0.5
5.0,9.5
6.0,1.5
2.0,8.5
5.0,3.5
4.5,6.5
-0.5,1.5
1.5,-0.5
-1.0,6.0
10.0,8.5
5.0,2.0
0.5,0.5
12.0,11.0
4.5,3.5
5.5,2.5
-1.0,2.5
3.0,1.0
14.0,12.5
1.0,5.0
-2.0,1.0
-3.5,-2.0
-1.5,-3.0
5.5,9.0
8.5,16.0
-1.5,-0.5
7.5,6.0
8.0,8.0
5.0,17.0
37.0,37.5
-1.0,2.0
11.0,11.0
19.5,18.5
3.5,12.5
8.0,6.5
5.5,6.0
23.5,22.0
6.5,2.5
5.5,6.5
14.0,11.5
2.5,1.0
-2.0,-2.5
-3.0,-3.0
1.0,6.0
-2.5,-2.0
4.5,3.0
1.0,3.5
24.0,23.5
10.0,11.5
11.5,9.0
5.0,1.5
22.0,23.5
4.5,3.0
33.5,30.5
-2.0,4.0
16.0,16.5
-3.0,0.0
1.5,0.0
-1.0,-2.0
5.5,5.5
2.5,0.5
-2.5,-1.5
-0.5,1.0
4.0,5.0
8.5,6.0
-3.0,0.0
7.5,8.0
-2.5,-0.5
-1.0,-2.0
4.0,3.5
3.0,0.0
10.0,7.0
13.5,21.0
1.0,0.0
2.0,1.0
5.5,3.0
23.5,20.5
2.0,3.0
8.0,12.5
10.0,9.0
4.0,3.5
3.5,7.5
1.5,-1.5
0.5,-1.0
3.0,1.0
-1.0,2.5
2.0,0.0
4.5,10.5
0.0,8.0
-2.0,15.5
1.5,6.0
1.5,-2.0
8.0,10.0
0.5,-1.0
-4.0,0.0
9.0,6.0
2.5,-1.0
22.5,24.0
0.0,7.5
4.5,5.5
18.0,15.5
-3.0,-1.0
-1.5,-3.5
6.0,6.0
-2.5,3.0
49.0,56.5
0.0,2.5
19.0,30.0
10.5,10.0
96.5,97.0
8.5,6.5
49.5,88.5
1.5,4.5
1.5,0.5
34.0,31.5
0.5,-1.5
-1.0,-0.5
3.0,0.0
-1.0,-1.5
5.5,4.0
23.0,21.0
-0.5,-0.5
4.0,1.0
0.0,6.5
4.0,2.0
12.5,11.5
31.5,29.0
14.0,45.5
-3.0,-1.5
-0.5,3.5
9.0,5.0
