PIACENZA,PARMA
-1.5,3.5
1.0,1.5
9.0,16.5
27.0,29.5
2.0,5.5
8.5,8.0
2.5,3.0
0.0,1.0
5.0,7.0
-1.0,1.5
1.0,0.5
-3.0,1.0
-3.5,0.5
8.0,8.0
8.5,10.0
13.0,18.0
1.0,1.0
-1.0,3.5
5.5,6.5
-4.5,1.0
-2.0,3.5
-0.5,4.5
10.5,13.0
-0.5,-0.5
7.5,9.0
4.0,7.0
2.0,2.0
10.0,10.0
3.0,4.0
3.5,4.5
9.0,10.5
0.0,4.0
2.5,4.5
1.0,3.0
1.0,2.0
18.5,21.5
2.0,1.0
4.0,5.0
13.5,16.5
11.0,12.5
2.0,3.0
5.0,11.0
7.5,13.0
18.5,20.5
14.5,18.5
16.5,18.5
-3.5,0.5
10.0,16.0
36.0,38.5
25.0,26.5
-1.0,-0.5
16.0,17.0
1.5,4.0
1.5,3.0
10.5,14.5
7.0,10.0
14.5,16.5
1.0,0.5
0.0,5.5
1.5,2.0
32.0,38.5
7.5,11.5
1.0,1.5
-1.0,4.5
-3.5,3.5
8.0,9.0
2.0,6.0
14.0,19.0
-1.0,-0.5
-1.0,1.5
25.5,29.5
4.0,5.5
34.5,38.5
8.0,7.5
8.0,8.0
5.0,8.0
10.5,10.0
12.0,14.0
-2.0,-0.5
1.0,4.0
1.0,3.5
9.0,10.0
13.0,16.0
12.0,20.5
20.5,22.5
2.5,7.0
11.0,14.5
7.0,7.5
-2.5,2.0
1.5,3.0
9.5,10.0
3.5,7.0
-3.5,-1.5
9.5,11.5
4.0,5.0
3.5,2.5
9.0,15.5
7.0,10.5
9.5,13.5
15.5,19.0
0.5,0.0
-2.5,0.5
-2.5,2.5
12.0,13.5
14.5,17.0
19.5,20.5
1.5,3.0
8.0,8.5
4.5,4.0
-1.0,4.5
4.0,6.0
11.5,13.5
10.0,10.0
1.0,2.5
10.5,12.0
14.0,15.0
26.0,29.0
13.0,19.5
7.5,10.5
3.0,7.0
2.0,2.0
22.0,28.5
26.5,27.0
0.5,-0.5
12.5,14.0
6.0,9.0
1.5,1.0
4.5,3.5
11.5,14.5
31.0,31.0
4.5,6.5
-3.0,2.0
10.0,9.5
12.0,14.0
