PORTOMAGGIORE,MONTESANTO
-2.5,-1.0
-2.0,-1.5
0.0,-0.5
-2.5,-2.0
25.0,24.5
-1.0,-3.0
-0.5,0.0
-2.0,-1.0
1.0,0.0
0.0,-0.5
-0.5,-1.5
-1.5,-1.0
-2.5,-2.0
3.5,2.5
-1.0,-1.0
-2.5,-1.0
1.0,0.0
-2.0,-2.0
-2.5,-1.0
-2.5,-0.5
-1.0,-1.0
0.0,0.0
1.0,-1.0
0.0,-0.5
-1.5,-1.0
-2.0,-1.0
-2.0,-2.0
1.5,0.0
-1.0,-1.0
-1.5,-1.0
1.0,-0.5
-1.0,-1.0
-1.0,-0.5
3.0,1.0
-2.0,-1.5
-1.5,-2.0
2.5,1.0
0.5,1.0
2.0,1.0
0.0,-0.5
-1.0,-1.5
1.5,0.0
-1.0,-0.5
0.0,-0.5
39.0,39.0
-2.5,-2.0
-1.0,0.5
-1.5,-1.0
2.0,1.5
-0.5,-0.5
-1.5,0.5
-2.5,-1.0
0.5,0.5
13.0,12.5
-0.5,-0.5
9.5,8.5
0.0,-1.5
-2.0,-2.0
-0.5,-1.0
5.5,3.5
-1.0,-0.5
1.0,2.0
0.0,0.5
0.0,-0.5
-2.5,-1.5
-1.0,-0.5
9.5,8.5
-2.0,-1.5
-1.5,-1.5
-1.5,1.0
1.5,0.0
0.0,0.0
0.0,0.0
-2.0,-1.5
0.5,-0.5
5.0,3.5
-2.0,-1.5
-2.0,-1.0
2.0,0.5
1.0,-0.5
-0.5,-1.0
-1.5,-0.5
-1.5,-1.0
0.0,-0.5
-1.5,-1.0
-2.0,-1.5
-3.0,-1.5
5.0,4.5
-1.5,-1.0
1.0,-0.5
-1.5,0.0
-2.0,-1.0
-1.5,-1.0
-2.0,-1.5
2.0,0.5
-1.0,-0.5
-1.0,-0.5
0.5,0.5
-1.5,-0.5
8.5,7.0
5.5,4.5
-2.0,-1.0
0.0,-1.5
-1.5,-0.5
-1.0,-0.5
3.5,2.0
-2.0,-1.5
1.5,0.0
-1.5,-0.5
1.0,1.5
-2.5,-1.0
-2.5,-1.5
-1.5,-1.0
-2.0,-2.0
2.0,0.5
-3.0,-2.0
8.0,6.0
