ROMANORE,SUZZARA
1.5,1.0
0.0,0.0
0.5,0.5
0.0,0.0
1.5,1.0
-0.5,-0.5
3.5,3.5
0.0,0.5
2.5,2.5
2.0,1.0
1.5,1.0
2.5,1.0
1.5,1.5
-0.5,0.0
3.0,2.5
1.0,1.5
-0.5,-0.5
5.0,5.5
0.5,0.5
0.0,0.5
-0.5,0.0
-1.0,-0.5
0.0,1.0
1.0,1.5
0.5,0.0
0.0,0.5
0.5,0.0
0.5,0.5
3.0,5.0
1.0,0.0
0.5,0.5
1.5,1.0
2.0,1.5
10.5,10.5
-0.5,-0.5
0.0,0.0
3.5,3.5
-1.0,-0.5
4.0,3.5
-1.0,-1.0
3.0,2.5
0.0,0.0
1.0,1.0
0.5,1.0
-0.5,-1.0
2.0,3.0
0.0,0.0
0.5,1.0
2.0,6.0
1.0,1.0
8.5,9.0
0.5,1.0
-1.0,-0.5
1.0,0.5
0.5,0.5
-0.5,-0.5
0.0,-0.5
0.5,1.5
1.5,1.5
-0.5,-1.5
1.0,1.5
0.0,0.0
3.5,3.5
-2.0,1.5
2.0,1.5
1.0,0.5
4.0,4.5
3.5,5.0
-0.5,-0.5
-3.0,1.0
27.0,27.5
9.5,9.0
17.5,21.5
0.5,0.5
0.0,0.5
2.0,2.0
2.0,2.0
7.0,6.5
2.0,1.5
0.5,9.0
0.5,1.0
3.5,2.5
3.0,2.5
2.0,1.0
0.0,-0.5
-3.0,1.5
0.5,0.0
2.5,2.0
0.0,0.0
0.5,0.0
2.0,2.5
3.5,3.0
0.0,2.5
11.0,13.0
0.5,1.5
-0.5,0.5
0.0,-0.5
-1.5,-1.0
-0.5,-0.5
0.5,0.5
1.0,2.0
3.5,3.0
-1.0,-1.0
1.0,0.0
0.0,-0.5
5.0,5.0
2.5,3.0
1.0,1.5
-1.0,-1.0
0.0,0.0
3.0,2.5
10.5,19.5
1.0,0.5
29.0,27.5
2.0,2.0
1.5,2.0
2.5,1.5
6.5,6.5
6.5,7.0
4.0,9.0
2.0,1.5
0.5,0.0
0.0,28.0
0.5,0.0
0.5,0.0
0.5,0.0
5.5,5.5
4.0,3.5
1.5,1.5
-0.5,-0.5
3.5,3.0
1.0,1.0
6.5,7.0
-0.5,0.5
-1.0,-0.5
-0.5,-0.5
1.0,1.0
-1.0,-2.0
0.5,0.0
0.5,0.5
2.0,1.5
4.5,5.0
-0.5,-0.5
7.0,6.5
0.5,1.0
0.0,0.0
7.5,7.5
1.0,0.5
0.0,-0.5
7.5,9.5
14.0,13.5
7.5,7.5
-1.0,-1.0
11.0,11.5
1.5,4.5
0.5,1.5
85.5,85.5
0.5,-0.5
0.5,1.0
1.0,1.0
0.5,0.5
5.0,1.5
-0.5,-0.5
0.0,0.0
0.0,0.5
-0.5,-1.0
1.5,1.5
5.0,5.0
-0.5,-0.5
6.0,6.5
1.5,1.0
-0.5,-0.5
0.0,0.0
2.0,1.5
0.0,0.5
0.0,-0.5
0.0,0.0
5.0,5.0
2.0,1.5
1.0,1.5
0.0,0.0
3.0,2.0
-0.5,-0.5
-0.5,-0.5
1.0,1.0
-0.5,-0.5
1.0,0.5
1.0,1.5
-0.5,-0.5
1.5,1.0
1.0,1.5
0.5,1.0
-1.0,1.5
2.0,2.5
3.0,3.0
0.5,0.0
0.0,-0.5
1.5,2.0
1.0,1.0
0.0,-1.0
0.0,0.0
0.5,0.5
2.0,3.0
2.5,2.0
1.0,0.0
0.0,0.0
0.0,-0.5
21.0,25.0
9.5,8.5
2.5,1.5
2.5,2.5
7.0,7.5
0.0,0.5
1.0,9.5
21.5,21.5
2.0,5.0
2.5,4.0
0.5,1.0
-0.5,-1.5
13.5,13.0
6.0,5.5
4.5,4.5
1.5,1.5
2.5,2.5
5.5,5.0
-0.5,-0.5
3.0,3.5
3.0,3.0
-1.0,0.5
3.0,3.0
3.5,3.5
6.5,7.0
0.5,-0.5
0.5,0.0
-2.5,4.5
3.5,3.5
1.5,2.0
1.0,0.5
1.0,0.5
3.5,2.5
5.0,5.0
2.5,2.0
5.5,6.0
1.5,0.5
3.5,4.0
0.0,-0.5
0.0,0.0
3.5,3.5
0.5,0.0
-0.5,-0.5
2.0,1.0
1.5,2.5
-0.5,-1.0
1.5,1.5
0.5,0.5
1.5,1.5
0.0,-1.0
0.0,0.0
0.5,1.0
-0.5,-0.5
0.5,0.5
0.5,0.5
25.0,24.5
3.5,4.5
4.0,4.0
11.0,10.0
1.0,1.5
2.0,2.0
0.5,5.5
8.0,8.0
-1.0,-1.0
-0.5,-0.5
2.5,2.5
8.0,7.5
0.5,7.0
4.5,4.5
0.5,0.0
6.5,7.5
10.5,9.5
0.5,0.5
0.0,-0.5
-0.5,0.0
0.0,-0.5
1.0,2.0
1.0,1.5
53.0,52.5
0.0,0.0
1.5,0.5
0.0,-0.5
0.0,0.0
1.0,1.0
0.5,0.5
0.5,0.0
3.5,4.5
5.5,6.0
15.5,15.0
7.5,7.5
4.0,4.5
5.0,5.0
0.0,0.0
2.0,2.0
1.5,3.5
0.0,0.5
1.5,1.5
2.0,2.0
11.0,11.0
0.0,0.0
4.0,4.0
7.0,7.0
6.0,5.0
6.5,6.5
-1.5,-1.5
2.0,1.5
3.5,2.0
59.5,58.5
-1.0,-1.0
0.0,0.0
-1.0,-0.5
0.0,0.5
0.0,15.5
0.5,0.5
-0.5,-1.0
1.0,0.0
0.5,0.0
15.5,15.0
0.0,0.0
8.0,7.5
11.5,12.0
1.0,0.0
-1.0,-1.0
-0.5,5.0
1.0,0.5
2.0,0.0
5.0,5.0
0.0,2.0
1.0,1.0
4.5,9.0
1.5,2.5
1.5,1.5
0.0,0.5
0.5,0.5
0.0,-1.0
9.5,9.0
0.0,-0.5
0.0,-0.5
1.0,1.0
4.0,4.0
0.0,0.0
3.5,3.5
6.5,7.0
4.0,3.0
13.5,10.0
87.5,87.0
-0.5,0.0
0.5,0.0
10.5,10.5
-2.5,6.5
20.0,22.0
1.0,0.0
14.5,15.0
0.5,0.5
1.0,1.5
3.5,3.0
0.0,0.0
3.0,2.5
1.5,1.0
0.0,0.5
5.0,4.5
-0.5,-1.0
5.0,5.0
3.5,3.5
4.5,4.5
4.0,4.0
0.0,-0.5
4.5,5.5
0.0,-0.5
3.5,3.5
4.5,4.5
1.5,1.5
0.0,-0.5
0.5,-0.5
1.0,2.0
1.5,1.5
-0.5,-0.5
0.0,0.5
0.0,0.0
2.5,1.5
-0.5,-1.0
1.0,-0.5
2.5,1.5
1.0,1.0
0.5,-0.5
25.0,25.0
1.0,1.0
5.5,5.5
-1.0,-1.0
5.5,5.0
0.5,0.5
0.0,3.5
10.5,11.0
0.5,0.5
1.0,0.0
2.5,2.0
0.0,0.0
5.5,6.0
-0.5,0.0
3.0,3.5
0.0,0.0
2.5,3.5
1.0,1.0
1.0,1.5
0.0,3.0
0.0,0.5
3.0,4.0
-1.0,-0.5
1.0,1.0
-0.5,0.0
13.5,14.0
0.0,8.0
10.0,11.5
5.5,5.5
0.0,-0.5
1.5,1.5
0.0,0.0
1.0,1.0
5.0,4.5
8.0,8.0
1.0,1.5
1.0,1.5
3.0,2.5
2.0,1.5
2.0,2.5
0.0,-0.5
6.0,6.5
-3.0,1.0
1.0,0.5
1.0,-0.5
0.5,0.5
1.5,1.5
1.0,0.5
7.0,6.5
2.0,3.0
1.0,0.5
0.0,0.5
0.5,0.0
2.0,2.0
1.5,1.5
4.0,4.0
0.0,-0.5
0.0,0.0
3.5,3.5
1.0,3.0
2.0,3.5
0.5,1.0
0.0,-0.5
6.0,6.0
0.0,-0.5
1.5,1.5
-0.5,-0.5
1.0,1.0
1.5,1.5
-0.5,-0.5
0.0,-0.5
0.0,-1.0
4.5,5.5
2.5,2.5
-0.5,0.0
8.0,8.0
1.5,3.0
0.0,13.5
7.0,7.0
1.5,1.0
2.0,2.0
-0.5,-0.5
0.0,-0.5
4.5,4.5
0.5,0.0
0.0,0.0
0.5,0.0
2.5,7.5
9.5,10.0
-0.5,-0.5
5.5,6.0
0.0,-0.5
0.0,0.0
5.0,5.0
-1.0,1.5
0.0,0.0
2.5,2.5
2.0,2.5
2.5,2.5
0.0,0.0
1.5,1.0
2.0,2.0
2.5,2.0
0.0,0.0
-0.5,-0.5
0.5,0.0
1.0,1.5
2.5,3.0
-3.0,0.5
6.5,6.5
1.0,0.0
0.5,-0.5
0.0,0.0
1.0,1.5
7.5,7.5
1.0,1.5
4.0,7.5
0.5,1.0
0.0,0.5
-1.5,1.0
1.0,1.0
-1.5,-1.0
1.0,1.5
-1.0,-0.5
5.5,5.5
0.0,5.0
0.0,0.0
6.5,6.5
9.5,9.5
2.0,2.5
6.0,6.0
5.0,5.0
8.5,11.0
3.5,3.0
0.5,0.5
0.5,0.5
8.0,8.5
5.0,4.5
1.0,1.5
1.0,0.5
-0.5,0.0
6.0,6.0
0.5,0.5
1.5,1.0
4.0,3.5
1.0,0.5
3.0,4.0
0.0,-0.5
1.0,0.5
0.5,0.0
3.5,6.5
1.5,1.5
0.0,-0.5
6.0,5.5
2.0,1.5
5.0,4.5
5.0,4.5
1.0,1.0
4.5,4.0
1.0,1.5
2.0,2.0
1.5,3.5
0.0,-0.5
-0.5,-0.5
0.5,0.5
0.0,0.5
3.5,3.5
0.0,-1.0
1.5,1.0
1.5,1.0
-0.5,0.0
9.0,8.5
2.0,2.0
0.5,0.5
1.5,2.0
3.5,4.5
-1.0,1.5
12.5,13.0
-0.5,-0.5
1.0,1.5
1.5,1.5
-0.5,-0.5
3.0,1.5
17.0,15.0
-0.5,-1.0
0.5,-1.0
0.5,-0.5
1.0,0.5
0.5,3.0
6.5,6.5
4.5,3.5
7.0,6.0
0.5,0.5
2.0,2.0
7.5,7.5
0.0,-1.0
-0.5,0.0
2.0,2.0
3.5,3.0
8.5,8.5
16.0,24.5
4.0,4.0
-0.5,-0.5
0.0,0.0
1.5,2.5
6.5,6.5
0.5,0.0
0.0,0.0
1.0,1.0
0.5,0.5
11.0,11.0
-0.5,0.0
-0.5,-0.5
-0.5,-1.0
2.0,2.0
-0.5,-0.5
0.0,0.0
1.5,2.5
0.0,-1.0
1.0,1.0
0.0,0.0
2.5,2.0
6.0,6.5
3.5,2.5
2.5,2.5
0.5,0.0
1.0,1.0
3.5,3.5
1.5,1.0
1.5,1.0
0.0,-0.5
