TARANTO,GIOIA DEL COLLE
0.5,-0.5
1.0,0.0
1.5,-0.5
1.0,-1.0
1.0,0.0
0.5,0.0
0.5,-1.0
1.0,0.5
1.0,-0.5
0.5,4.0
1.0,0.5
1.5,0.5
1.0,1.5
1.0,2.0
1.0,3.0
0.5,-0.5
1.5,2.0
1.5,0.5
1.0,0.5
15.5,12.5
2.0,3.0
1.0,2.5
5.0,5.0
0.5,1.0
0.5,1.0
1.0,1.0
0.5,1.0
0.5,4.0
1.0,1.5
1.0,1.5
1.0,-2.0
1.0,2.0
1.5,0.5
1.0,1.5
1.0,1.5
5.5,5.5
1.0,0.5
2.5,2.0
1.0,2.0
2.5,3.5
1.0,3.5
1.0,-1.0
1.5,2.5
18.0,17.5
1.5,3.0
1.5,2.5
3.0,1.5
4.0,7.5
2.5,1.5
2.5,1.5
1.0,2.0
2.0,21.0
1.5,2.0
2.0,2.0
1.0,1.5
4.0,6.5
1.0,3.5
1.0,4.0
1.0,5.5
3.0,4.0
1.0,-0.5
2.5,1.5
2.0,2.0
1.5,4.5
0.5,2.5
1.5,1.5
3.5,3.0
4.5,5.5
1.0,1.0
2.0,1.5
1.0,0.0
5.5,7.5
7.0,6.0
1.0,4.5
3.0,2.0
1.5,0.5
1.0,-1.0
2.0,8.5
6.0,4.0
1.5,-0.5
2.5,4.0
1.0,1.0
1.5,1.0
5.0,3.5
1.0,-1.5
1.0,2.0
1.5,1.0
1.5,3.5
1.5,7.0
1.0,0.0
3.5,4.0
1.0,2.5
0.5,0.0
5.5,4.5
1.5,1.0
2.5,2.0
1.5,2.0
1.5,6.0
1.5,-0.5
0.5,3.5
1.0,2.0
1.0,-1.0
1.0,2.5
5.0,5.0
2.5,4.5
1.0,2.0
1.0,0.5
1.0,2.5
2.0,18.0
1.5,0.5
1.5,1.0
1.0,4.5
1.5,0.5
1.5,1.0
1.0,-1.5
1.0,3.0
1.0,1.0
1.5,3.0
1.0,3.0
2.0,0.5
1.0,-2.0
1.0,2.0
1.0,0.5
1.0,0.5
0.5,1.5
1.5,3.0
1.0,-0.5
1.5,0.5
2.0,2.0
0.5,0.0
1.0,1.5
1.0,3.0
9.5,6.5
1.5,1.0
1.0,4.0
0.0,0.0
1.0,4.5
1.0,0.0
0.5,-0.5
2.5,1.5
1.0,0.0
1.5,1.0
6.5,6.0
