TORINO PORTA SUSA,MILANO CENTRALE
-0.5,-1.5
0.5,-2.5
-0.5,1.5
-3.0,0.0
0.0,1.5
2.5,2.0
-1.0,-1.0
-0.5,4.5
-3.5,-3.5
-2.5,-2.0
-2.0,-8.0
-3.5,-0.5
0.0,3.5
-1.0,0.0
-2.0,2.5
-3.0,-0.5
1.5,2.0
-1.0,-3.5
-1.5,2.5
-2.0,-3.0
-2.0,-1.5
-3.5,-4.5
-1.5,-4.0
-1.5,2.5
-0.5,1.0
2.5,-3.0
-2.0,-5.5
-2.5,2.0
-1.5,2.0
-3.5,13.0
-1.0,-5.0
-3.0,-4.5
-0.5,-4.0
0.0,-5.0
-3.0,-0.5
-1.5,-4.0
2.0,2.5
-1.5,-4.0
-1.5,-6.0
-1.5,-0.5
0.0,-2.0
-5.0,9.0
0.5,1.5
-3.0,10.0
0.0,-3.5
1.0,-7.0
1.0,2.0
0.0,-3.5
0.0,4.5
-1.5,-4.0
-3.5,-1.5
1.5,-3.5
-4.0,-3.0
-0.5,-6.0
-0.5,-1.0
-1.0,1.5
-3.5,0.5
0.0,-2.5
-2.0,-0.5
-1.5,-4.5
-3.5,-2.0
30.0,29.5
-4.5,-6.0
-1.5,-4.5
76.0,78.5
0.0,2.5
-2.5,-5.5
-2.0,-0.5
-3.0,-0.5
1.0,-2.0
-2.0,7.0
-2.0,1.5
-1.5,-4.5
-2.0,-6.5
-1.5,-3.5
-0.5,12.5
-2.5,1.0
-1.0,5.5
4.0,2.5
-4.0,-3.5
-1.0,-2.0
-3.0,-6.5
-0.5,-5.0
-3.5,-5.0
0.0,1.0
2.0,1.5
0.5,0.0
-2.0,-6.0
-1.0,-2.5
-3.0,-5.0
-2.0,-3.0
-1.0,-5.5
11.5,5.0
-1.0,1.0
-3.0,-1.5
-2.0,-6.0
-3.0,-2.0
-0.5,-4.0
-4.5,-3.0
-2.0,-3.5
0.0,0.0
-2.0,0.5
0.5,4.0
1.5,-2.0
-1.0,-5.5
160.0,161.0
-1.0,-5.0
4.0,-2.5
-3.5,0.0
3.5,-2.0
-1.5,-0.5
-0.5,0.0
1.0,-3.5
-4.5,-3.0
-1.5,-5.0
-1.5,8.0
-1.5,-5.0
-2.5,-0.5
0.0,7.5
-2.0,0.0
0.5,-2.5
0.5,-6.5
-0.5,-4.0
1.5,3.0
0.5,5.5
-1.5,-1.5
-1.5,1.0
-4.0,-2.5
4.0,2.0
-1.5,8.0
-0.5,0.5
0.5,-1.5
-3.5,-3.5
-1.5,2.0
-2.0,-2.5
0.0,-7.0
-3.0,-6.0
-0.5,-6.0
-3.0,-4.0
1.0,2.5
-3.5,-2.0
-0.5,-3.0
-0.5,-3.5
-3.0,4.0
-2.0,-2.5
-2.5,-2.0
-1.5,-1.5
-3.5,-4.5
-1.5,-4.5
-3.5,0.5
-2.0,4.5
-4.0,-5.0
-2.5,0.5
-4.0,1.5
1.0,3.5
-2.5,-5.0
-1.0,-6.5
-3.0,5.5
2.0,-2.0
-1.0,-3.0
-1.0,-3.5
-2.5,-4.5
0.0,-0.5
-3.5,-1.0
-1.5,-3.0
-4.0,-2.0
0.5,1.5
-1.5,-3.5
12.5,9.5
-0.5,0.0
-1.0,0.0
-1.0,-2.0
0.5,-5.5
2.0,0.0
-1.0,0.5
-3.0,2.5
2.5,0.5
-2.5,-3.5
-2.0,-5.5
-2.5,-2.0
0.5,-2.5
-3.5,-2.5
-1.5,-6.5
-3.5,-3.0
0.0,0.5
0.0,-1.5
5.0,0.5
0.5,-1.5
-1.0,-1.5
0.5,-5.0
-3.0,-5.5
-0.5,-4.0
-1.0,-3.5
1.0,0.5
-1.5,-7.5
-1.0,-4.5
-1.0,-3.0
-2.0,-0.5
1.0,1.5
-0.5,-4.5
-2.5,0.0
-0.5,-6.5
-2.5,-4.0
-1.0,-5.5
-2.0,-4.0
1.0,-3.0
0.5,3.5
-4.0,2.5
-1.0,-4.0
-3.5,4.5
-4.0,-1.0
0.0,-4.5
-1.5,-5.5
-3.0,-0.5
-1.5,-1.0
-3.5,0.5
