TORRILE S. POLO,COLORNO
22.5,21.5
1.5,1.5
4.5,9.0
1.5,2.0
3.0,11.5
2.5,5.0
6.5,8.0
5.0,6.5
2.0,2.5
5.0,9.0
1.5,2.5
9.0,16.5
3.5,13.5
1.5,1.5
2.0,2.5
1.5,5.5
3.0,3.5
3.0,7.0
3.0,3.0
2.0,3.0
7.0,10.5
2.0,2.0
6.0,7.5
2.0,9.5
0.5,3.5
1.5,5.0
3.0,7.0
4.5,5.5
2.0,3.5
1.0,1.0
4.0,4.0
5.0,6.0
3.5,5.0
2.5,4.0
4.5,9.5
2.5,8.5
3.5,5.0
3.5,5.5
2.5,2.5
7.0,9.0
1.0,1.5
2.5,4.5
2.5,3.0
1.5,2.5
1.5,2.0
1.0,1.5
2.5,3.5
0.5,0.5
3.5,5.5
1.5,10.0
2.0,5.5
4.0,5.5
2.5,3.5
1.5,1.5
3.0,22.0
15.0,15.5
4.0,13.0
5.5,5.5
2.0,2.0
2.5,9.0
8.0,11.5
3.5,4.5
2.5,3.0
1.5,4.0
5.0,7.0
0.5,1.0
3.5,2.5
1.5,1.0
1.5,1.5
1.0,1.0
3.0,5.0
3.0,4.0
3.5,5.5
3.5,5.0
2.5,3.0
1.5,2.5
3.5,8.0
3.5,3.5
2.0,1.5
2.5,5.0
5.0,20.0
5.0,6.0
2.0,2.0
7.5,13.0
6.0,10.5
7.5,9.0
4.0,8.0
1.0,1.0
1.0,0.5
3.0,3.0
1.5,2.0
6.0,18.5
8.0,10.0
2.5,2.0
2.5,3.0
5.5,8.0
1.5,6.0
2.5,4.0
1.0,1.0
2.0,2.0
3.0,4.5
6.5,8.0
2.5,7.5
3.5,4.0
2.0,2.5
6.5,8.0
2.0,3.0
7.0,7.0
3.0,7.5
2.0,3.0
4.5,5.0
1.0,2.5
7.5,24.5
6.5,8.0
5.0,6.5
2.0,2.5
2.0,2.0
2.5,2.0
4.0,7.5
2.5,9.0
2.0,8.0
1.5,2.0
2.0,3.5
2.5,3.0
26.0,25.5
3.5,3.0
8.0,10.5
1.5,1.0
1.5,3.0
2.0,1.5
3.0,11.5
2.5,13.0
3.0,7.5
1.5,3.0
4.0,5.5
2.0,8.0
2.0,2.0
2.5,2.5
2.5,7.5
35.5,35.5
3.0,3.5
3.5,2.5
3.0,7.5
2.5,7.0
3.5,9.5
2.0,5.5
1.0,2.5
5.5,5.0
2.5,3.0
