TRANI,BARLETTA
-1.0,-1.0
15.5,15.0
16.5,14.5
-1.0,-1.0
-1.5,-1.0
5.5,4.0
5.0,3.5
-1.0,0.0
2.0,5.5
-1.0,6.0
-1.0,-1.0
-1.0,-1.0
-0.5,0.5
-1.5,-1.0
-1.0,-0.5
-1.0,-1.0
-1.5,-0.5
-1.0,-1.0
-1.0,-1.0
-1.5,-1.0
-1.0,-1.0
2.0,2.0
0.5,-1.0
-1.0,-0.5
-1.5,0.5
-1.5,0.0
4.5,3.0
17.5,15.0
-1.0,-0.5
-2.0,-1.0
-1.5,-0.5
6.0,4.5
-1.0,-0.5
4.0,2.0
1.5,0.0
8.0,5.5
2.0,3.5
-1.0,-1.0
-1.0,-0.5
-0.5,-0.5
-1.0,-0.5
-0.5,-0.5
-1.5,-1.0
-1.0,0.0
1.0,1.0
0.0,-0.5
30.5,28.0
-1.0,0.0
0.0,1.5
-1.0,-1.0
-1.0,-0.5
-0.5,-0.5
-1.0,-1.0
-1.0,-0.5
-1.5,-0.5
-1.5,0.5
-1.0,-1.0
9.5,7.0
1.0,-0.5
-1.0,-1.0
1.5,2.0
-2.0,-1.0
0.0,0.5
-1.5,-0.5
9.0,8.0
15.0,13.0
-0.5,-1.0
5.0,5.5
-1.0,-1.0
3.0,1.5
-1.5,-1.5
-1.0,0.0
0.0,-1.0
-0.5,-1.0
-1.0,-0.5
-1.0,0.5
-1.5,-0.5
-0.5,-0.5
-0.5,-1.0
-1.5,-0.5
5.5,5.0
1.0,2.0
-1.0,-0.5
-1.5,-1.5
-1.5,-1.0
-1.0,-0.5
-1.0,0.0
-1.0,-1.0
-1.0,-1.0
1.5,0.0
3.5,1.5
-1.5,-0.5
3.5,2.0
-1.0,7.0
2.0,-0.5
-1.0,-1.0
-1.0,-0.5
3.5,2.0
-1.5,-1.0
-1.5,0.0
-1.0,-0.5
-1.0,-0.5
0.0,1.5
5.0,3.0
16.5,14.0
0.0,-1.0
3.5,3.5
-0.5,-0.5
19.0,17.5
-1.5,-1.0
-0.5,-0.5
0.5,0.0
2.0,0.0
5.0,3.0
-1.0,-1.0
-1.0,-0.5
1.0,1.0
-1.5,0.0
-1.5,-1.0
-1.5,-1.0
-0.5,-1.0
-1.0,-1.0
5.5,3.0
6.0,3.5
-1.0,-0.5
-1.0,0.0
-1.5,-0.5
2.5,0.5
0.0,1.5
-0.5,-0.5
-1.5,-1.0
0.0,-1.0
-1.0,-1.0
0.0,-1.0
-1.0,-1.0
-0.5,0.5
6.0,4.0
-1.0,-1.0
12.0,10.0
-0.5,-0.5
-0.5,-0.5
8.0,6.5
