VERBANIA-PALLANZA,STRESA
0.5,0.5
-1.5,-1.0
-2.0,-2.5
6.5,6.0
1.0,3.0
1.0,1.0
-1.5,-2.0
0.5,0.5
1.5,2.0
3.0,2.5
0.5,0.0
-1.0,-1.0
0.5,0.5
8.5,8.0
5.5,6.0
0.0,0.0
-0.5,-1.0
0.0,-0.5
-1.0,-1.5
-1.0,-0.5
2.5,2.5
0.5,2.0
3.0,2.0
1.0,0.0
-1.5,-1.0
-0.5,-1.0
-0.5,0.0
-0.5,1.5
0.0,0.5
-1.5,-2.0
-1.5,-2.0
13.0,11.5
0.0,15.0
-0.5,-1.0
-1.0,-1.0
0.5,0.5
8.0,7.5
-1.0,-1.0
-1.0,-1.5
-2.0,-2.0
-0.5,-0.5
0.0,-0.5
4.5,4.0
-1.0,-2.0
3.5,6.0
22.0,22.0
0.0,-0.5
-2.0,-1.5
2.0,2.5
0.0,0.0
1.0,1.0
0.0,-0.5
0.0,0.0
0.0,0.5
0.0,0.0
1.0,0.5
-1.0,-1.0
-1.5,-1.5
0.0,0.0
-0.5,-1.0
-0.5,-1.5
0.0,-0.5
2.5,3.0
-1.0,-1.0
-0.5,-1.0
3.0,2.5
3.5,3.0
-1.0,-1.0
-0.5,-0.5
-0.5,0.5
-1.0,-0.5
-0.5,-0.5
0.5,0.5
2.5,1.5
1.5,1.0
-0.5,-1.0
-1.0,-1.5
0.5,1.5
-0.5,-1.0
-0.5,-1.0
-0.5,-1.0
-2.0,-1.5
-0.5,-1.0
-1.5,-1.0
1.5,2.0
-1.0,-1.0
0.5,0.0
1.0,1.0
-0.5,-0.5
-0.5,1.5
0.5,1.0
1.5,2.0
0.0,0.0
-0.5,-1.0
1.0,1.0
3.0,3.0
1.0,0.5
-0.5,0.0
0.5,0.0
-0.5,0.0
-0.5,-1.0
0.0,-0.5
-1.0,-1.5
0.0,0.5
4.5,3.5
-1.0,-1.5
2.0,2.0
0.5,1.0
-1.0,-0.5
0.0,0.0
-1.0,-1.0
-0.5,0.0
-0.5,-0.5
-0.5,-1.0
-1.0,0.0
2.0,2.5
1.0,0.0
-1.5,-1.5
3.0,2.5
-1.0,-1.5
0.0,0.0
1.5,0.5
0.0,-0.5
15.0,14.5
7.0,7.0
-1.0,0.0
1.0,0.0
0.5,0.5
0.5,1.5
-0.5,-1.0
0.0,0.0
2.5,3.0
0.0,-0.5
0.5,1.0
0.5,-0.5
-0.5,-1.0
-0.5,-0.5
0.5,0.5
-1.5,-2.0
0.0,0.0
-1.0,-1.5
0.0,-0.5
0.0,0.0
0.5,0.5
-0.5,-1.0
-0.5,-1.0
-0.5,-0.5
-0.5,-0.5
0.0,0.0
-0.5,-1.0
1.5,1.0
-0.5,-0.5
