VIAREGGIO,LUCCA
3.0,3.5
4.0,5.0
1.5,1.5
1.5,2.0
1.5,1.5
1.5,2.0
2.5,2.0
1.0,0.5
24.0,26.0
15.0,15.0
1.0,11.0
1.5,2.0
1.5,1.0
2.0,4.5
2.0,4.5
1.5,2.5
3.5,3.5
1.0,1.0
1.5,3.5
4.0,3.5
1.5,1.0
2.0,2.0
2.0,4.0
3.0,2.0
1.0,0.0
1.0,0.0
1.0,1.0
2.0,1.5
2.5,2.0
1.5,-0.5
1.0,4.0
1.5,2.5
1.5,2.0
6.5,6.5
1.5,1.0
1.5,2.5
5.0,4.0
1.5,2.0
2.5,3.5
5.5,10.5
1.0,1.5
2.0,2.5
1.5,1.5
1.5,2.0
2.5,0.5
0.5,0.5
24.5,23.5
2.0,2.5
4.0,9.5
5.5,7.0
1.0,1.0
3.0,4.5
1.0,4.5
7.0,7.0
2.0,1.0
1.5,1.0
1.5,2.0
1.0,1.5
1.5,1.0
6.5,6.5
11.5,12.5
2.0,3.0
0.5,1.0
2.5,3.0
5.5,6.0
2.0,1.5
2.0,2.0
2.0,6.0
4.0,5.0
2.0,3.5
1.0,10.5
5.0,6.0
1.5,2.0
1.5,1.5
1.0,-0.5
2.0,0.5
1.5,5.0
1.0,0.0
1.5,2.0
1.0,0.0
1.0,8.5
1.5,0.5
2.5,3.5
1.5,1.0
1.0,0.5
1.5,0.5
0.0,1.0
1.0,0.5
1.0,1.5
2.0,1.5
1.5,2.0
1.5,0.5
1.5,3.0
11.5,13.0
1.0,1.5
8.5,8.5
1.0,1.0
1.5,1.0
20.0,20.0
1.5,1.0
