PESARO,CATTOLICA S.GIOVANNI GABICCE
6.5,7.0
13.5,13.0
12.0,12.0
3.5,4.5
6.5,6.5
9.0,9.0
3.5,4.0
1.5,1.0
5.0,5.5
4.0,4.0
2.0,2.0
25.0,25.0
2.0,1.0
10.5,10.0
6.5,6.5
6.5,7.0
2.5,3.0
4.5,4.5
2.5,3.0
1.0,1.0
9.5,10.5
4.5,4.0
4.0,5.0
6.5,7.0
10.5,11.0
2.0,2.0
2.0,2.0
3.0,4.0
2.0,2.0
4.5,4.5
4.0,3.0
5.5,5.5
1.5,1.5
2.5,2.0
4.0,4.0
9.5,9.5
1.5,1.5
2.5,3.0
5.0,6.0
8.0,9.5
4.0,4.0
3.5,3.0
2.0,2.5
2.5,3.0
2.5,3.0
2.5,2.5
10.5,12.0
3.5,4.5
3.5,4.0
4.5,5.0
1.5,2.0
4.0,3.5
1.5,2.0
3.0,3.0
1.5,2.0
8.5,9.0
9.5,10.0
3.0,2.5
4.0,4.0
2.5,3.0
14.5,14.5
4.0,4.0
4.5,4.5
1.0,1.5
4.5,5.0
3.0,3.0
7.0,7.0
2.0,2.5
2.0,2.0
4.0,4.0
4.0,3.5
3.0,3.0
2.0,2.0
1.5,2.0
1.5,1.5
1.5,1.5
1.5,2.0
10.0,10.0
6.0,5.5
1.0,2.0
7.5,7.5
14.0,14.0
2.0,1.5
2.0,2.5
1.5,2.0
1.5,1.0
2.0,2.5
1.5,0.5
1.5,1.5
11.5,12.0
2.5,2.5
1.5,2.0
6.0,6.0
1.0,1.5
5.0,5.5
1.5,1.5
6.5,7.0
2.5,2.5
1.5,1.5
4.5,4.5
