ROMA TERMINI,ROMA TIBURTINA
1.0,0.0
4.0,2.5
6.0,3.5
0.0,-2.0
0.0,-3.0
0.0,-3.0
0.0,-1.0
0.0,-0.5
4.0,3.5
0.0,0.0
0.0,-3.0
0.0,-1.5
7.0,6.5
3.0,2.0
0.0,-1.5
3.0,0.0
0.0,-2.0
0.0,-1.0
0.0,-0.5
1.0,-1.0
1.0,0.5
2.0,0.5
0.0,-1.5
0.0,-3.0
5.0,3.0
1.0,-1.0
1.0,1.0
1.0,-0.5
13.0,12.0
1.0,-0.5
11.0,9.0
2.0,0.5
0.0,-2.5
0.0,-2.0
2.0,0.0
0.0,1.0
0.0,-2.0
0.0,-1.5
0.0,-1.5
2.0,1.0
0.0,-1.5
0.0,-1.0
0.0,-1.0
0.0,-2.0
12.0,10.0
1.0,-1.5
1.0,-1.0
3.0,0.5
0.0,0.0
5.0,5.0
1.0,0.0
2.0,0.0
0.0,-2.0
0.0,-1.0
0.0,-1.0
0.0,7.0
1.0,-1.5
3.0,0.5
0.0,-2.5
0.0,1.0
0.0,-1.5
3.0,0.5
0.0,0.0
0.0,-2.5
0.0,-1.0
0.0,-2.5
0.0,-1.0
0.0,-1.0
1.0,-1.0
6.0,4.0
1.0,1.5
1.0,-0.5
10.0,7.0
6.0,5.5
0.0,-2.0
0.0,-1.5
1.0,5.5
0.0,0.0
0.0,-3.0
0.0,-2.0
0.0,0.5
0.0,-1.5
1.0,-1.0
0.0,-1.0
0.0,-1.5
0.0,-0.5
2.0,2.5
6.0,4.0
2.0,0.5
0.0,-0.5
0.0,-2.5
0.0,-1.5
0.0,-2.5
1.0,-0.5
0.0,-1.5
3.0,1.0
0.0,3.0
0.0,-1.5
1.0,-1.0
1.0,0.5
