STRADELLA,CASTEL S.GIOVANNI
20.5,21.0
1.0,3.0
-1.5,1.0
54.5,55.0
1.0,2.0
-3.0,-1.5
-3.0,-0.5
-2.5,-0.5
1.5,3.0
-1.5,0.0
-2.0,2.5
0.0,1.0
-2.5,-1.0
-0.5,1.5
8.5,9.0
-3.0,-0.5
0.0,2.5
3.5,4.0
-2.0,-0.5
-1.5,0.0
-3.0,-0.5
14.5,14.5
-0.5,1.5
0.0,0.0
-2.5,0.0
-1.0,0.5
21.5,22.0
-1.5,-0.5
-2.0,2.5
28.0,33.0
-2.0,0.0
-2.5,-1.0
-3.0,-1.0
0.0,1.5
-0.5,-0.5
0.0,2.0
-1.0,-0.5
-1.5,0.0
1.5,3.0
-2.5,-0.5
-0.5,0.0
2.5,5.5
-2.0,0.0
-1.0,0.5
-2.5,-1.0
-1.0,0.5
0.0,0.0
2.0,2.5
-3.0,-0.5
1.0,1.5
0.0,0.5
-1.0,0.0
-2.0,0.0
-2.0,0.0
23.0,23.0
-0.5,1.0
-2.5,-1.0
-0.5,1.5
11.0,12.0
0.0,0.0
0.0,2.5
0.0,1.5
-2.5,1.0
-1.5,0.5
-1.5,-0.5
-1.5,-0.5
-3.0,-1.0
-3.0,-1.0
-2.5,0.0
0.5,2.0
-1.5,0.0
-0.5,1.5
-2.0,-1.5
-1.5,0.0
1.0,2.0
-0.5,0.5
-1.5,-0.5
-1.5,-0.5
9.0,11.0
-3.0,-1.0
47.0,81.0
-0.5,0.0
-0.5,0.5
2.0,1.5
-0.5,0.0
-0.5,1.0
40.5,41.5
0.0,1.5
-1.5,-0.5
-2.0,-0.5
0.5,2.0
-1.5,0.0
-1.5,0.0
-0.5,0.5
-2.0,0.0
1.0,2.5
1.5,3.0
0.0,0.5
0.5,2.0
-1.5,-0.5
