CHIUSI C.T.,TERONTOLA CORTONA
3.0,3.0
15.5,14.5
33.5,34.0
12.0,17.0
5.0,5.5
1.0,-0.5
-5.0,4.5
-4.0,0.0
9.0,9.0
-6.0,0.0
-4.0,0.5
-1.5,3.0
0.0,0.5
8.0,11.0
-3.5,-1.0
-5.0,-0.5
5.0,4.5
8.5,10.5
17.0,16.5
9.5,8.0
-7.5,3.5
1.5,1.0
0.5,0.5
-2.0,1.0
3.5,3.5
21.0,19.5
15.0,14.5
48.5,50.5
26.0,28.0
2.0,1.5
-8.0,-1.5
-2.5,1.0
-8.0,-0.5
12.0,11.0
17.0,16.0
-2.5,0.0
-1.5,0.0
-4.0,0.0
2.5,2.0
-5.5,1.5
32.0,35.0
-5.0,-1.0
1.0,1.5
10.5,10.0
-1.5,0.0
-4.5,3.5
-3.0,2.0
32.5,34.5
22.0,22.0
1.0,0.5
10.0,11.0
-6.5,1.5
-5.5,-0.5
6.5,6.5
17.0,17.5
13.5,12.5
27.0,26.5
-3.5,0.0
-0.5,0.5
0.5,0.5
5.5,5.5
13.0,12.0
49.5,49.5
7.5,9.0
-8.0,-1.0
4.0,3.5
6.5,5.5
61.5,61.0
-7.0,0.0
2.5,2.5
8.5,9.0
-6.5,0.0
4.0,5.5
-1.5,1.5
-5.0,0.0
-0.5,2.5
5.5,5.0
12.5,11.5
-6.5,3.0
11.0,10.0
3.5,3.5
3.0,3.0
2.0,1.5
