ROMA TERMINI,ORTE
1.0,8.0
2.0,6.5
0.0,3.5
3.0,5.0
0.0,21.5
0.0,-3.5
0.0,1.5
0.0,-2.0
0.0,0.5
23.0,45.0
0.0,-3.0
1.0,4.0
9.0,9.5
1.0,0.0
5.0,1.5
0.0,3.0
0.0,3.0
9.0,13.5
24.0,24.0
2.0,5.0
0.0,-3.0
0.0,3.5
1.0,3.0
1.0,-0.5
0.0,-4.0
0.0,-3.0
0.0,-2.5
1.0,2.0
10.0,9.0
0.0,2.5
0.0,-3.0
8.0,5.5
26.0,29.5
2.0,-2.0
0.0,2.5
20.0,24.5
1.0,0.0
0.0,-2.5
0.0,1.0
2.0,-1.5
3.0,4.0
0.0,-2.5
1.0,-2.0
5.0,0.5
1.0,5.0
10.0,16.0
1.0,3.5
20.0,24.0
0.0,3.5
1.0,-1.0
0.0,345.5
0.0,4.5
5.0,8.5
0.0,2.0
5.0,1.5
2.0,0.0
13.0,11.0
4.0,5.5
1.0,5.0
0.0,1.0
5.0,0.5
1.0,6.5
0.0,6.0
0.0,3.5
100.0,96.5
0.0,4.0
0.0,-4.0
0.0,0.5
3.0,1.5
1.0,2.0
11.0,13.5
1.0,-2.0
0.0,-1.0
3.0,3.5
9.0,6.0
0.0,-2.0
0.0,1.5
3.0,5.5
3.0,3.5
4.0,6.0
0.0,-2.0
2.0,1.0
45.0,42.5
3.0,8.0
1.0,-4.0
2.0,7.5
10.0,8.5
8.0,15.0
12.0,10.5
1.0,0.5
1.0,-2.0
0.0,7.0
1.0,-1.5
3.0,6.0
2.0,3.5
1.0,2.5
3.0,0.0
0.0,-0.5
2.0,1.5
2.0,-1.5
