CASTEL S.GIOVANNI,PIACENZA
1.5,-3.0
9.0,7.0
6.0,3.0
13.0,13.0
0.5,-2.0
55.0,51.0
2.5,-0.5
-0.5,-3.5
0.5,14.0
16.5,35.5
2.5,-2.0
-1.5,-2.5
-1.0,-4.0
-1.0,-4.5
14.0,10.5
11.0,8.0
20.0,15.5
12.0,12.0
-1.5,-4.5
1.5,-2.5
-2.0,-5.5
0.0,-3.5
24.0,23.0
2.5,12.0
2.0,-1.5
1.0,-2.5
0.0,-3.5
21.0,19.5
13.0,10.0
-1.0,-1.5
7.0,2.5
3.0,0.5
0.5,-4.0
0.0,-4.0
33.5,31.0
-0.5,3.5
2.0,-0.5
14.0,11.5
2.0,-2.0
1.0,8.5
5.0,2.0
0.0,3.0
-0.5,-1.5
0.0,0.0
13.5,13.5
3.5,-1.0
13.0,8.5
1.0,-2.5
9.5,7.5
1.0,-1.5
4.0,5.0
22.5,23.0
29.0,25.5
0.0,-4.0
9.0,7.0
11.0,9.0
1.5,-1.5
-1.0,1.0
5.0,0.5
-2.0,-5.0
20.5,17.0
11.0,9.5
-1.5,-3.5
2.0,-1.5
1.5,0.5
