CASTELBOLOGNESE,LUGO
2.5,2.5
-1.0,-2.0
0.0,-2.5
4.5,4.0
4.0,2.5
2.5,0.5
3.5,2.0
0.0,-2.5
1.5,0.0
6.0,3.5
0.5,-0.5
3.0,39.5
6.0,5.0
4.5,4.0
-0.5,-1.0
1.0,-0.5
-0.5,1.5
4.5,1.5
-0.5,55.5
7.5,4.0
6.5,3.5
5.0,6.0
0.0,-1.5
-2.0,-2.5
5.0,2.5
9.5,9.0
0.5,-1.5
10.5,8.5
-1.5,0.5
27.0,25.5
3.5,2.0
0.0,-2.0
6.5,4.5
9.5,7.5
4.5,2.0
3.5,1.5
1.0,0.5
12.5,9.0
1.5,0.5
-2.0,-2.0
4.5,6.5
3.0,3.0
9.0,8.0
2.5,0.5
8.5,5.0
8.0,7.0
0.5,0.0
31.0,28.0
0.5,-1.5
1.0,4.0
3.0,1.0
4.5,3.0
4.0,3.0
-0.5,-1.0
0.0,-1.0
-0.5,-1.5
2.5,1.5
7.0,5.5
6.0,4.5
2.5,5.5
3.0,1.0
11.0,10.5
2.5,0.5
5.5,4.5
5.5,2.5
-1.0,-2.5
0.5,-1.5
2.0,2.0
0.0,-1.0
0.5,-2.0
2.0,5.0
4.0,3.5
1.0,-1.0
6.0,4.0
10.5,10.0
0.5,-0.5
-1.0,3.0
4.5,2.5
3.5,1.0
5.5,2.5
-1.0,-1.0
1.5,0.0
4.5,2.5
-0.5,-1.0
0.0,2.0
-1.5,1.5
0.5,-0.5
3.5,3.0
5.5,2.5
7.5,6.5
0.5,-1.0
-0.5,-3.0
9.5,7.0
1.0,-1.5
13.5,11.0
8.5,7.0
9.0,7.0
1.5,8.0
1.5,0.0
8.0,6.5
