PADOVA,TERME EUGANEE-ABANO-MONTEGR.
3.5,0.0
2.0,-1.0
3.5,0.5
4.0,24.5
2.0,1.5
4.0,0.5
2.5,-0.5
1.0,-3.0
4.0,0.0
5.0,2.0
7.5,5.5
5.0,1.5
2.5,-1.0
2.0,-1.5
12.0,11.5
4.5,1.0
3.0,-0.5
2.5,0.5
4.5,2.5
6.5,3.5
3.0,-0.5
1.5,1.0
2.0,-1.0
3.0,-1.0
10.5,8.0
2.5,-1.0
3.0,-0.5
16.5,13.5
4.0,1.5
2.5,0.0
1.5,-2.0
3.5,0.0
3.5,1.0
4.0,1.0
2.5,-1.0
4.5,2.0
3.0,0.5
4.5,1.0
1.5,-2.0
3.5,0.0
9.5,22.5
5.0,1.5
3.0,1.0
2.0,-0.5
4.0,1.5
3.0,4.0
2.0,-2.0
2.0,-1.0
2.0,0.5
3.0,0.0
0.5,-2.0
2.0,-1.0
1.5,-1.5
3.0,-0.5
3.0,0.5
2.0,1.0
2.5,1.0
3.5,1.0
4.0,0.5
4.0,1.5
2.0,-1.5
3.0,0.0
2.5,1.0
3.0,0.0
2.5,-1.0
7.0,6.0
4.5,2.0
3.0,2.0
1.5,0.0
2.5,7.5
16.5,14.0
5.0,1.5
3.0,0.0
1.5,0.5
3.0,0.0
5.0,2.5
1.5,-2.5
3.5,1.0
2.0,-1.0
3.0,0.0
5.5,2.5
5.0,3.0
3.5,0.0
2.5,0.5
3.0,0.0
4.0,1.5
4.0,0.0
2.0,-1.0
2.0,-0.5
2.5,5.5
4.0,1.0
5.0,2.0
6.0,5.0
3.5,1.0
4.0,1.0
4.5,1.5
2.5,1.0
7.0,4.0
2.0,-1.0
3.0,0.0
