FORLI`,CESENA
6.0,5.0
36.5,37.5
2.0,2.5
5.0,4.0
1.5,0.0
6.5,5.5
5.5,4.5
0.0,-0.5
12.5,12.5
8.0,8.5
7.0,6.5
6.5,5.5
5.5,4.0
1.5,1.0
7.0,6.5
4.0,3.0
0.5,1.0
12.5,13.0
22.0,23.0
8.0,8.0
4.5,4.0
6.5,5.0
5.5,3.5
11.0,9.5
32.0,33.0
10.5,10.0
2.0,2.5
9.5,8.0
4.0,3.5
10.5,9.0
4.5,6.0
2.0,0.5
1.5,2.5
2.5,3.0
3.5,4.0
6.5,6.0
4.0,3.5
15.5,15.0
4.0,3.0
6.0,6.0
4.0,2.5
1.5,1.0
4.0,4.0
2.0,1.0
1.5,1.5
10.5,8.5
4.5,4.0
5.0,4.0
5.0,3.5
3.0,2.5
5.5,5.0
0.0,-0.5
-0.5,1.0
1.0,-0.5
7.5,8.5
3.0,2.0
7.0,6.5
6.0,5.0
11.5,15.0
5.5,5.0
5.5,5.0
1.5,0.5
10.5,9.0
2.0,2.5
2.5,2.5
12.5,12.5
4.0,3.5
5.0,4.0
2.5,2.5
4.0,3.5
4.5,4.5
5.5,4.0
1.0,0.0
5.0,4.0
10.0,10.5
4.5,4.0
9.0,7.5
4.0,5.5
9.0,7.5
2.0,0.0
16.5,16.0
1.5,0.5
0.5,-0.5
3.0,3.0
1.5,1.0
4.0,3.5
6.5,6.5
3.5,3.5
5.0,5.5
5.5,6.0
4.0,3.5
9.0,9.5
25.5,25.0
1.0,0.5
16.5,16.0
3.5,2.5
6.0,6.0
2.0,0.5
7.0,6.5
4.5,2.5
