PADOVA,BOLOGNA C.LEAV
0.0,1.0
2.0,7.5
2.5,-0.5
2.0,6.0
2.5,0.0
4.5,3.0
0.0,5.0
6.0,5.5
-1.5,-1.5
4.5,4.5
0.0,4.5
4.0,5.0
1.0,3.0
1.5,1.0
10.5,11.5
6.5,3.0
3.0,7.0
1.0,0.5
11.5,25.5
2.0,-0.5
-0.5,-0.5
0.0,-0.5
-1.0,-3.0
7.5,7.0
1.0,2.0
3.0,8.5
1.0,1.5
2.5,2.0
-1.5,-0.5
17.5,17.0
1.5,9.5
1.5,4.0
2.5,12.0
3.0,6.5
3.0,7.0
3.5,8.5
8.0,9.5
4.5,8.5
3.5,15.0
1.5,2.5
2.0,6.5
1.0,1.0
4.0,11.5
1.5,4.5
4.0,7.5
2.5,2.5
5.0,6.0
2.0,3.5
1.5,3.5
0.5,3.5
-1.5,1.0
6.0,10.0
-1.5,-4.5
3.0,0.0
-1.0,4.5
-1.5,7.0
3.5,8.0
1.0,-0.5
0.0,-6.0
11.5,13.5
-1.0,0.0
5.0,9.0
2.0,0.0
6.5,9.5
8.0,7.5
6.5,9.0
4.0,3.5
7.5,14.5
0.5,-1.5
-0.5,-0.5
-0.5,6.0
2.5,5.5
0.0,7.5
4.0,6.5
3.5,6.0
0.5,2.5
4.0,3.5
3.0,7.0
0.5,3.0
6.0,8.0
0.0,8.0
7.5,9.0
-0.5,-1.5
0.5,6.0
5.0,8.5
3.0,3.5
6.0,8.5
4.0,6.0
4.5,12.5
8.0,10.0
0.5,3.5
6.5,9.0
3.0,2.0
1.5,0.5
2.5,2.0
5.0,5.0
8.0,10.0
4.0,8.0
0.5,-0.5
2.5,3.5
