PADOVA,FERRARA
-1.0,0.0
1.0,5.0
6.0,9.0
18.0,30.0
2.0,1.5
1.5,2.0
-1.0,0.5
2.5,4.0
0.5,0.5
1.5,1.5
1.0,3.5
0.5,3.0
14.0,17.0
2.5,8.5
48.5,53.0
0.0,2.0
0.5,4.0
3.5,7.5
2.0,5.5
-0.5,0.5
8.0,10.0
-1.0,1.0
2.5,8.0
0.5,8.5
0.5,-0.5
1.0,1.5
1.5,7.5
3.5,7.5
-1.0,0.5
-0.5,0.0
1.5,2.0
4.5,5.0
13.0,18.5
4.0,9.0
3.0,3.5
5.0,6.0
5.0,8.5
4.0,9.0
6.5,8.5
1.5,5.0
1.5,4.0
2.5,3.0
1.0,5.0
0.0,5.0
1.0,8.0
8.5,13.5
5.0,4.0
2.5,2.0
1.0,2.0
-0.5,0.5
4.5,6.5
5.0,4.0
2.5,3.5
0.5,2.0
5.0,7.0
5.5,5.0
1.5,2.5
26.5,32.0
9.0,12.0
-0.5,-0.5
11.5,15.0
3.5,4.5
2.0,3.5
-1.0,4.0
2.5,7.0
1.5,0.5
1.0,0.0
7.0,13.5
12.0,14.5
2.0,2.0
1.0,2.0
2.5,3.0
1.0,1.5
3.5,13.0
-1.0,1.0
0.0,6.5
1.0,3.5
7.0,8.0
2.5,2.5
0.0,0.0
0.5,4.5
0.5,0.5
3.0,9.0
0.0,4.5
-1.0,-1.0
-0.5,2.0
3.5,9.5
0.5,5.0
0.5,2.0
2.5,5.0
-0.5,3.0
0.5,4.0
5.5,10.5
3.0,5.5
4.0,8.5
14.0,23.0
4.0,5.0
7.5,12.5
18.5,19.0
0.0,1.0
