SALERNO,NAPOLI CENTRALE
1.5,-2.0
3.5,3.0
1.0,12.0
0.5,11.0
0.5,-6.0
1.0,-2.5
0.5,-4.5
4.0,-3.5
1.5,-4.5
7.0,2.5
1.0,1.5
1.0,-6.0
0.5,-3.5
6.0,-1.0
0.0,-2.5
0.5,-2.5
1.5,1.0
1.0,-0.5
0.5,-7.5
0.5,-6.5
1.5,-6.0
0.5,3.0
1.5,-3.0
0.5,-2.5
1.0,21.0
7.0,3.5
0.0,-9.0
1.0,-4.5
0.0,2.5
1.0,-7.0
1.0,-8.0
1.0,-1.5
1.5,15.0
0.5,-2.0
3.5,-3.0
0.5,-4.5
2.5,1.5
0.0,-1.0
0.5,-6.5
2.0,2.5
3.0,0.5
0.5,-8.5
0.5,-8.0
1.5,1.0
4.0,13.0
3.5,-2.5
0.5,0.5
2.0,0.5
0.5,-2.0
0.0,-9.0
1.0,-8.5
1.5,-3.5
1.5,0.0
1.5,2.5
1.5,0.0
0.0,-1.5
0.0,-7.5
0.5,-2.0
0.0,-1.0
29.5,22.5
0.5,-1.5
0.5,-5.0
1.0,3.0
1.5,5.0
2.0,-5.5
2.5,2.0
26.5,19.0
1.0,-4.0
0.0,-7.5
1.5,-3.0
1.0,2.5
1.0,-7.5
1.0,-7.0
1.0,-6.5
4.0,-4.0
0.5,17.0
0.5,-10.5
0.0,-4.0
2.0,-1.5
0.5,-4.5
0.5,-5.0
2.5,-1.0
0.0,3.5
0.5,-10.0
1.0,-7.0
1.0,-1.5
3.5,2.0
2.0,-6.5
1.5,1.5
1.5,-2.0
3.0,-2.5
2.0,-7.0
1.0,-6.0
1.5,2.0
1.0,-6.0
0.5,-9.5
1.0,2.5
87.5,77.5
5.5,-2.5
2.0,-2.0
